,APINumber,TotalVerticalDepth,State,County,Latitude,Longitude,Year,TotalBaseWaterVolume
0,4.22693E+13,5265,Texas,1.20601E+11,33.465412,-100.069725,201412,18889.6
1,4.22693E+13,5234,Texas,1.20601E+11,33.46638,-100.05112,201507,19244
2,4.22693E+13,5214,Texas,1.20601E+11,33.468742,-100.079964,201410,21521
3,4.22693E+13,5370,Texas,1.20601E+11,33.468956,-100.065865,201406,19790
4,4.22693E+13,5178,Texas,1.20601E+11,33.469177,-100.07354,201412,22470
5,4.22693E+13,5616,Texas,1.20601E+11,33.46917778,-100.07354,201801,17664
6,4.22693E+13,5500,Texas,1.20601E+11,33.469235,-100.082917,201601,20353
7,4.22693E+13,5336,Texas,1.20601E+11,33.4696691,-100.092807,201412,21874
8,4.22693E+13,5460,Texas,1.20601E+11,33.47063,-100.069476,201404,19563.33333
9,4.22693E+13,5216,Texas,1.20601E+11,33.47117,-100.07253,201312,29862
10,4.22693E+13,5200,Texas,1.20601E+11,33.47136,-100.077767,201403,21200
11,4.22693E+13,5850,Texas,1.20601E+11,33.471905,-100.057953,201703,20291
12,4.22693E+13,5220,Texas,1.20601E+11,33.471917,-100.058233,201404,17300
13,4.22693E+13,5250,Texas,1.20601E+11,33.472017,-100.061384,201404,18000
14,4.22693E+13,5248,Texas,1.20601E+11,33.472017,-100.061385,201909,26376
15,4.22693E+13,5459,Texas,1.20601E+11,33.47234,-100.07333,201311,41080
16,4.22693E+13,5700,Texas,1.20601E+11,33.472825,-100.066699,201402,21600
17,4.22693E+13,5960,Texas,1.20601E+11,33.472828,-100.066696,201711,22344
18,4.22693E+13,5539,Texas,1.20601E+11,33.47388,-100.07,201306,27903.33333
19,4.22693E+13,5230,Texas,1.20601E+11,33.47427,-100.05024,201405,18858
20,4.22693E+13,5232,Texas,1.20601E+11,33.47479,-100.07771,201312,20034
21,4.22693E+13,5200,Texas,1.20601E+11,33.47519,-100.053844,201403,19000
22,4.22693E+13,5700,Texas,1.20601E+11,33.475498,-100.078163,201711,19079.5
23,4.22693E+13,5840,Texas,1.20601E+11,33.476234,-100.058662,201608,19333
24,4.22693E+13,5291,Texas,1.20601E+11,33.47649,-100.06248,201309,24150
25,4.22693E+13,5275,Texas,1.20601E+11,33.4765,-100.06658,201304,47922
26,4.22693E+13,5380,Texas,1.20601E+11,33.47686,-100.07376,201301,9744
27,4.22693E+13,5265,Texas,1.20601E+11,33.477276,-100.048004,201408,23340
28,4.22693E+13,5962,Texas,1.20601E+11,33.477585,-100.052193,201610,21084
29,4.22693E+13,5444,Texas,1.20601E+11,33.47763,-100.07772,201306,40152
30,4.22693E+13,5295,Texas,1.20601E+11,33.47777,-100.07131,201307,21504
31,4.22693E+13,5236,Texas,1.20601E+11,33.477867,-100.052063,201408,22928
32,4.22693E+13,5338,Texas,1.20601E+11,33.47838,-100.07989,201312,21546
33,4.22693E+13,5989,Texas,1.20601E+11,33.47862222,-100.0703133,201712,14120
34,4.22693E+13,5500,Texas,1.20601E+11,33.479354,-100.080189,201603,19194
35,4.22693E+13,5418,Texas,1.20601E+11,33.47964,-100.07417,201308,31663.66667
36,4.22693E+13,5500,Texas,1.20601E+11,33.479682,-100.065921,201602,18812
37,4.22693E+13,5500,Texas,1.20601E+11,33.479992,-100.05654,201511,19596
38,4.22693E+13,5370,Texas,1.20601E+11,33.48011,-100.06704,201310,56771
39,4.22693E+13,5377,Texas,1.20601E+11,33.48043,-100.05512,201311,22806
40,4.22693E+13,5300,Texas,1.20601E+11,33.481029,-100.082611,201403,22200
41,4.22693E+13,5120,Texas,1.20601E+11,33.48208,-100.06709,201303,26776.5
42,4.22693E+13,5214,Texas,1.20601E+11,33.48243,-100.06326,201307,59749
43,4.22693E+13,5400,Texas,1.20601E+11,33.483392,-100.055649,201401,22577
44,4.22693E+13,5148,Texas,1.20601E+11,33.48392,-100.0718,201302,24583
45,4.22693E+13,5269,Texas,1.20601E+11,33.48394,-100.07573,201307,23856
46,4.22693E+13,5236,Texas,1.20601E+11,33.48476,-100.06118,201308,38703
47,4.22693E+13,5500,Texas,1.20601E+11,33.484774,-100.059637,201602,20983
48,4.22693E+13,5392,Texas,1.20601E+11,33.48609,-100.06134,201309,61572
49,4.22693E+13,5405,Texas,1.20601E+11,33.48966,-100.06136,201310,35133
50,4.22693E+13,5250,Texas,1.20601E+11,33.491101,-100.060493,201401,21500
51,4.22693E+13,5400,Texas,1.20601E+11,33.494105,-100.060705,201402,22962
52,4.22693E+13,5400,Texas,1.20601E+11,33.494878,-100.057575,201403,22205
53,4.22693E+13,5400,Texas,1.20601E+11,33.497701,-100.058277,201403,22480
54,4.2269E+13,5494,Texas,1.20601E+11,33.49986,-100.05435,201309,34041
55,4.22693E+13,5540,Texas,1.20601E+11,33.5056998,-100.0535678,201407,20475
56,4226932868,3794,Texas,1.11302E+11,33.56366,-100.49796,201305,10794
57,4.22693E+13,3763,Texas,1.11302E+11,33.56736,-100.50053,201211,9534
58,4.22693E+13,3878,Texas,1.11302E+11,33.569519,-100.454079,201807,12510
59,4.22693E+13,3920,Texas,1.11302E+11,33.585046,-100.494422,201809,23029
60,4.22693E+13,5905,Texas,1.11302E+11,33.67556,-100.062393,201606,19476
61,4.21013E+13,11225,Texas,1.11302E+11,33.951507,-100.180857,201609,131897
62,4.21013E+13,13575,Texas,1.11302E+11,33.957307,-100.198331,201608,752632
63,4.21013E+13,11255,Texas,1.11302E+11,33.95737,-100.19576,201405,550158
64,4.21013E+13,13217,Texas,1.11302E+11,33.95959,-100.20257,201410,818496
65,4.21013E+13,12033,Texas,1.11302E+11,33.96071,-100.19621,201412,841764
66,4.21013E+13,9208,Texas,1.11302E+11,33.963486,-100.181839,201410,294722
67,4.21013E+13,12102,Texas,1.11302E+11,33.96359,-100.19388,201403,681870
68,4.21013E+13,11714,Texas,1.11302E+11,33.96371,-100.19747,201309,620970
69,4.21073E+13,4450,Texas,1.205E+11,33.4882,-101.4726112,201403,46872
70,4.21073E+13,4400,Texas,1.205E+11,33.4882389,-101.4795334,201405,24572
71,4.21073E+13,4500,Texas,1.205E+11,33.488481,-101.485042,201412,11800
72,4.21073E+13,4500,Texas,1.205E+11,33.4886722,-101.4887473,201410,9722
73,4.21073E+13,4500,Texas,1.205E+11,33.4887027,-101.4931778,201409,10073
74,4.21073E+13,4500,Texas,1.205E+11,33.4887694,-101.4971084,201410,10325
75,4.21073E+13,4402,Texas,1.205E+11,33.488834,-101.498966,201303,33935
76,4.21073E+13,4631,Texas,1.205E+11,33.48898,-101.516,201912,16369
77,4.21073E+13,4500,Texas,1.205E+11,33.488986,-101.500331,201502,14231
78,4.21073E+13,4400,Texas,1.205E+11,33.489,-101.478,201410,49686
79,4.21073E+13,5000,Texas,1.205E+11,33.4891427,-101.4855881,201312,25183
80,4.21073E+13,4260,Texas,1.205E+11,33.489417,-101.470474,201501,107352
81,4.21073E+13,5000,Texas,1.205E+11,33.4895266,-101.4941935,201401,25279
82,4.21073E+13,4440,Texas,1.205E+11,33.48957,-101.47482,201407,38682
83,4.21073E+13,4500,Texas,1.205E+11,33.490225,-101.4912584,201409,9653
84,4.21073E+13,4500,Texas,1.205E+11,33.490228,-101.499278,201502,13767
85,4.21073E+13,4500,Texas,1.205E+11,33.490264,-101.495345,201411,11254
86,4.21073E+13,4500,Texas,1.205E+11,33.490483,-101.486933,201412,12178
87,4.21073E+13,4430,Texas,1.205E+11,33.490484,-101.485619,201211,37070
88,4.21073E+13,4373,Texas,1.205E+11,33.490916,-101.480212,201211,40095
89,4.21073E+13,4265,Texas,1.205E+11,33.491165,-101.468431,201501,105378
90,4.21073E+13,4445,Texas,1.205E+11,33.492036,-101.459603,201609,452663
91,4.21073E+13,4448,Texas,1.205E+11,33.49289,-101.47078,201402,45528
92,4.21073E+13,4550,Texas,1.205E+11,33.4931,-101.47479,201305,76776
93,4.21073E+13,4435,Texas,1.205E+11,33.495,-101.46832,201407,67032
94,4.21073E+13,4550,Texas,1.205E+11,33.4950139,-101.472625,201307,48006
95,4.21073E+13,4945,Texas,1.205E+11,33.4950722,-101.4751417,201408,77028
96,4.21073E+13,4510,Texas,1.205E+11,33.49531,-101.47693,201308,80682
97,4.21073E+13,4545,Texas,1.205E+11,33.4968277,-101.4747862,201306,90468
98,4.21073E+13,4445,Texas,1.205E+11,33.49684,-101.47053,201402,54852
99,4.21073E+13,4433,Texas,1.205E+11,33.4985021,-101.4725633,201308,23772
100,4.21073E+13,4520,Texas,1.205E+11,33.4986,-101.4596,201410,49140
101,4.21073E+13,4395,Texas,1.205E+11,33.49868,-101.46397,201408,53886
102,4.21073E+13,4447,Texas,1.205E+11,33.49868,-101.46756,201401,92862
103,4.21073E+13,4163,Texas,1.205E+11,33.498683,-101.470456,201606,42798
104,4.21073E+13,4443,Texas,1.205E+11,33.498683,-101.474783,201609,33072
105,4.21073E+13,4550,Texas,1.205E+11,33.49878,-101.47691,201307,48594
106,4.21073E+13,5025,Texas,1.205E+11,33.499971,-101.460554,201412,59220
107,4.21073E+13,4395,Texas,1.205E+11,33.5004,-101.4615,201410,49308
108,4.21073E+13,4445,Texas,1.205E+11,33.50045,-101.47475,201306,70056
109,4.21073E+13,4350,Texas,1.205E+11,33.50046,-101.46612,201408,43764
110,4.21073E+13,5000,Texas,1.205E+11,33.5004678,-101.5181099,201311,18629
111,4.21073E+13,4450,Texas,1.205E+11,33.50047,-101.47048,201401,63000
112,4.21073E+13,4160,Texas,1.205E+11,33.501369,-101.478028,201606,40782
113,4.21073E+13,4605,Texas,1.205E+11,33.5022,-101.4592,201410,49518
114,4.21073E+13,4809,Texas,1.205E+11,33.50227,-101.47265,201304,94878
115,4.21073E+13,4553,Texas,1.205E+11,33.50228,-101.47698,201308,99204
116,4.21073E+13,4400,Texas,1.205E+11,33.50228,-101.46396,201408,51030
117,4.21073E+13,4650,Texas,1.205E+11,33.50228,-101.46829,201401,56028
118,4.21073E+13,4482,Texas,1.205E+11,33.502283,-101.466108,201512,50022
119,4.21073E+13,4446,Texas,1.205E+11,33.502283,-101.474781,201609,36768
120,4.21073E+13,4436,Texas,1.205E+11,33.502283,-101.47045,201601,52164
121,4.21073E+13,4400,Texas,1.205E+11,33.503189,-101.478025,201612,49372
122,4.21073E+13,4390,Texas,1.205E+11,33.50406,-101.46156,201408,50820
123,4.21073E+13,4440,Texas,1.205E+11,33.50409,-101.47481,201307,27216
124,4.21073E+13,4440,Texas,1.205E+11,33.50409,-101.46613,201408,51870
125,4.21073E+13,4441,Texas,1.205E+11,33.504097,-101.468272,201608,37002
126,4.21073E+13,4650,Texas,1.205E+11,33.50411,-101.47047,201401,59682
127,4.21073E+13,5000,Texas,1.205E+11,33.5063055,-101.5157778,201406,27935
128,4.21073E+13,5000,Texas,1.205E+11,33.5063055,-101.5223056,201405,28439
129,4.21073E+13,5000,Texas,1.205E+11,33.5063333,-101.5244723,201405,25828
