,"U.S. Crude Oil Production, Monthly /// units: million barrels per day /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
0,202312,13.27257
1,202311,13.15061
2,202310,12.87459
3,202309,12.87584
4,202308,12.85192
5,202307,12.72541
6,202306,12.54
7,202305,12.49113
8,202304,12.48285
9,202303,12.4269
10,202302,12.41868
11,202301,12.32685
12,202212,12.44768
13,202211,12.30516
14,202210,12.08277
15,202209,12.13835
16,202208,12.01481
17,202207,11.866297525
18,202206,11.813818813
19,202205,11.595377
20,202204,11.65167
21,202203,11.700795
22,202202,11.306367
23,202201,11.369338
24,202112,11.634403
25,202111,11.790052
26,202110,11.568579
27,202109,10.917534
28,202108,11.277405
29,202107,11.346986
30,202106,11.356417
31,202105,11.355992
32,202104,11.304722
33,202103,11.325869
34,202102,9.924674
35,202101,11.124063
36,202012,11.1685
37,202011,11.195551
38,202010,10.457432
39,202009,10.920753
40,202008,10.576601
41,202007,11.005949
42,202006,10.442492
43,202005,9.713071
44,202004,11.913743
45,202003,12.796559
46,202002,12.842024
47,202001,12.852266
48,201912,12.910303
49,201911,12.966121
50,201910,12.770961
51,201909,12.5723
52,201908,12.475
53,201907,11.895646
54,201906,12.178872
55,201905,12.140713
56,201904,12.12458
57,201903,11.898941
58,201902,11.65258
59,201901,11.847951
60,201812,11.923994
61,201811,11.867607
62,201810,11.48831
63,201809,11.422011
64,201808,11.373371
65,201807,10.888398
66,201806,10.627899
67,201805,10.424487
68,201804,10.493442
69,201803,10.461175
70,201802,10.275947
71,201801,9.996161
72,201712,9.979312
73,201711,10.076984
74,201710,9.659003
75,201709,9.516239
76,201708,9.245017
77,201707,9.246279
78,201706,9.110295
79,201705,9.184442
80,201704,9.102992
81,201703,9.168016
82,201702,9.109238
83,201701,8.872854
84,201612,8.81433
85,201611,8.901152
86,201610,8.801924
87,201609,8.541628
88,201608,8.688096
89,201607,8.660329
90,201606,8.672107
91,201605,8.831635
92,201604,8.870732
93,201603,9.087598
94,201602,9.063492
95,201601,9.201453
96,201512,9.275091
97,201511,9.332495
98,201510,9.400334
99,201509,9.479944
100,201508,9.409395
101,201507,9.445594
102,201506,9.358242
103,201505,9.473642
104,201504,9.657844
105,201503,9.581929
106,201502,9.504109
107,201501,9.382452
108,201412,9.563859
109,201411,9.326439
110,201410,9.264278
111,201409,9.08569
112,201408,8.92945
113,201407,8.84292
114,201406,8.742937
115,201405,8.645047
116,201404,8.526516
117,201403,8.297434
118,201402,8.15718
119,201401,8.078237
120,201312,7.933777
121,201311,7.920072
122,201310,7.761097
123,201309,7.839439
124,201308,7.535786
125,201307,7.523793
126,201306,7.279373
127,201305,7.327491
128,201304,7.375375
129,201303,7.21528
130,201302,7.156294
131,201301,7.083554
132,201212,7.105129
133,201211,7.080798
134,201210,6.969065
135,201209,6.597432
136,201208,6.350132
137,201207,6.430992
138,201206,6.275161
139,201205,6.369079
140,201204,6.319657
141,201203,6.326307
142,201202,6.26754
143,201201,6.175463
144,201112,6.112491
145,201111,6.038558
146,201110,5.902495
147,201109,5.613714
148,201108,5.665089
149,201107,5.439853
150,201106,5.589094
151,201105,5.624622
152,201104,5.561917
153,201103,5.61801
154,201102,5.405516
155,201101,5.496552
156,201012,5.607447
157,201011,5.575722
158,201010,5.630558
159,201009,5.615764
160,201008,5.447333
161,201007,5.297872
162,201006,5.379502
163,201005,5.400864
164,201004,5.392303
165,201003,5.515364
166,201002,5.553415
167,201001,5.404146
168,200912,5.451727
169,200911,5.394599
170,200910,5.52444
171,200909,5.558828
172,200908,5.417568
173,200907,5.397947
174,200906,5.269312
175,200905,5.376916
176,200904,5.278119
177,200903,5.218583
178,200902,5.239229
179,200901,5.144106
180,200812,5.102691
181,200811,5.078097
182,200810,4.737689
183,200809,3.973586
184,200808,5.002976
185,200807,5.176795
186,200806,5.13775
187,200805,5.143142
188,200804,5.180109
189,200803,5.189292
190,200802,5.148172
191,200801,5.115037
192,200712,5.110551
193,200711,5.034018
194,200710,5.021935
195,200709,4.902036
196,200708,4.969682
197,200707,5.037919
198,200706,5.075147
199,200705,5.211217
200,200704,5.180232
201,200703,5.119257
202,200702,5.117898
203,200701,5.107808
204,200612,5.186066
205,200611,5.064209
206,200610,5.108156
207,200609,5.03085
208,200608,5.039729
209,200607,5.094173
210,200606,5.162796
211,200605,5.150561
212,200604,5.081652
213,200603,5.027168
214,200602,5.03193
215,200601,5.047728
216,200512,4.98808
217,200511,4.856946
218,200510,4.554823
219,200509,4.213898
220,200508,5.198472
221,200507,5.253345
222,200506,5.442097
223,200505,5.596478
224,200504,5.562827
225,200503,5.600835
226,200502,5.501359
227,200501,5.446159
228,200412,5.510157
229,200411,5.423308
230,200410,5.169999
231,200409,5.081476
232,200408,5.324889
233,200407,5.484233
234,200406,5.406938
235,200405,5.555955
236,200404,5.560331
237,200403,5.61662
238,200402,5.571816
239,200401,5.584915
240,200312,5.571451
241,200311,5.546554
242,200310,5.613544
243,200309,5.609009
244,200308,5.57377
245,200307,5.498445
246,200306,5.659077
247,200305,5.663475
248,200304,5.725816
249,200303,5.803461
250,200302,5.782863
251,200301,5.755227
252,200212,5.721686
253,200211,5.623528
254,200210,5.358216
255,200209,5.411212
256,200208,5.795801
257,200207,5.750818
258,200206,5.884388
259,200205,5.905054
260,200204,5.844439
261,200203,5.885822
262,200202,5.880913
263,200201,5.87343
264,200112,5.887461
265,200111,5.881376
