,"U.S. Crude Oil Production, Monthly /// units: million barrels per day /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
266,200110,5.746111
267,200109,5.708991
268,200108,5.725418
269,200107,5.748633
270,200106,5.765791
271,200105,5.829427
272,200104,5.862633
273,200103,5.880314
274,200102,5.780096
275,200101,5.798925
276,200012,5.855104
277,200011,5.832669
278,200010,5.80903
279,200009,5.757695
280,200008,5.788734
281,200007,5.739362
282,200006,5.822882
283,200005,5.84651
284,200004,5.854166
285,200003,5.918207
286,200002,5.851839
287,200001,5.784376
288,199912,5.958573
289,199911,5.960356
290,199910,5.947115
291,199909,5.803771
292,199908,5.780231
293,199907,5.797999
294,199906,5.760265
295,199905,5.87491
296,199904,5.887203
297,199903,5.882633
298,199902,5.965517
299,199901,5.963356
300,199812,6.043449
301,199811,6.139929
302,199810,6.142566
303,199809,5.789212
304,199808,6.202641
305,199807,6.194381
306,199806,6.267266
307,199805,6.346905
308,199804,6.48275
309,199803,6.407711
310,199802,6.475755
311,199801,6.540526
312,199712,6.531108
313,199711,6.459282
314,199710,6.467152
315,199709,6.485824
316,199708,6.347386
317,199707,6.409392
318,199706,6.44172
319,199705,6.474261
320,199704,6.441294
321,199703,6.452047
322,199702,6.51429
323,199701,6.40212
324,199612,6.505965
325,199611,6.475602
326,199610,6.480875
327,199609,6.481855
328,199608,6.360071
329,199607,6.337772
330,199606,6.458207
331,199605,6.393798
332,199604,6.443908
333,199603,6.571459
334,199602,6.576798
335,199601,6.495297
336,199512,6.529936
337,199511,6.585309
338,199510,6.421125
339,199509,6.416133
340,199508,6.446652
341,199507,6.448772
342,199506,6.578628
343,199505,6.629316
344,199504,6.603716
345,199503,6.600412
346,199502,6.794452
347,199501,6.68218
348,199412,6.759693
349,199411,6.628332
350,199410,6.657985
351,199409,6.608804
352,199408,6.544152
353,199407,6.500879
354,199406,6.61059
355,199405,6.688193
356,199404,6.612102
357,199403,6.745622
358,199402,6.770326
359,199401,6.816779
360,199312,6.857583
361,199311,6.911632
362,199310,6.838807
363,199309,6.711565
364,199308,6.757807
365,199307,6.688367
366,199306,6.794726
367,199305,6.84692
368,199304,6.881308
369,199303,6.974128
370,199302,6.942592
371,199301,6.961007
372,199212,7.103215
373,199211,7.024128
374,199210,7.125751
375,199209,7.030119
376,199208,6.921788
377,199207,7.1311
378,199206,7.167311
379,199205,7.168599
380,199204,7.292507
381,199203,7.348335
382,199202,7.388598
383,199201,7.360576
384,199112,7.298946
385,199111,7.327776
386,199110,7.437338
387,199109,7.367632
388,199108,7.316165
389,199107,7.346955
390,199106,7.320326
391,199105,7.408706
392,199104,7.50852
393,199103,7.546006
394,199102,7.636997
395,199101,7.49993
396,199012,7.337517
397,199011,7.386585
398,199010,7.541889
399,199009,7.22382
400,199008,7.286634
401,199007,7.173263
402,199006,7.105838
403,199005,7.328342
404,199004,7.407173
405,199003,7.433341
406,199002,7.497242
407,199001,7.546173
