,"Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore, Monthly /// units: Number of Rigs /// most recent data point: 202207 /// last updated: 2022-08-23T08:42:59-0400",
170,200805,1794
171,200804,1765
172,200803,1737
173,200802,1709
174,200801,1690
175,200712,1749
176,200711,1737
177,200710,1713
178,200709,1718
179,200708,1731
180,200707,1698
181,200706,1692
182,200705,1671
183,200704,1675
184,200703,1667
185,200702,1651
186,200701,1630
187,200612,1634
188,200611,1620
189,200610,1644
190,200609,1646
191,200608,1639
192,200607,1587
193,200606,1570
194,200605,1536
195,200604,1502
196,200603,1464
197,200602,1455
198,200601,1396
199,200512,1393
200,200511,1402
201,200510,1392
202,200509,1360
203,200508,1333
204,200507,1297
205,200506,1259
206,200505,1229
207,200504,1241
208,200503,1209
209,200502,1170
210,200501,1153
211,200412,1140
212,200411,1160
213,200410,1145
214,200409,1148
215,200408,1139
216,200407,1116
217,200406,1080
218,200405,1068
219,200404,1058
220,200403,1041
221,200402,1020
222,200401,1001
223,200312,1010
224,200311,1005
225,200310,997
226,200309,984
227,200308,979
228,200307,974
229,200306,958
230,200305,921
231,200304,877
232,200303,836
233,200302,797
234,200301,743
235,200212,742
236,200211,725
237,200210,740
238,200209,746
239,200208,737
240,200207,740
241,200206,732
242,200205,721
243,200204,645
244,200203,649
245,200202,702
246,200201,741
247,200112,778
248,200111,866
249,200110,978
250,200109,1049
251,200108,1105
252,200107,1121
253,200106,1107
254,200105,1063
255,200104,1037
256,200103,996
257,200102,973
258,200101,944
259,200012,950
260,200011,916
261,200010,908
262,200009,865
263,200008,828
264,200007,784
265,200006,739
266,200005,705
267,200004,680
268,200003,649
269,200002,641
270,200001,650
271,199912,676
272,199911,663
273,199910,630
274,199909,587
275,199908,533
276,199907,489
277,199906,458
278,199905,414
279,199904,397
280,199903,420
281,199902,441
282,199901,483
283,199812,545
284,199811,579
285,199810,623
286,199809,656
287,199808,674
288,199807,695
289,199806,726
290,199805,722
291,199804,748
292,199803,796
293,199802,835
294,199801,860
295,199712,884
296,199711,857
297,199710,875
298,199709,881
299,199708,868
300,199707,844
301,199706,855
302,199705,804
303,199704,775
304,199703,770
305,199702,742
306,199701,712
307,199612,736
308,199611,741
309,199610,728
310,199609,702
311,199608,703
312,199607,677
313,199606,662
314,199605,648
315,199604,628
316,199603,618
317,199602,598
318,199601,598
319,199512,654
320,199511,668
321,199510,656
322,199509,662
323,199508,642
324,199507,619
325,199506,578
326,199505,579
327,199504,587
328,199503,575
329,199502,613
330,199501,642
331,199412,709
332,199411,729
333,199410,723
334,199409,712
335,199408,671
336,199407,664
337,199406,643
338,199405,612
339,199404,617
340,199403,636
341,199402,659
342,199401,690
343,199312,754
344,199311,769
345,199310,767
346,199309,759
347,199308,710
348,199307,656
349,199306,612
350,199305,564
351,199304,543
352,199303,549
353,199302,615
354,199301,752
355,199212,867
356,199211,822
357,199210,750
358,199209,672
359,199208,635
360,199207,628
361,199206,577
362,199205,591
363,199204,587
364,199203,594
365,199202,618
366,199201,654
367,199112,731
368,199111,736
369,199110,727
370,199109,704
371,199108,735
372,199107,764
373,199106,774
374,199105,721
375,199104,770
376,199103,848
377,199102,896
378,199101,977
379,199012,1035
380,199011,1031
381,199010,974
382,199009,935
383,199008,879
384,199007,902
385,199006,886
386,199005,841
387,199004,824
388,199003,797
389,199002,806
390,199001,885
391,198912,948
392,198911,922
393,198910,878
394,198909,848
395,198908,772
396,198907,718
397,198906,692
398,198905,662
399,198904,679
400,198903,660
401,198902,667
402,198901,731
403,198812,797
404,198811,789
405,198810,801
406,198809,805
407,198808,807
408,198807,786
409,198806,773
410,198805,768
411,198804,800
412,198803,832
413,198802,853
414,198801,949
415,198712,1034
416,198711,1034
417,198710,1008
418,198709,987
419,198708,894
420,198707,804
421,198706,703
422,198705,687
423,198704,681
424,198703,696
425,198702,743
426,198701,812
427,198612,874
428,198611,820
429,198610,739
430,198609,681
431,198608,665
432,198607,621
433,198606,632
434,198605,687
435,198604,794
436,198603,1007
437,198602,1280
438,198601,1635
439,198512,1760
440,198511,1725
441,198510,1684
442,198509,1733
443,198508,1734
444,198507,1715
445,198506,1653
446,198505,1665
447,198504,1667
448,198503,1732
449,198502,1955
450,198501,2210
451,198412,2471
452,198411,2397
453,198410,2269
454,198409,2206
455,198408,2201
456,198407,2180
457,198406,2158
458,198405,2075
459,198404,1917
460,198403,2047
461,198402,2221
462,198401,2450
463,198312,2570
464,198311,2413
465,198310,2205
466,198309,2077
467,198308,1975
468,198307,1861
469,198306,1777
470,198305,1717
471,198304,1633
472,198303,1793
473,198302,1976
474,198301,2404
475,198212,2482
476,198211,2286
477,198210,2173
478,198209,2255
479,198208,2385
480,198207,2504
481,198206,2660
482,198205,2927
483,198204,3209
484,198203,3554
485,198202,3891
486,198201,4156
487,198112,4238
488,198111,4166
489,198110,4088
490,198109,3976
491,198108,3867
492,198107,3736
493,198106,3680
494,198105,3568
495,198104,3472
496,198103,3343
497,198102,3268
498,198101,3141
499,198012,3036
500,198011,2973
501,198010,2917
502,198009,2868
503,198008,2810
504,198007,2718
505,198006,2615
506,198005,2568
507,198004,2461
508,198003,2439
509,198002,2397
510,198001,2352
511,197912,2336
512,197911,2255
513,197910,2169
514,197909,2069
515,197908,2014
516,197907,1889
517,197906,1794
518,197905,1762
519,197904,1736
520,197903,1768
521,197902,1858
522,197901,1992
523,197812,2098
524,197811,2169
525,197810,2156
526,197809,2138
527,197808,2127
528,197807,2122
529,197806,2103
530,197805,2066
531,197804,2016
532,197803,1979
533,197802,1954
534,197801,1956
535,197712,1973
536,197711,1945
537,197710,1932
538,197709,1906
539,197708,1888
540,197707,1851
541,197706,1839
542,197705,1813
543,197704,1745
544,197703,1724
545,197702,1690
546,197701,1704
547,197612,1716
548,197611,1703
549,197610,1666
550,197609,1618
551,197608,1563
552,197607,1465
553,197606,1426
554,197605,1375
555,197604,1356
556,197603,1408
557,197602,1468
558,197601,1588
559,197512,1677
560,197511,1644
561,197510,1604
562,197509,1586
563,197508,1533
564,197507,1508
565,197506,1507
566,197505,1490
567,197504,1503
568,197503,1549
569,197502,1518
570,197501,1521
571,197412,1540
572,197411,1497
573,197410,1493
574,197409,1437
575,197408,1426
576,197407,1387
577,197406,1342
578,197405,1319
579,197404,1280
580,197403,1272
581,197402,1264
582,197401,1283
583,197312,1318
584,197311,1304
585,197310,1250
586,197309,1183
587,197308,1140
588,197307,1075
589,197306,1042
590,197305,974
591,197304,914
592,197303,959
593,197302,1037
594,197301,1120
