,"Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore, Monthly /// units: Number of Rigs /// most recent data point: 202207 /// last updated: 2022-08-23T08:42:59-0400",
,date,value
0,202207,740
1,202206,723
2,202205,701
3,202204,677
4,202203,649
5,202202,622
6,202201,583
7,202112,565
8,202111,545
9,202110,526
10,202109,502
11,202108,486
12,202107,468
13,202106,451
14,202105,439
15,202104,424
16,202103,395
17,202102,381
18,202101,358
19,202012,326
20,202011,298
21,202010,266
22,202009,242
23,202008,237
24,202007,243
25,202006,262
26,202005,335
27,202004,548
28,202003,752
29,202002,768
30,202001,770
31,201912,781
32,201911,788
33,201910,825
34,201909,852
35,201908,900
36,201907,930
37,201906,945
38,201905,965
39,201904,990
40,201903,1001
41,201902,1029
42,201901,1044
43,201812,1054
44,201811,1055
45,201810,1041
46,201809,1033
47,201808,1031
48,201807,1032
49,201806,1037
50,201805,1026
51,201804,995
52,201803,976
53,201802,952
54,201801,919
55,201712,911
56,201711,891
57,201710,901
58,201709,922
59,201708,930
60,201707,931
61,201706,909
62,201705,871
63,201704,833
64,201703,770
65,201702,724
66,201701,659
67,201612,611
68,201611,558
69,201610,521
70,201609,491
71,201608,464
72,201607,429
73,201606,396
74,201605,384
75,201604,411
76,201603,451
77,201602,506
78,201601,615
79,201512,686
80,201511,729
81,201510,758
82,201509,816
83,201508,849
84,201507,835
85,201506,833
86,201505,857
87,201504,943
88,201503,1066
89,201502,1296
90,201501,1629
91,201412,1824
92,201411,1872
93,201410,1867
94,201409,1866
95,201408,1842
96,201407,1819
97,201406,1804
98,201405,1801
99,201404,1784
100,201403,1750
101,201402,1714
102,201401,1711
103,201312,1710
104,201311,1698
105,201310,1683
106,201309,1695
107,201308,1720
108,201307,1708
109,201306,1706
110,201305,1715
111,201304,1707
112,201303,1705
113,201302,1708
114,201301,1704
115,201212,1733
116,201211,1758
117,201210,1785
118,201209,1808
119,201208,1863
120,201207,1894
121,201206,1923
122,201205,1931
123,201204,1917
124,201203,1935
125,201202,1949
126,201201,1960
127,201112,1961
128,201111,1974
129,201110,1982
130,201109,1946
131,201108,1923
132,201107,1865
133,201106,1829
134,201105,1804
135,201104,1762
136,201103,1694
137,201102,1692
138,201101,1686
139,201012,1687
140,201011,1661
141,201010,1647
142,201009,1635
143,201008,1619
144,201007,1558
145,201006,1511
146,201005,1464
147,201004,1426
148,201003,1369
149,201002,1305
150,201001,1225
151,200912,1136
152,200911,1071
153,200910,1011
154,200909,976
155,200908,949
156,200907,893
157,200906,848
158,200905,864
159,200904,947
160,200903,1059
161,200902,1263
162,200901,1487
163,200812,1716
164,200811,1872
165,200810,1903
166,200809,1942
167,200808,1920
168,200807,1865
169,200806,1834
