,"Natural Gas Working Inventory U.S. Total, Monthly /// units: billion cubic feet, end-of-period /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
0,202312,3182.397
1,202311,3748.935
2,202310,3841.399
3,202309,3530.319
4,202308,3118.386
5,202307,2893.413
6,202306,2702.379
7,202305,2343.908
8,202304,1855.066
9,202303,1547.201
10,202302,1683.496
11,202301,2137.707
12,202212,2879.131
13,202211,3385.57
14,202210,3459.047
15,202209,3132.484
16,202208,2715.882
17,202207,2493.2275714
18,202206,2327.7617143
19,202205,1998.293
20,202204,1611.765
21,202203,1401.465
22,202202,1562.018
23,202201,2215.941
24,202112,3209.982
25,202111,3532.775
26,202110,3665.385
27,202109,3305.982
28,202108,2917.268
29,202107,2754.714
30,202106,2585.126
31,202105,2389.891
32,202104,1975.103
33,202103,1801.294
34,202102,1859.287
35,202101,2634.967
36,202012,3340.981
37,202011,3931.616
38,202010,3928.503
39,202009,3839.836
40,202008,3522.216
41,202007,3293.549
42,202006,3133.095
43,202005,2777.584
44,202004,2332.493
45,202003,2029.359
46,202002,2080.883
47,202001,2616.175
48,201912,3188.243
49,201911,3610.029
50,201910,3762.043
51,201909,3414.939
52,201908,2997.81
53,201907,2714.196
54,201906,2460.748
55,201905,2031.031
56,201904,1559.401
57,201903,1184.89
58,201902,1426.21
59,201901,1993.996
60,201812,2708.318
61,201811,3030.079
62,201810,3236.254
63,201809,2950.368
64,201808,2616.841
65,201807,2381.269
66,201806,2195.226
67,201805,1847.454
68,201804,1426.799
69,201803,1390.279
70,201802,1672.662
71,201801,2140.556
72,201712,3032.601
73,201711,3709.263
74,201710,3816.496
75,201709,3567.228
76,201708,3249.896
77,201707,3054.151
78,201706,2906.808
79,201705,2626.507
80,201704,2291.25
81,201703,2062.504
82,201702,2337.331
83,201701,2622.158
84,201612,3296.944
85,201611,3976.581
86,201610,4012.723
87,201609,3705.161
88,201608,3441.325
89,201607,3318.139
90,201606,3186.032
91,201605,2966.265
92,201604,2645.56
93,201603,2486.322
94,201602,2534.292
95,201601,2938.089
96,201512,3666.632
97,201511,3926.822
98,201510,3942.279
99,201509,3614.08
100,201508,3241.631
101,201507,2924.426
102,201506,2646.533
103,201505,2287.238
104,201504,1793.086
105,201503,1471.476
106,201502,1665.548
107,201501,2407.121
108,201412,3141.222
109,201411,3426.868
110,201410,3587.27
111,201409,3187.016
112,201408,2768.398
113,201407,2399.974
114,201406,2005.475
115,201405,1547.944
116,201404,1066.38
117,201403,857.31
118,201402,1199.987
119,201401,1924.922
120,201312,2889.892
121,201311,3605.336
122,201310,3816.995
123,201309,3564.504
124,201308,3212.006
125,201307,2936.86
126,201306,2642.648
127,201305,2269.563
128,201304,1855.187
129,201303,1719.844
130,201302,2099.354
131,201301,2699.226
132,201212,3412.91
133,201211,3799.215
134,201210,3929.25
135,201209,3693.053
136,201208,3406.134
137,201207,3245.201
138,201206,3115.446
139,201205,2887.06
140,201204,2611.226
141,201203,2473.129
142,201202,2448.81
143,201201,2910.006
144,201112,3462.02
145,201111,3842.882
146,201110,3803.828
147,201109,3415.697
148,201108,3019.154
149,201107,2775.346
150,201106,2529.647
151,201105,2186.855
152,201104,1788.479
153,201103,1577.006
154,201102,1721.874
155,201101,2305.843
156,201012,3111.085
157,201011,3768.904
158,201010,3850.64
159,201009,3507.646
160,201008,3152.761
161,201007,2965.779
162,201006,2740.056
163,201005,2419.659
164,201004,2011.101
165,201003,1652.412
166,201002,1683.334
167,201001,2303.857
168,200912,3130.075
169,200911,3837.424
170,200910,3809.867
171,200909,3645.977
172,200908,3359.118
173,200907,3090.305
174,200906,2760.133
175,200905,2374.809
176,200904,1909.915
177,200903,1659.646
178,200902,1758.022
179,200901,2133.233
180,200812,2840.363
181,200811,3345.91
182,200810,3399.381
183,200809,3160.918
184,200808,2866.163
185,200807,2517.023
186,200806,2177.548
187,200805,1839.543
188,200804,1436.402
189,200803,1266.065
190,200802,1464.69
