,"Natural Gas Total Marketed Production, Monthly /// units: billion cubic feet per day /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,105.7505
1,202211,105.5964
2,202210,105.0832
3,202209,104.7681
4,202208,104.2391
5,202207,103.8283
6,202206,103.624
7,202205,103.4552
8,202204,103.305
9,202203,103.2327
10,202202,103.1477
11,202201,103.5493
12,202112,103.7872
13,202111,104.2398
14,202110,103.1483
15,202109,101.84069197
16,202108,102.48517684
17,202107,101.64221277
18,202106,101.20182217
19,202105,100.97446219
20,202104,101.19347587
21,202103,99.734250968
22,202102,92.371726429
23,202101,100.33393171
24,202012,99.635529613
25,202011,99.4842823
26,202010,96.510560097
27,202009,97.2522845
28,202008,97.147755226
29,202007,97.462303806
30,202006,95.766694833
31,202005,94.420545452
32,202004,100.39473583
33,202003,103.10437761
34,202002,102.91780372
35,202001,103.03795468
36,201912,104.34663139
37,201911,104.46421463
38,201910,102.77903242
39,201909,101.88451143
40,201908,101.49624939
41,201907,99.087025097
42,201906,98.543467
43,201905,98.272419548
44,201904,97.528116933
45,201903,97.058319613
46,201902,96.616020179
47,201901,95.96224929
48,201812,95.997219
49,201811,96.4699359
50,201810,94.814522129
51,201809,93.6272444
52,201808,92.116134129
53,201807,90.295025742
54,201806,88.531791267
55,201805,88.086030516
56,201804,87.084702967
57,201803,87.232814774
58,201802,86.226719321
59,201801,84.46176271
60,201712,85.892586742
61,201711,85.292362067
62,201710,82.717891258
63,201709,81.273754167
64,201708,79.876760032
65,201707,79.921699935
66,201706,79.105870033
67,201705,78.346423387
68,201704,78.347716967
69,201703,78.25157771
70,201702,76.521014429
71,201701,75.465512419
72,201612,76.050186355
73,201611,76.916482967
74,201610,76.279981226
75,201609,76.580057833
76,201608,77.090734258
77,201607,77.706927194
78,201606,77.076280967
79,201605,77.82178529
80,201604,78.718453533
81,201603,78.773416452
82,201602,79.673152793
83,201601,78.560495516
84,201512,78.545799935
85,201511,78.541217433
86,201510,78.872316903
87,201509,79.451043
88,201508,78.952723355
89,201507,78.862992581
90,201506,78.613866867
91,201505,78.797208032
92,201504,79.947986
93,201503,78.810305774
94,201502,78.463815107
95,201501,78.075868548
96,201412,77.748464323
97,201411,77.150550233
98,201410,77.647430871
99,201409,76.8848004
100,201408,76.912024129
101,201407,76.495453194
102,201406,74.902743667
103,201405,74.517992161
104,201404,74.9225661
105,201403,73.133472452
106,201402,72.608525321
107,201401,70.928873097
108,201312,70.254420097
109,201311,71.453521933
110,201310,70.729019032
111,201309,70.515447033
112,201308,70.699253806
113,201307,70.851733774
114,201306,69.479765533
115,201305,69.58219671
116,201304,69.820758767
117,201303,68.93084571
118,201302,69.116977571
119,201301,68.916140871
120,201212,69.439991258
121,201211,70.061086667
122,201210,69.960463613
123,201209,69.8096314
124,201208,69.411020161
125,201207,69.754334742
126,201206,67.9969672
127,201205,68.431188548
128,201204,68.150617067
129,201203,68.344927419
130,201202,68.083835276
131,201201,69.441883742
132,201112,68.867885935
133,201111,69.205059267
134,201110,68.346276387
135,201109,66.237803367
136,201108,66.342472548
137,201107,65.574023419
138,201106,65.148447867
139,201105,65.506304871
140,201104,65.3615758
141,201103,64.592218194
142,201102,61.747449071
143,201101,62.991348903
144,201012,64.005625161
145,201011,63.0886137
146,201010,63.100438774
147,201009,62.0345959
148,201008,61.870813065
149,201007,61.163938677
150,201006,60.083054967
151,201005,60.854062613
152,201004,60.4437398
153,201003,60.145776581
154,201002,60.102474036
155,201001,58.843326194
156,200912,58.143526323
157,200911,58.583990067
158,200910,58.545577645
159,200909,57.799321333
160,200908,59.428503806
161,200907,58.961239161
162,200906,59.733104133
163,200905,59.462172194
164,200904,59.441128967
165,200903,60.485596613
166,200902,60.889980536
167,200901,60.337585387
168,200812,58.934391968
169,200811,58.5980796
170,200810,56.588755097
171,200809,51.967584133
172,200808,58.91586229
173,200807,59.765295968
174,200806,58.699925833
175,200805,57.997313194
176,200804,58.007622667
177,200803,58.195635935
178,200802,57.451535621
179,200801,56.949898742
180,200712,57.264618774
181,200711,57.077122433
182,200710,55.915260903
183,200709,55.8248243
184,200708,55.250689161
185,200707,54.943115097
186,200706,55.5488432
187,200705,55.566109581
188,200704,54.222445367
189,200703,54.938224839
190,200702,54.052164571
191,200701,53.30547
192,200612,54.356929129
193,200611,53.844070467
194,200610,54.044738194
195,200609,53.9147231
196,200608,53.420436581
197,200607,53.235893839
198,200606,53.802041733
199,200605,52.649635548
200,200604,52.3515219
201,200603,52.625273161
202,200602,51.820809964
203,200601,51.967750613
204,200512,51.372046645
205,200511,50.480240833
206,200510,47.600698581
207,200509,46.698039533
208,200508,52.239152065
209,200507,52.497649032
210,200506,53.724767233
211,200505,53.292921419
212,200504,53.820463433
213,200503,54.430551097
214,200502,53.5100325
215,200501,52.667256387
216,200412,52.478505387
217,200411,52.790663867
218,200410,52.271698387
219,200409,51.679202267
220,200408,53.35782529
221,200407,53.822243871
222,200406,53.969893933
223,200405,53.361592226
224,200404,54.307344733
225,200403,54.360465129
226,200402,53.498531448
227,200401,54.012830677
228,200312,53.971169677
229,200311,54.002823567
230,200310,54.664386613
231,200309,54.6275095
232,200308,54.872760839
233,200307,53.780019129
234,200306,54.889673433
235,200305,54.853554774
236,200304,55.510981467
237,200303,56.104533226
238,200302,54.896750964
239,200301,54.538142581
240,200212,54.666910613
241,200211,54.4748748
242,200210,52.588567258
243,200209,53.098938233
244,200208,54.333548355
245,200207,55.457654484
246,200206,54.9522741
247,200205,55.201339065
248,200204,54.806428367
249,200203,54.885683226
250,200202,54.389873357
251,200201,54.862694677
252,200112,55.606558258
253,200111,55.7125814
254,200110,56.690218742
255,200109,56.289384133
256,200108,56.04139129
257,200107,56.038234806
258,200106,56.185606967
259,200105,56.875501645
260,200104,56.777003733
261,200103,56.992056871
262,200102,56.519906357
263,200101,56.556034871
264,200012,55.434530548
265,200011,55.4947232
266,200010,56.450922161
267,200009,55.440814367
268,200008,55.443158419
269,200007,55.027199258
270,200006,55.045880767
271,200005,54.574730452
272,200004,54.282468
273,200003,55.558202097
274,200002,54.269208655
275,200001,55.117292484
276,199912,54.406321516
277,199911,54.6937517
278,199910,53.84126529
279,199909,53.688764467
280,199908,53.680150935
281,199907,53.794733226
282,199906,54.019220933
283,199905,53.553340129
284,199904,54.3173784
285,199903,55.021214645
286,199902,55.028162679
287,199901,55.138021226
288,199812,53.445574742
289,199811,53.863061333
290,199810,53.79985029
291,199809,51.520478133
292,199808,54.921961613
293,199807,54.542596548
