,"Crude Oil Inventory (excluding SPR), Monthly /// units: million barrels, end-of-period /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,440.973
1,202211,451.5582
2,202210,448.4538
3,202209,438.4714
4,202208,437.2304
5,202207,447.4683
6,202206,461.7339
7,202205,469.116
8,202204,467.3862
9,202203,457.0241
10,202202,442.2377
11,202201,432.9109
12,202112,426.1709
13,202111,434.33484989
14,202110,434.53142857
15,202109,420.35
16,202108,421.717
17,202107,438.918
18,202106,447.951
19,202105,476.594
20,202104,489.73
21,202103,501.902
22,202102,493.155
23,202101,475.853
24,202012,485.471
25,202011,500.752
26,202010,493.922
27,202009,497.724
28,202008,504.399
29,202007,520.124
30,202006,532.657
31,202005,521.593
32,202004,529.035
33,202003,483.341
34,202002,452.563
35,202001,440.253
36,201912,432.772
37,201911,445.887
38,201910,443.367
39,201909,425.614
40,201908,430.118
41,201907,441.588
42,201906,463.446
43,201905,481.125
44,201904,469.802
45,201903,458.89
46,201902,451.66
47,201901,448.972
48,201812,442.501
49,201811,449.379
50,201810,433.808
51,201809,416.684
52,201808,407.583
53,201807,409.641
54,201806,415.152
55,201805,434.197
56,201804,436.578
57,201803,424.939
58,201802,423.843
59,201801,420.76
60,201712,421.646
61,201711,453.054
62,201710,459.731
63,201709,469.588
64,201708,459.982
65,201707,483.411
66,201706,501.557
67,201705,516.808
68,201704,524.286
69,201703,538.595
70,201702,525.419
71,201701,506.798
72,201612,484.622
73,201611,490.734
74,201610,491.203
75,201609,471.537
76,201608,486.675
77,201607,493.458
78,201606,500.857
79,201605,511.861
80,201604,509.323
81,201603,504.811
82,201602,492.153
83,201601,471.767
84,201512,449.22
85,201511,455.994
86,201510,455.213
87,201509,429.129
88,201508,425.853
89,201507,424.809
90,201506,438.81
91,201505,448.961
92,201504,452.713
93,201503,443.2
94,201502,415.313
95,201501,389.213
96,201412,360.865
97,201411,356.729
98,201410,351.717
99,201409,332.155
100,201408,331.076
101,201407,338.737
102,201406,354.305
103,201405,365.46
104,201404,365.339
105,201403,354.987
106,201402,345.274
107,201401,336.238
108,201312,327.191
109,201311,344.172
110,201310,352.597
111,201309,344.016
112,201308,337.127
113,201307,339.391
114,201306,348.807
115,201305,363.304
116,201304,367.555
117,201303,364.621
118,201302,356.799
119,201301,349.294
120,201212,337.796
121,201211,352.411
122,201210,349.531
123,201209,343.342
124,201208,336.391
125,201207,346.677
126,201206,362.153
127,201205,363.759
128,201204,357.045
129,201203,347.608
130,201202,322.879
131,201201,317.882
132,201112,308.221
133,201111,314.602
134,201110,314.922
135,201109,308.245
136,201108,324.817
137,201107,324.292
138,201106,333.699
139,201105,346.072
140,201104,344.413
141,201103,338.421
142,201102,326.814
143,201101,323.459
144,201012,312.082
145,201011,331.442
146,201010,346.83
147,201009,342.318
148,201008,338.719
149,201007,337.017
150,201006,344.988
151,201005,341.282
152,201004,342.635
153,201003,338.442
154,201002,322.375
155,201001,316.104
156,200912,307.14
157,200911,318.846
158,200910,314.409
159,200909,317.074
160,200908,317.546
161,200907,327.214
162,200906,328.657
163,200905,341.106
164,200904,352.171
165,200903,348.428
166,200902,339.285
167,200901,333.154
168,200812,308.245
169,200811,304.011
170,200810,295.16
171,200809,286.462
172,200808,285.014
173,200807,277.848
174,200806,278.254
175,200805,286.15
176,200804,302.239
177,200803,297.218
178,200802,284.627
179,200801,278.727
180,200712,268.393
181,200711,282.18
182,200710,290.033
183,200709,294.041
184,200708,303.47
185,200707,319.48
186,200706,336.953
187,200705,336.088
188,200704,324.791
189,200703,313.541
190,200702,300.287
191,200701,307.333
192,200612,295.819
193,200611,318.184
194,200610,322.917
195,200609,316.599
196,200608,316.622
197,200607,315.387
198,200606,320.523
199,200605,324.286
200,200604,331.258
201,200603,326.417
202,200602,326.383
203,200601,307.204
204,200512,307.651
205,200511,306.323
206,200510,306.035
207,200509,290.327
208,200508,293.574
209,200507,302.4
210,200506,311.882
211,200505,320.029
212,200504,321.717
213,200503,303.506
214,200502,286.01
215,200501,270.314
216,200412,285.741
217,200411,288.238
218,200410,286.666
219,200409,272.951
220,200408,278.644
221,200407,294.424
222,200406,304.845
223,200405,304.508
224,200404,303.3
225,200403,297.348
226,200402,284.315
227,200401,271.606
228,200312,268.875
229,200311,281.226
230,200310,294.644
231,200309,286.656
232,200308,279.495
233,200307,284.922
234,200306,284.594
235,200305,285.523
236,200304,291.375
237,200303,281.587
238,200302,271.086
239,200301,274.045
240,200212,277.614
241,200211,288.067
242,200210,291.471
243,200209,270.647
244,200208,296.217
245,200207,304.274
246,200206,317.554
247,200205,327.029
248,200204,324.649
249,200203,333.504
250,200202,327.357
251,200201,320.302
252,200112,311.98
253,200111,312.19
254,200110,313.234
255,200109,309.287
256,200108,307.935
257,200107,312.883
258,200106,308.249
259,200105,328.364
260,200104,330.577
261,200103,308.544
262,200102,282.467
263,200101,294.327
264,200012,285.507
265,200011,286.441
266,200010,277.879
267,200009,277.893
268,200008,287.287
269,200007,282.19
270,200006,290.623
271,200005,294.712
272,200004,303.833
273,200003,297.087
274,200002,285.847
275,200001,283.877
276,199912,284.482
277,199911,298.327
278,199910,304.068
279,199909,303.516
280,199908,315.156
281,199907,331.867
282,199906,331.721
283,199905,339.987
284,199904,335.479
285,199903,344.998
286,199902,333.621
287,199901,332.21
288,199812,323.543
289,199811,335.269
290,199810,330.158
291,199809,309.773
292,199808,328.992
293,199807,338.068
294,199806,332.276
295,199805,350.875
296,199804,351.149
297,199803,334.484
298,199802,317.805
299,199801,316.754
300,199712,304.69
301,199711,323.522
302,199710,315.957
303,199709,303.775
304,199708,300.911
305,199707,309.694
306,199706,320.324
307,199705,326.279
308,199704,319.134
309,199703,313.219
310,199702,297.107
311,199701,300.506
312,199612,283.853
313,199611,299.296
314,199610,307.925
315,199609,302.116
316,199608,313.158
317,199607,308.413
318,199606,314.435
319,199605,303.927
320,199604,303.178
321,199603,299.657
322,199602,301.269
323,199601,303.081
324,199512,303.328
325,199511,318.981
326,199510,311.072
327,199509,305.846
328,199508,307.75
329,199507,315.599
330,199506,327.911
331,199505,332.352
332,199504,336.445
333,199503,339.486
334,199502,329.083
335,199501,330.463
336,199412,337.245
337,199411,346.287
338,199410,343.237
339,199409,335.327
340,199408,328.519
341,199407,332.527
342,199406,327.933
343,199405,331.544
344,199404,339.391
345,199403,342.345
346,199402,335.351
347,199401,338.067
348,199312,335.385
349,199311,337.307
350,199310,330.32
351,199309,320.731
352,199308,335.471
353,199307,351.873
354,199306,352.276
355,199305,352.862
356,199304,348.711
357,199303,337.113
358,199302,332.336
359,199301,326.699
360,199212,318.14
361,199211,325.385
362,199210,332.662
363,199209,322.058
364,199208,328.17
365,199207,332.635
366,199206,325.073
367,199205,343.513
368,199204,347.995
369,199203,338.536
370,199202,346.3
371,199201,341.334
372,199112,324.594
373,199111,343.527
374,199110,342.234
375,199109,340.641
376,199108,345.307
377,199107,342.1
378,199106,346.842
379,199105,355.809
380,199104,338.259
381,199103,336.771
382,199102,331.098
383,199101,320.496
384,199012,322.695
385,199011,338.727
386,199010,346.311
387,199009,342.605
388,199008,369.5
389,199007,379.461
390,199006,384.223
391,199005,382.54
392,199004,370.472
393,199003,370.845
394,199002,339.429
395,199001,349.007
