,"Producer Price Index: Petroleum, Monthly /// units: Index, 1982=1.00 /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,1.948353
1,202211,2.026716
2,202210,2.060375
3,202209,2.10397
4,202208,2.147004
5,202207,2.125036
6,202206,2.148681
7,202205,2.170258
8,202204,2.157801
9,202203,2.185732
10,202202,2.176064
11,202201,2.194056
12,202112,2.289554
13,202111,2.469044
14,202110,2.492228
15,202109,2.294607
16,202108,2.283327
17,202107,2.285465
18,202106,2.235296
19,202105,2.145717
20,202104,2.048318
21,202103,2.020113
22,202102,1.848965
23,202101,1.637411
24,202012,1.579821
25,202011,1.476
26,202010,1.466
27,202009,1.452
28,202008,1.491
29,202007,1.46
30,202006,1.262
31,202005,0.983
32,202004,0.903
33,202003,1.478
34,202002,1.758
35,202001,1.903
36,201912,1.913
37,201911,1.921
38,201910,1.956
39,201909,1.903
40,201908,1.942
41,201907,2.019
42,201906,1.972
43,201905,2.151
44,201904,2.117
45,201903,1.971
46,201902,1.776
47,201901,1.676
48,201812,1.838
49,201811,2.143
50,201810,2.331
51,201809,2.266
52,201808,2.239
53,201807,2.282
54,201806,2.294
55,201805,2.283
56,201804,2.077
57,201803,1.977
58,201802,1.997
59,201801,1.97
60,201712,1.919
61,201711,1.927
62,201710,1.857
63,201709,1.883
64,201708,1.729
65,201707,1.645
66,201706,1.638
67,201705,1.656
68,201704,1.706
69,201703,1.65
70,201702,1.665
71,201701,1.653
72,201612,1.563
73,201611,1.521
74,201610,1.59
75,201609,1.542
76,201608,1.483
77,201607,1.562
78,201606,1.584
79,201605,1.463
80,201604,1.324
81,201603,1.222
82,201602,1.146
83,201601,1.254
84,201512,1.386
85,201511,1.562
86,201510,1.613
87,201509,1.658
88,201508,1.884
89,201507,2.014
90,201506,2.048
91,201505,2.034
92,201504,1.783
93,201503,1.819
94,201502,1.695
95,201501,1.627
96,201412,2.041
97,201411,2.402
98,201410,2.602
99,201409,2.851
100,201408,2.917
101,201407,2.941
102,201406,2.983
103,201405,2.986
104,201404,3.011
105,201403,2.941
106,201402,2.871
107,201401,2.818
108,201312,2.808
109,201311,2.779
110,201310,2.908
111,201309,3.007
112,201308,3.013
113,201307,2.944
114,201306,2.942
115,201305,2.961
116,201304,2.976
117,201303,3.038
118,201302,3.113
119,201301,2.876
120,201212,2.833
121,201211,2.924
