,"Natural Gas Henry Hub Spot Price ($/mcf), Monthly /// units: dollars per thousand cubic feet /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,3.93781
1,202211,3.86508
2,202210,3.81313
3,202209,3.83391
4,202208,3.97937
5,202207,3.96898
6,202206,3.95859
7,202205,3.89625
8,202204,4.0521
9,202203,4.65472
10,202202,4.78979
11,202201,4.82096
12,202112,4.6755
13,202111,5.24695
14,202110,5.72489
15,202109,5.36124
16,202108,4.22873
17,202107,3.98976
18,202106,3.38714
19,202105,3.02349
20,202104,2.766857
21,202103,2.72218
22,202102,5.55865
23,202101,2.81569
24,202012,2.69101
25,202011,2.71179
26,202010,2.48321
27,202009,1.996958
28,202008,2.3897
29,202007,1.835913
30,202006,1.694609
31,202005,1.816172
32,202004,1.80786
33,202003,1.85981
34,202002,1.98449
35,202001,2.09878
36,201912,2.305541
37,201911,2.756467
38,201910,2.421909
39,201909,2.658801
40,201908,2.307619
41,201907,2.458274
42,201906,2.492561
43,201905,2.740882
44,201904,2.750233
45,201903,3.062972
46,201902,2.795949
47,201901,3.230251
48,201812,4.194558
49,201811,4.246458
50,201810,3.400488
51,201809,3.10881
52,201808,3.073518
53,201807,2.940654
54,201806,3.079746
55,201805,2.9064
56,201804,2.902248
57,201803,2.795334
58,201802,2.77146
59,201801,3.83022
60,201712,2.925377
61,201711,3.125518
62,201710,2.985523
63,201709,3.086112
64,201708,3.0073
65,201707,3.094408
66,201706,3.085075
67,201705,3.26655
68,201704,3.217811
69,201703,2.98656
70,201702,2.957524
71,201701,3.426248
72,201612,3.731049
73,201611,2.647372
74,201610,3.093103
75,201609,3.108688
76,201608,2.932058
77,201607,2.932058
78,201606,2.687893
79,201605,1.996958
80,201604,1.991763
81,201603,1.796431
82,201602,2.066571
83,201601,2.372037
84,201512,2.00334
85,201511,2.172534
86,201510,2.429958
87,201509,2.76108
88,201508,2.879412
89,201507,2.946882
90,201506,2.889792
91,201505,2.957262
92,201504,2.70918
93,201503,2.938578
94,201502,2.982174
95,201501,3.107772
96,201412,3.596906
97,201411,4.258026
98,201410,3.905773
99,201409,4.053492
100,201408,4.041096
101,201407,4.182617
102,201406,4.739404
103,201405,4.732173
104,201404,4.811714
105,201403,5.064799
106,201402,6.196967
107,201401,4.868529
108,201312,4.35872
109,201311,3.739864
110,201310,3.779956
111,201309,3.720332
112,201308,3.5209
113,201307,3.724444
114,201306,3.933128
115,201305,4.154148
116,201304,4.282648
117,201303,3.91668
118,201302,3.42324
119,201301,3.422212
120,201212,3.42555
121,201211,3.6285
122,201210,3.399925
123,201209,2.9192
124,201208,2.90895
125,201207,3.026825
126,201206,2.516375
127,201205,2.4928
128,201204,1.993625
129,201203,2.2263
130,201202,2.567625
131,201201,2.737775
132,201112,3.23974
133,201111,3.310258
134,201110,3.644452
135,201109,3.981712
136,201108,4.14421
137,201107,4.521328
138,201106,4.636814
139,201105,4.405842
140,201104,4.32817
141,201103,4.061428
142,201102,4.183046
143,201101,4.592868
144,201012,4.346727
145,201011,3.799422
146,201010,3.512982
147,201009,3.983562
148,201008,4.414245
149,201007,4.733421
150,201006,4.911423
151,201005,4.23522
152,201004,4.126782
153,201003,4.389693
154,201002,5.44236
155,201001,5.966136
156,200912,5.4817
157,200911,3.754575
158,200910,4.1082
159,200909,3.061675
160,200908,3.219525
161,200907,3.4686
162,200906,3.895
163,200905,3.928825
164,200904,3.582375
165,200903,4.059
166,200902,4.627875
167,200901,5.372025
168,200812,5.972005
169,200811,6.864468
170,200810,6.918899
171,200809,7.881198
172,200808,8.479939
173,200807,11.388403
174,200806,13.027495
175,200805,11.573263
176,200804,10.455887
177,200803,9.667151
178,200802,8.774688
179,200801,8.200595
180,200712,7.296835
181,200711,7.293754
182,200710,6.925061
183,200709,6.243133
184,200708,6.385886
185,200707,6.386913
186,200706,7.544342
187,200705,7.843199
188,200704,7.806227
189,200703,7.299916
190,200702,8.218054
191,200701,6.728904
192,200612,6.922552
193,200611,7.61234
194,200610,6.010716
195,200609,5.033088
196,200608,7.33478
197,200607,6.340704
198,200606,6.38388
199,200605,6.41986
200,200604,7.364592
201,200603,7.080864
202,200602,7.747008
203,200601,8.929208
204,200512,13.414372
205,200511,10.592512
206,200510,13.797816
207,200509,12.07386
208,200508,9.799924
209,200507,7.842612
210,200506,7.384124
211,200505,6.653216
212,200504,7.359452
213,200503,7.15488
214,200502,6.309864
215,200501,6.3222
216,200412,6.748002
217,200411,6.32529
218,200410,6.518178
219,200409,5.27877
220,200408,5.546556
221,200407,6.085206
222,200406,6.43302
223,200405,6.498684
224,200404,5.857434
225,200403,5.534244
226,200402,5.508594
227,200401,6.298614
228,200312,6.305712
229,200311,4.59963
230,200310,4.761183
231,200309,4.75398
232,200308,5.129565
233,200307,5.171754
234,200306,5.987751
235,200305,5.982606
236,200304,5.415627
237,200303,6.105057
238,200302,7.931532
239,200301,5.589528
240,200212,4.859525
241,200211,4.144075
242,200210,4.230175
243,200209,3.637725
244,200208,3.1652
245,200207,3.061675
246,200206,3.34355
247,200205,3.58545
248,200204,3.512675
249,200203,3.104725
250,200202,2.3821
251,200201,2.37595
252,200112,2.368758
253,200111,2.410947
254,200110,2.532369
255,200109,2.255568
256,200108,3.054072
257,200107,3.199161
258,200106,3.82788
259,200105,4.312539
260,200104,5.342568
261,200103,5.38167
262,200102,5.768574
263,200101,8.408988
264,200012,9.129348
265,200011,5.667624
266,200010,5.152572
267,200009,5.187456
268,200008,4.544154
269,200007,4.092714
270,200006,4.400514
271,200005,3.679236
272,200004,3.11904
273,200003,2.865618
274,200002,2.72916
275,200001,2.484972
276,199912,2.42094
277,199911,2.433276
278,199910,2.804384
279,199909,2.617288
280,199908,2.87326
281,199907,2.371596
282,199906,2.368512
283,199905,2.32328
284,199904,2.2102
285,199903,1.842176
286,199902,1.820588
287,199901,1.900772
288,199812,1.778826
289,199811,2.193059
290,199810,1.975096
291,199809,2.084594
292,199808,1.912083
293,199807,2.238511
294,199806,2.238511
295,199805,2.211653
296,199804,2.508124
297,199803,2.315986
298,199802,2.302557
299,199801,2.160003
300,199712,2.411396
301,199711,3.089216
302,199710,3.156998
303,199709,2.960841
304,199708,2.558257
305,199707,2.24913
306,199706,2.262481
307,199705,2.306642
308,199704,2.087891
309,199703,1.942057
310,199702,2.209077
311,199701,3.544177
