State,County,Use,Year,Volume
Texas,Andrews,Indirect,1981,101.8413
Texas,Andrews,Indirect,1981,48.6
Texas,Andrews,Indirect,1981,30.762375
Texas,Andrews,Indirect,1981,23.750352
Texas,Andrews,Indirect,1981,9.701051
Texas,Andrews,Indirect,1981,4.367033
Texas,Andrews,Indirect,1981,0.22512
Texas,Andrews,Indirect,1981,0.0982
Texas,Andrews,Indirect,1981,0.006
Texas,Andrews,Indirect,1982,106.262
Texas,Andrews,Indirect,1982,50.963
Texas,Andrews,Indirect,1982,25.383634
Texas,Andrews,Indirect,1982,24.32667
Texas,Andrews,Indirect,1982,10.035
Texas,Andrews,Indirect,1982,3.46542
Texas,Andrews,Indirect,1982,0.22407
Texas,Andrews,Indirect,1982,0.0907
Texas,Andrews,Indirect,1982,0.0012
Texas,Andrews,Indirect,1983,101.3
Texas,Andrews,Indirect,1983,53.1841
Texas,Andrews,Indirect,1983,40.91332
Texas,Andrews,Indirect,1983,25.38364
Texas,Andrews,Indirect,1983,20.737724
Texas,Andrews,Indirect,1983,3.8157
Texas,Andrews,Indirect,1983,0.13885
Texas,Andrews,Indirect,1983,0.04977
Texas,Andrews,Indirect,1984,91.919
Texas,Andrews,Indirect,1984,55.94
Texas,Andrews,Indirect,1984,52.36028
Texas,Andrews,Indirect,1984,25.389
Texas,Andrews,Indirect,1984,18.48618
Texas,Andrews,Indirect,1985,84.2112
Texas,Andrews,Indirect,1985,79.622
Texas,Andrews,Indirect,1985,34.313
Texas,Andrews,Indirect,1985,25.825884
Texas,Andrews,Indirect,1985,15.531249
Texas,Andrews,Indirect,1986,84.211
Texas,Andrews,Indirect,1986,80.34
Texas,Andrews,Indirect,1986,67.4915
Texas,Andrews,Indirect,1986,27.172488
Texas,Andrews,Indirect,1986,11.796816
Texas,Andrews,Indirect,1986,0.684
Texas,Andrews,Indirect,1987,95.6496
Texas,Andrews,Indirect,1987,81.216
Texas,Andrews,Indirect,1987,46.376613999999996
Texas,Andrews,Indirect,1987,27.296892
Texas,Andrews,Indirect,1987,0.689
Texas,Andrews,Indirect,1988,81.216
Texas,Andrews,Indirect,1988,75.6283
Texas,Andrews,Indirect,1988,63.2256
Texas,Andrews,Indirect,1988,44.536696
Texas,Andrews,Indirect,1988,0.618475
Texas,Andrews,Indirect,1989,81.216
Texas,Andrews,Indirect,1989,75.9996
Texas,Andrews,Indirect,1989,47.9076
Texas,Andrews,Indirect,1989,44.4996
Texas,Andrews,Indirect,1989,11.035
Texas,Andrews,Indirect,1989,0.5606
Texas,Andrews,Indirect,1990,81.616
Texas,Andrews,Indirect,1990,48
Texas,Andrews,Indirect,1990,34.8537
Texas,Andrews,Indirect,1990,3.367
Texas,Andrews,Indirect,1990,0.4104
Texas,Andrews,Indirect,1991,81.216
Texas,Andrews,Indirect,1991,18.121
Texas,Andrews,Indirect,1991,5.2416
Texas,Andrews,Indirect,1991,0.3996
Texas,Andrews,Indirect,1991,0.3048
Texas,Andrews,Indirect,1992,81.216
Texas,Andrews,Indirect,1992,19.874
Texas,Andrews,Indirect,1992,5.7014
Texas,Andrews,Indirect,1992,0.3996
Texas,Andrews,Indirect,1992,0.0548
Texas,Andrews,Indirect,1993,81.216
Texas,Andrews,Indirect,1993,17.5465
Texas,Andrews,Indirect,1993,5.469
Texas,Andrews,Indirect,1993,0.84
Texas,Andrews,Indirect,1993,0.202
Texas,Andrews,Indirect,1994,81.216
Texas,Andrews,Indirect,1994,18.25642
Texas,Andrews,Indirect,1994,16.635838
Texas,Andrews,Indirect,1994,5.062
Texas,Andrews,Indirect,1994,0.006
Texas,Andrews,Indirect,1995,81.216
Texas,Andrews,Indirect,1995,36.49648
Texas,Andrews,Indirect,1995,16.1419
Texas,Andrews,Indirect,1995,5.064
Texas,Andrews,Indirect,1995,0.02
Texas,Andrews,Indirect,1996,74.8
Texas,Andrews,Indirect,1996,42.333909
Texas,Andrews,Indirect,1996,36.6182
Texas,Andrews,Indirect,1996,5.054
Texas,Andrews,Indirect,1996,0.0204
Texas,Andrews,Indirect,1997,21.985882
Texas,Andrews,Indirect,1997,11.1886
Texas,Andrews,Indirect,1997,7.951
Texas,Andrews,Indirect,1997,4.921
Texas,Andrews,Indirect,1997,0.024
Texas,Andrews,Indirect,1998,28.74341
Texas,Andrews,Indirect,1998,4.922
Texas,Andrews,Indirect,1998,0.024
Texas,Andrews,Indirect,1999,23.619792
Texas,Andrews,Indirect,1999,1.112715
Texas,Andrews,Indirect,1999,0.024
Texas,Andrews,Indirect,2000,1.112715
Texas,Andrews,Indirect,2010,7.682665
Texas,Andrews,Indirect,2011,33.929599
Texas,Andrews,Indirect,2011,3.208185
Texas,Andrews,Indirect,2012,45.154253
Texas,Andrews,Indirect,2012,3.4613679999999998
Texas,Andrews,Indirect,2013,43.022093
Texas,Andrews,Indirect,2013,3.1437
Texas,Andrews,Indirect,2014,46.645779
Texas,Andrews,Indirect,2014,38.5959
Texas,Andrews,Indirect,2014,1.980594
Texas,Andrews,Indirect,2015,40.87398
Texas,Andrews,Indirect,2015,40.471718
Texas,Andrews,Indirect,2015,3.039477
Texas,Andrews,Indirect,2016,37.093762
Texas,Andrews,Indirect,2016,2.726321
Texas,Andrews,Indirect,2017,17.955577
Texas,Andrews,Indirect,2017,0.647193
Texas,Borden,Indirect,1981,57.348388
Texas,Borden,Indirect,1982,55.065074
Texas,Borden,Indirect,1983,52.998227
Texas,Borden,Indirect,1984,54.358538
Texas,Borden,Indirect,1985,51.23727
Texas,Borden,Indirect,1986,60.89938
Texas,Borden,Indirect,1987,56.53997
Texas,Borden,Indirect,1988,57.35979
