State,County,Year,TotalPpt,AverageTmp
New Mexico,Cibola,1990,398.9763793,9.262107933
New Mexico,Cibola,1991,334.0723353,9.111829285
New Mexico,Cibola,1992,408.9427689,8.912860402
New Mexico,Cibola,1993,353.3069461,9.33561996
New Mexico,Cibola,1994,383.661333,9.713412043
New Mexico,Cibola,1995,247.247945,9.810605848
New Mexico,Cibola,1996,338.3125463,10.25892552
New Mexico,Cibola,1997,428.4652379,9.23399759
New Mexico,Cibola,1998,369.9210117,9.374189972
New Mexico,Cibola,1999,298.8303284,9.778907105
New Mexico,Cibola,2000,301.393889,10.25518296
New Mexico,Cibola,2001,280.1762452,9.91864262
New Mexico,Cibola,2002,296.8951603,9.781471464
New Mexico,Cibola,2003,249.5255588,10.35058749
New Mexico,Cibola,2004,288.7297364,9.356388011
New Mexico,Cibola,2005,312.3123599,10.08258181
New Mexico,Cibola,2006,365.0760495,9.560598758
New Mexico,Cibola,2007,346.3630745,9.738246576
New Mexico,Cibola,2008,307.6027995,9.287156014
New Mexico,Cibola,2009,256.3513842,9.414174419
New Mexico,Cibola,2010,347.7773913,9.490147545
New Mexico,Cibola,2011,314.7149813,9.241317257
New Mexico,Cibola,2012,198.7239727,10.38334845
New Mexico,Cibola,2013,313.8214703,9.152537914
New Mexico,Cibola,2014,258.0731731,10.09941492
New Mexico,Cibola,2015,396.6156833,10.04000754
New Mexico,Cibola,2016,317.8993202,10.18063415
New Mexico,Cibola,2017,275.4360287,10.79409669
New Mexico,Cibola,2018,267.3888567,10.35822538
New Mexico,Cibola,2019,317.5788463,9.417993376
New Mexico,Colfax,1981,525.888641,9.332368973
New Mexico,Colfax,1982,469.8590781,8.056094832
New Mexico,Colfax,1983,368.128865,7.850139262
New Mexico,Colfax,1984,498.5978161,7.874454088
New Mexico,Colfax,1985,497.2940494,8.226507812
New Mexico,Colfax,1986,568.1178875,8.835620799
New Mexico,Colfax,1987,477.2284654,7.693268873
New Mexico,Colfax,1988,474.6735355,7.967742965
New Mexico,Colfax,1989,470.6985837,8.67296153
New Mexico,Colfax,1990,547.4489553,8.404757814
New Mexico,Colfax,1991,571.161949,8.093981864
New Mexico,Colfax,1992,460.766422,8.083348546
New Mexico,Colfax,1993,502.9778009,7.983228154
New Mexico,Colfax,1994,532.221569,8.831004131
New Mexico,Colfax,1995,541.2347365,8.497341126
New Mexico,Colfax,1996,434.1559002,8.79226894
New Mexico,Colfax,1997,553.7293962,7.823285553
New Mexico,Colfax,1998,454.3962617,8.766093024
New Mexico,Colfax,1999,573.7341935,8.776654106
New Mexico,Colfax,2000,417.4548758,9.118422652
New Mexico,Colfax,2001,360.8115646,8.842624474
New Mexico,Colfax,2002,348.8602447,8.604094841
