State,County,Use,Year,Volume
New Mexico,Cibola,Domestic,2001,344.56
New Mexico,Cibola,Domestic,2002,349.67
New Mexico,Cibola,Domestic,2003,354.78
New Mexico,Cibola,Domestic,2004,359.89
New Mexico,Cibola,Domestic,2005,365
New Mexico,Cibola,Domestic,2006,361.35
New Mexico,Cibola,Domestic,2007,357.7
New Mexico,Cibola,Domestic,2008,354.05
New Mexico,Cibola,Domestic,2009,350.4
New Mexico,Cibola,Domestic,2010,346.75
New Mexico,Cibola,Domestic,2011,351.86
New Mexico,Cibola,Domestic,2012,356.96999999999997
New Mexico,Cibola,Domestic,2013,362.08
New Mexico,Cibola,Domestic,2014,367.19
New Mexico,Cibola,Domestic,2015,372.3
New Mexico,Cibola,Domestic,2016,372.3
New Mexico,Cibola,Domestic,2017,372.3
New Mexico,Cibola,Domestic,2018,372.3
New Mexico,Cibola,Domestic,2019,372.3
New Mexico,Colfax,Domestic,1981,62.050000000000004
New Mexico,Colfax,Domestic,1982,62.050000000000004
New Mexico,Colfax,Domestic,1983,62.050000000000004
New Mexico,Colfax,Domestic,1984,62.050000000000004
New Mexico,Colfax,Domestic,1985,62.050000000000004
New Mexico,Colfax,Domestic,1986,53.290000000000006
New Mexico,Colfax,Domestic,1987,44.53
New Mexico,Colfax,Domestic,1988,35.77
New Mexico,Colfax,Domestic,1989,27.009999999999998
New Mexico,Colfax,Domestic,1990,18.25
New Mexico,Colfax,Domestic,1991,21.900000000000002
New Mexico,Colfax,Domestic,1992,25.55
New Mexico,Colfax,Domestic,1993,29.2
New Mexico,Colfax,Domestic,1994,32.85
New Mexico,Colfax,Domestic,1995,36.5
New Mexico,Colfax,Domestic,1996,35.04
New Mexico,Colfax,Domestic,1997,33.58
New Mexico,Colfax,Domestic,1998,32.120000000000005
New Mexico,Colfax,Domestic,1999,30.66
New Mexico,Colfax,Domestic,2000,29.2
New Mexico,Colfax,Domestic,2001,28.47
New Mexico,Colfax,Domestic,2002,27.74
New Mexico,Colfax,Domestic,2003,27.010000000000005
New Mexico,Colfax,Domestic,2004,26.280000000000005
New Mexico,Colfax,Domestic,2005,25.55
New Mexico,Colfax,Domestic,2006,24.09
New Mexico,Colfax,Domestic,2007,22.630000000000003
New Mexico,Colfax,Domestic,2008,21.17
New Mexico,Colfax,Domestic,2009,19.71
New Mexico,Colfax,Domestic,2010,18.25
New Mexico,Colfax,Domestic,2011,15.33
New Mexico,Colfax,Domestic,2012,12.41
New Mexico,Colfax,Domestic,2013,9.49
New Mexico,Colfax,Domestic,2014,6.570000000000001
New Mexico,Colfax,Domestic,2015,3.65
New Mexico,Colfax,Domestic,2016,3.65
New Mexico,Colfax,Domestic,2017,3.65
New Mexico,Colfax,Domestic,2018,3.65
New Mexico,Colfax,Domestic,2019,3.65
New Mexico,Curry,Domestic,1981,87.6
New Mexico,Curry,Domestic,1982,87.6
New Mexico,Curry,Domestic,1983,87.6
New Mexico,Curry,Domestic,1984,87.6
New Mexico,Curry,Domestic,1985,87.6
New Mexico,Curry,Domestic,1986,93.44
New Mexico,Curry,Domestic,1987,99.28
New Mexico,Curry,Domestic,1988,105.11999999999999
New Mexico,Curry,Domestic,1989,110.96
New Mexico,Curry,Domestic,1990,116.8
New Mexico,Curry,Domestic,1991,108.77
New Mexico,Curry,Domestic,1992,100.74000000000001
New Mexico,Curry,Domestic,1993,92.71000000000001
New Mexico,Curry,Domestic,1994,84.67999999999999
New Mexico,Curry,Domestic,1995,76.64999999999999
New Mexico,Curry,Domestic,1996,81.03
New Mexico,Curry,Domestic,1997,85.41000000000001
New Mexico,Curry,Domestic,1998,89.78999999999999
New Mexico,Curry,Domestic,1999,94.17
New Mexico,Curry,Domestic,2000,98.55000000000001
New Mexico,Curry,Domestic,2001,99.28
New Mexico,Curry,Domestic,2002,100.01
New Mexico,Curry,Domestic,2003,100.74000000000001
New Mexico,Curry,Domestic,2004,101.47000000000001
New Mexico,Curry,Domestic,2005,102.2
New Mexico,Curry,Domestic,2006,129.94000000000003
New Mexico,Curry,Domestic,2007,157.68
New Mexico,Curry,Domestic,2008,185.42000000000002
New Mexico,Curry,Domestic,2009,213.16000000000003
New Mexico,Curry,Domestic,2010,240.9
New Mexico,Curry,Domestic,2011,228.49
New Mexico,Curry,Domestic,2012,216.07999999999998
New Mexico,Curry,Domestic,2013,203.67000000000002
New Mexico,Curry,Domestic,2014,191.26000000000002
New Mexico,Curry,Domestic,2015,178.85
New Mexico,Curry,Domestic,2016,178.85
New Mexico,Curry,Domestic,2017,178.85
New Mexico,Curry,Domestic,2018,178.85
New Mexico,Curry,Domestic,2019,178.85
New Mexico,De Baca,Domestic,1981,14.6
New Mexico,De Baca,Domestic,1982,14.6
New Mexico,De Baca,Domestic,1983,14.6
New Mexico,De Baca,Domestic,1984,14.6
New Mexico,De Baca,Domestic,1985,14.6
New Mexico,De Baca,Domestic,1986,13.87
New Mexico,De Baca,Domestic,1987,13.139999999999999
New Mexico,De Baca,Domestic,1988,12.41
New Mexico,De Baca,Domestic,1989,11.68
New Mexico,De Baca,Domestic,1990,10.95
New Mexico,De Baca,Domestic,1991,10.949999999999998
New Mexico,De Baca,Domestic,1992,10.949999999999998
New Mexico,De Baca,Domestic,1993,10.949999999999998
New Mexico,De Baca,Domestic,1994,10.949999999999998
New Mexico,De Baca,Domestic,1995,10.949999999999996
New Mexico,De Baca,Domestic,1996,11.679999999999998
New Mexico,De Baca,Domestic,1997,12.409999999999998
New Mexico,De Baca,Domestic,1998,13.139999999999999
New Mexico,De Baca,Domestic,1999,13.87
New Mexico,De Baca,Domestic,2000,14.6
New Mexico,De Baca,Domestic,2001,14.6
New Mexico,De Baca,Domestic,2002,14.6
New Mexico,De Baca,Domestic,2003,14.6
New Mexico,De Baca,Domestic,2004,14.6
New Mexico,De Baca,Domestic,2005,14.6
New Mexico,De Baca,Domestic,2006,13.87
New Mexico,De Baca,Domestic,2007,13.139999999999999
New Mexico,De Baca,Domestic,2008,12.41
New Mexico,De Baca,Domestic,2009,11.68
New Mexico,De Baca,Domestic,2010,10.95
New Mexico,De Baca,Domestic,2011,10.22
New Mexico,De Baca,Domestic,2012,9.49
New Mexico,De Baca,Domestic,2013,8.76
New Mexico,De Baca,Domestic,2014,8.03
New Mexico,De Baca,Domestic,2015,7.3
New Mexico,De Baca,Domestic,2016,7.3
New Mexico,De Baca,Domestic,2017,7.3
New Mexico,De Baca,Domestic,2018,7.3
New Mexico,De Baca,Domestic,2019,7.3
New Mexico,Dona Ana,Domestic,1981,1401.6
New Mexico,Dona Ana,Domestic,1982,1401.6
New Mexico,Dona Ana,Domestic,1983,1401.6
New Mexico,Dona Ana,Domestic,1984,1401.6
New Mexico,Dona Ana,Domestic,1985,1401.6
New Mexico,Dona Ana,Domestic,1986,1271.66
New Mexico,Dona Ana,Domestic,1987,1141.72
New Mexico,Dona Ana,Domestic,1988,1011.7800000000001
New Mexico,Dona Ana,Domestic,1989,881.8399999999999
New Mexico,Dona Ana,Domestic,1990,751.9
New Mexico,Dona Ana,Domestic,1991,702.26
New Mexico,Dona Ana,Domestic,1992,652.62
New Mexico,Dona Ana,Domestic,1993,602.98
New Mexico,Dona Ana,Domestic,1994,553.34
New Mexico,Dona Ana,Domestic,1995,503.7
New Mexico,Dona Ana,Domestic,1996,467.19999999999993
New Mexico,Dona Ana,Domestic,1997,430.7
New Mexico,Dona Ana,Domestic,1998,394.20000000000005
New Mexico,Dona Ana,Domestic,1999,357.7
New Mexico,Dona Ana,Domestic,2000,321.2
New Mexico,Dona Ana,Domestic,2001,326.31
New Mexico,Dona Ana,Domestic,2002,331.42
New Mexico,Dona Ana,Domestic,2003,336.53
New Mexico,Dona Ana,Domestic,2004,341.64
New Mexico,Dona Ana,Domestic,2005,346.75
New Mexico,Dona Ana,Domestic,2006,319.74
New Mexico,Dona Ana,Domestic,2007,292.72999999999996
New Mexico,Dona Ana,Domestic,2008,265.71999999999997
New Mexico,Dona Ana,Domestic,2009,238.70999999999998
New Mexico,Dona Ana,Domestic,2010,211.7
New Mexico,Dona Ana,Domestic,2011,205.85999999999999
New Mexico,Dona Ana,Domestic,2012,200.01999999999998
New Mexico,Dona Ana,Domestic,2013,194.18
New Mexico,Dona Ana,Domestic,2014,188.34
New Mexico,Dona Ana,Domestic,2015,182.5
New Mexico,Dona Ana,Domestic,2016,182.5
New Mexico,Dona Ana,Domestic,2017,182.5
New Mexico,Dona Ana,Domestic,2018,182.5
New Mexico,Dona Ana,Domestic,2019,182.5
New Mexico,Eddy,Domestic,1981,193.45000000000002
New Mexico,Eddy,Domestic,1982,193.45000000000002
New Mexico,Eddy,Domestic,1983,193.45000000000002
New Mexico,Eddy,Domestic,1984,193.45000000000002
New Mexico,Eddy,Domestic,1985,193.45000000000002
New Mexico,Eddy,Domestic,1986,164.98000000000002
New Mexico,Eddy,Domestic,1987,136.51
New Mexico,Eddy,Domestic,1988,108.04000000000002
New Mexico,Eddy,Domestic,1989,79.57
New Mexico,Eddy,Domestic,1990,51.1
New Mexico,Eddy,Domestic,1991,70.08
New Mexico,Eddy,Domestic,1992,89.06
New Mexico,Eddy,Domestic,1993,108.04000000000002
New Mexico,Eddy,Domestic,1994,127.02000000000001
New Mexico,Eddy,Domestic,1995,146
New Mexico,Eddy,Domestic,1996,132.85999999999999
New Mexico,Eddy,Domestic,1997,119.72
New Mexico,Eddy,Domestic,1998,106.58000000000001
New Mexico,Eddy,Domestic,1999,93.44
New Mexico,Eddy,Domestic,2000,80.3
New Mexico,Eddy,Domestic,2001,80.3
New Mexico,Eddy,Domestic,2002,80.3
New Mexico,Eddy,Domestic,2003,80.3
New Mexico,Eddy,Domestic,2004,80.3
New Mexico,Eddy,Domestic,2005,80.3
New Mexico,Eddy,Domestic,2006,77.38
New Mexico,Eddy,Domestic,2007,74.46
New Mexico,Eddy,Domestic,2008,71.54
New Mexico,Eddy,Domestic,2009,68.62
New Mexico,Eddy,Domestic,2010,65.7
New Mexico,Eddy,Domestic,2011,69.35
New Mexico,Eddy,Domestic,2012,73
New Mexico,Eddy,Domestic,2013,76.64999999999999
New Mexico,Eddy,Domestic,2014,80.3
New Mexico,Eddy,Domestic,2015,83.95
New Mexico,Eddy,Domestic,2016,83.95
New Mexico,Eddy,Domestic,2017,83.95
New Mexico,Eddy,Domestic,2018,83.95
New Mexico,Eddy,Domestic,2019,83.95
New Mexico,Grant,Domestic,1981,204.4
New Mexico,Grant,Domestic,1982,204.4
New Mexico,Grant,Domestic,1983,204.4
New Mexico,Grant,Domestic,1984,204.4
New Mexico,Grant,Domestic,1985,204.4
New Mexico,Grant,Domestic,1986,207.32000000000002
New Mexico,Grant,Domestic,1987,210.24000000000004
New Mexico,Grant,Domestic,1988,213.16
New Mexico,Grant,Domestic,1989,216.07999999999998
New Mexico,Grant,Domestic,1990,219
New Mexico,Grant,Domestic,1991,228.49
New Mexico,Grant,Domestic,1992,237.98000000000002
New Mexico,Grant,Domestic,1993,247.46999999999997
New Mexico,Grant,Domestic,1994,256.96
New Mexico,Grant,Domestic,1995,266.45
New Mexico,Grant,Domestic,1996,263.53
New Mexico,Grant,Domestic,1997,260.61
New Mexico,Grant,Domestic,1998,257.69
New Mexico,Grant,Domestic,1999,254.76999999999998
New Mexico,Grant,Domestic,2000,251.85
New Mexico,Grant,Domestic,2001,249.65999999999997
New Mexico,Grant,Domestic,2002,247.46999999999997
New Mexico,Grant,Domestic,2003,245.28
New Mexico,Grant,Domestic,2004,243.09
New Mexico,Grant,Domestic,2005,240.9
New Mexico,Grant,Domestic,2006,204.4
New Mexico,Grant,Domestic,2007,167.9
New Mexico,Grant,Domestic,2008,131.4
New Mexico,Grant,Domestic,2009,94.9
New Mexico,Grant,Domestic,2010,58.4
New Mexico,Grant,Domestic,2011,61.32
New Mexico,Grant,Domestic,2012,64.24000000000001
New Mexico,Grant,Domestic,2013,67.16
New Mexico,Grant,Domestic,2014,70.08
New Mexico,Grant,Domestic,2015,73
New Mexico,Grant,Domestic,2016,73
New Mexico,Grant,Domestic,2017,73
New Mexico,Grant,Domestic,2018,73
New Mexico,Grant,Domestic,2019,73
New Mexico,Guadalupe,Domestic,1981,29.2
New Mexico,Guadalupe,Domestic,1982,29.2
New Mexico,Guadalupe,Domestic,1983,29.2
New Mexico,Guadalupe,Domestic,1984,29.2
New Mexico,Guadalupe,Domestic,1985,29.2
New Mexico,Guadalupe,Domestic,1986,29.2
New Mexico,Guadalupe,Domestic,1987,29.2
New Mexico,Guadalupe,Domestic,1988,29.2
New Mexico,Guadalupe,Domestic,1989,29.2
New Mexico,Guadalupe,Domestic,1990,29.2
New Mexico,Guadalupe,Domestic,1991,29.93
New Mexico,Guadalupe,Domestic,1992,30.66
New Mexico,Guadalupe,Domestic,1993,31.389999999999997
New Mexico,Guadalupe,Domestic,1994,32.12
New Mexico,Guadalupe,Domestic,1995,32.85
New Mexico,Guadalupe,Domestic,1996,27.74
New Mexico,Guadalupe,Domestic,1997,22.63
New Mexico,Guadalupe,Domestic,1998,17.52
New Mexico,Guadalupe,Domestic,1999,12.41
New Mexico,Guadalupe,Domestic,2000,7.3
New Mexico,Guadalupe,Domestic,2001,6.570000000000001
New Mexico,Guadalupe,Domestic,2002,5.84
New Mexico,Guadalupe,Domestic,2003,5.11
New Mexico,Guadalupe,Domestic,2004,4.38
New Mexico,Guadalupe,Domestic,2005,3.65
New Mexico,Guadalupe,Domestic,2006,5.84
New Mexico,Guadalupe,Domestic,2007,8.03
New Mexico,Guadalupe,Domestic,2008,10.219999999999999
New Mexico,Guadalupe,Domestic,2009,12.41
New Mexico,Guadalupe,Domestic,2010,14.6
New Mexico,Guadalupe,Domestic,2011,14.6
New Mexico,Guadalupe,Domestic,2012,14.6
New Mexico,Guadalupe,Domestic,2013,14.6
New Mexico,Guadalupe,Domestic,2014,14.6
New Mexico,Guadalupe,Domestic,2015,14.6
New Mexico,Guadalupe,Domestic,2016,14.6
New Mexico,Guadalupe,Domestic,2017,14.6
New Mexico,Guadalupe,Domestic,2018,14.6
New Mexico,Guadalupe,Domestic,2019,14.6
New Mexico,Harding,Domestic,1981,10.949999999999996
