State,County,Use,Year,Volume,Count
New Mexico,120800010102,Hydraulic fracturing,201405,0.127254,1
New Mexico,120800030204,Hydraulic fracturing,201212,0.091644,1
New Mexico,120800030208,Hydraulic fracturing,201601,0.013244,1
New Mexico,120800030208,Hydraulic fracturing,201705,9.70557,1
New Mexico,120800030208,Hydraulic fracturing,201803,0.066108,1
New Mexico,120800030304,Hydraulic fracturing,201803,13.965815,1
New Mexico,120800030401,Hydraulic fracturing,201309,0.111888,1
New Mexico,120800030403,Hydraulic fracturing,201402,0.107965,1
New Mexico,120800030403,Hydraulic fracturing,201502,5.587763000000001,2
New Mexico,120800030403,Hydraulic fracturing,201505,1.743001,1
New Mexico,120800030404,Hydraulic fracturing,201309,0.071652,1
New Mexico,120800030601,Hydraulic fracturing,201305,1.52334,1
New Mexico,120800030602,Hydraulic fracturing,201306,2.978986,1
New Mexico,120800030602,Hydraulic fracturing,201309,1.668806,2
New Mexico,120800030602,Hydraulic fracturing,201406,2.212816,1
New Mexico,120800030602,Hydraulic fracturing,201810,5.60557,1
New Mexico,120800030602,Hydraulic fracturing,201812,0.244375,1
New Mexico,120800030603,Hydraulic fracturing,201610,8.541959,1
New Mexico,120800030603,Hydraulic fracturing,201705,8.865851,1
New Mexico,120800030603,Hydraulic fracturing,201802,8.847262,1
New Mexico,120800030604,Hydraulic fracturing,201212,0.10203,1
New Mexico,120800030604,Hydraulic fracturing,201306,0.075978,1
New Mexico,120800030604,Hydraulic fracturing,201307,0.113484,2
New Mexico,120800030604,Hydraulic fracturing,201308,0.075025,1
New Mexico,120800030604,Hydraulic fracturing,201309,0.0617695,1
New Mexico,120800030604,Hydraulic fracturing,201310,0.12474,1
New Mexico,120800030604,Hydraulic fracturing,201311,0.2478715,3
New Mexico,120800030604,Hydraulic fracturing,201312,0.132276,2
New Mexico,120800030604,Hydraulic fracturing,201401,0.177073,2
New Mexico,120800030604,Hydraulic fracturing,201403,0.089292,1
New Mexico,120800030604,Hydraulic fracturing,201412,0.052779,1
New Mexico,120800030604,Hydraulic fracturing,201503,0.061857,1
New Mexico,120800030604,Hydraulic fracturing,201505,0.257692,3
New Mexico,120800030604,Hydraulic fracturing,201507,0.103577,1
New Mexico,120800030604,Hydraulic fracturing,201508,0.093198,1
New Mexico,120800030604,Hydraulic fracturing,201702,0.085711,1
New Mexico,120800030604,Hydraulic fracturing,201706,0.08204,1
New Mexico,120800030604,Hydraulic fracturing,201710,0.169066,2
New Mexico,120800030604,Hydraulic fracturing,201712,0.112135,1
New Mexico,120800030604,Hydraulic fracturing,201803,0.078421,1
New Mexico,120800030604,Hydraulic fracturing,201804,0.076481,1
New Mexico,120800030604,Hydraulic fracturing,201805,0.080432,1
New Mexico,120800030605,Hydraulic fracturing,201306,0.181763,4
New Mexico,120800030605,Hydraulic fracturing,201410,4.6629,1
New Mexico,120800030605,Hydraulic fracturing,201505,3.156594,1
New Mexico,120800030607,Hydraulic fracturing,201302,1.29001,1
New Mexico,120800030608,Hydraulic fracturing,201810,8.200321,1
New Mexico,120800030609,Hydraulic fracturing,201403,0.082335,1
New Mexico,120800030609,Hydraulic fracturing,201406,3.445606,1
New Mexico,120800030609,Hydraulic fracturing,201710,0.033812,1
New Mexico,120800030610,Hydraulic fracturing,201409,8.107834,1
New Mexico,120800030610,Hydraulic fracturing,201506,3.334557,1
New Mexico,120800030611,Hydraulic fracturing,201211,0.377706,1
New Mexico,120800030611,Hydraulic fracturing,201303,0.381024,1
New Mexico,120800030611,Hydraulic fracturing,201309,0.781956,2
New Mexico,120800030611,Hydraulic fracturing,201506,0.281904,1
New Mexico,120800030702,Hydraulic fracturing,201310,0.007896,1
New Mexico,120800030703,Hydraulic fracturing,201211,0.09828,1
New Mexico,120800030703,Hydraulic fracturing,201610,1.499824,1
New Mexico,120800030703,Hydraulic fracturing,201802,9.815899,1
New Mexico,120800030704,Hydraulic fracturing,201301,0.297087,1
New Mexico,120800030704,Hydraulic fracturing,201804,9.052764,1
New Mexico,120800040102,Hydraulic fracturing,201805,1.562757,1
New Mexico,120800040203,Hydraulic fracturing,202006,6.65805,1
New Mexico,120800040203,Hydraulic fracturing,202010,5.551761,1
New Mexico,120800040203,Hydraulic fracturing,202012,4.10117,1
New Mexico,120800040203,Hydraulic fracturing,202106,5.140027,1
New Mexico,120800040203,Hydraulic fracturing,202108,7.044102,1
New Mexico,120800040306,Hydraulic fracturing,201705,2.787964,1
New Mexico,120800040306,Hydraulic fracturing,201706,0.666708,1
New Mexico,120800040501,Hydraulic fracturing,201905,0.054886,1
New Mexico,120800040502,Hydraulic fracturing,201709,3.651312,1
New Mexico,120800040502,Hydraulic fracturing,201801,4.874016,1
New Mexico,120800040502,Hydraulic fracturing,201811,0.594048,1
New Mexico,120800040502,Hydraulic fracturing,201907,3.440252,1
New Mexico,120800041004,Hydraulic fracturing,201812,27.19269,1
New Mexico,120800060104,Hydraulic fracturing,201501,0.160398,1
