State,County,Year,Persons
New Mexico,Cibola,1985,24372
New Mexico,Cibola,1986,23528
New Mexico,Cibola,1987,23602
New Mexico,Cibola,1988,23819
New Mexico,Cibola,1989,23905
New Mexico,Cibola,1990,23690
New Mexico,Cibola,1991,23251
New Mexico,Cibola,1992,23386
New Mexico,Cibola,1993,23702
New Mexico,Cibola,1994,23918
New Mexico,Cibola,1995,24507
New Mexico,Cibola,1996,24843
New Mexico,Cibola,1997,25248
New Mexico,Cibola,1998,25467
New Mexico,Cibola,1999,25512
New Mexico,Cibola,2000,25633
New Mexico,Cibola,2001,26488
New Mexico,Cibola,2002,26592
New Mexico,Cibola,2003,26940
New Mexico,Cibola,2004,27167
New Mexico,Cibola,2005,27204
New Mexico,Cibola,2006,27032
New Mexico,Cibola,2007,27258
New Mexico,Cibola,2008,27259
New Mexico,Cibola,2009,27097
New Mexico,Cibola,2010,27315
New Mexico,Cibola,2011,27489
New Mexico,Cibola,2012,27418
New Mexico,Cibola,2013,27414
New Mexico,Cibola,2014,27155
New Mexico,Cibola,2015,27044
New Mexico,Cibola,2016,27049
New Mexico,Cibola,2017,26921
New Mexico,Cibola,2018,26766
New Mexico,Cibola,2019,26675
New Mexico,Colfax,1981,13894
New Mexico,Colfax,1982,14153
New Mexico,Colfax,1983,14370
New Mexico,Colfax,1984,14199
New Mexico,Colfax,1985,14185
New Mexico,Colfax,1986,14272
New Mexico,Colfax,1987,13832
New Mexico,Colfax,1988,13586
New Mexico,Colfax,1989,13014
New Mexico,Colfax,1990,12921
New Mexico,Colfax,1991,12785
New Mexico,Colfax,1992,13108
New Mexico,Colfax,1993,13442
New Mexico,Colfax,1994,13871
New Mexico,Colfax,1995,14075
New Mexico,Colfax,1996,14139
New Mexico,Colfax,1997,13993
New Mexico,Colfax,1998,13873
New Mexico,Colfax,1999,14024
New Mexico,Colfax,2000,14202
New Mexico,Colfax,2001,14140
New Mexico,Colfax,2002,14215
New Mexico,Colfax,2003,14088
New Mexico,Colfax,2004,14093
New Mexico,Colfax,2005,14031
New Mexico,Colfax,2006,13982
New Mexico,Colfax,2007,13933
New Mexico,Colfax,2008,13764
New Mexico,Colfax,2009,13731
New Mexico,Colfax,2010,13725
New Mexico,Colfax,2011,13618
New Mexico,Colfax,2012,13246
New Mexico,Colfax,2013,13068
New Mexico,Colfax,2014,12703
New Mexico,Colfax,2015,12429
New Mexico,Colfax,2016,12250
New Mexico,Colfax,2017,12151
New Mexico,Colfax,2018,12071
New Mexico,Colfax,2019,11941
New Mexico,Curry,1981,42081
New Mexico,Curry,1982,41970
New Mexico,Curry,1983,43166
New Mexico,Curry,1984,42955
New Mexico,Curry,1985,42890
New Mexico,Curry,1986,43223
New Mexico,Curry,1987,43312
New Mexico,Curry,1988,42830
New Mexico,Curry,1989,42294
New Mexico,Curry,1990,42324
New Mexico,Curry,1991,44490
New Mexico,Curry,1992,46148
New Mexico,Curry,1993,47022
New Mexico,Curry,1994,48795
New Mexico,Curry,1995,48459
New Mexico,Curry,1996,49021
New Mexico,Curry,1997,47968
New Mexico,Curry,1998,46348
New Mexico,Curry,1999,45153
New Mexico,Curry,2000,44991
New Mexico,Curry,2001,44964
New Mexico,Curry,2002,45133
New Mexico,Curry,2003,45385
New Mexico,Curry,2004,46640
New Mexico,Curry,2005,46981
New Mexico,Curry,2006,47018
New Mexico,Curry,2007,46588
New Mexico,Curry,2008,45512
New Mexico,Curry,2009,46555
New Mexico,Curry,2010,48971
New Mexico,Curry,2011,49819
New Mexico,Curry,2012,50806
New Mexico,Curry,2013,50775
New Mexico,Curry,2014,51109
New Mexico,Curry,2015,50290
New Mexico,Curry,2016,50283
New Mexico,Curry,2017,49794
New Mexico,Curry,2018,49338
New Mexico,Curry,2019,48954
New Mexico,De Baca,1981,2351
New Mexico,De Baca,1982,2426
New Mexico,De Baca,1983,2441
New Mexico,De Baca,1984,2411
New Mexico,De Baca,1985,2441
New Mexico,De Baca,1986,2363
New Mexico,De Baca,1987,2326
New Mexico,De Baca,1988,2243
New Mexico,De Baca,1989,2263
New Mexico,De Baca,1990,2246
New Mexico,De Baca,1991,2294
New Mexico,De Baca,1992,2253
New Mexico,De Baca,1993,2266
New Mexico,De Baca,1994,2245
New Mexico,De Baca,1995,2308
New Mexico,De Baca,1996,2283
New Mexico,De Baca,1997,2280
New Mexico,De Baca,1998,2285
New Mexico,De Baca,1999,2296
New Mexico,De Baca,2000,2218
New Mexico,De Baca,2001,2174
New Mexico,De Baca,2002,2158
New Mexico,De Baca,2003,2132
New Mexico,De Baca,2004,2062
New Mexico,De Baca,2005,2098
New Mexico,De Baca,2006,1994
New Mexico,De Baca,2007,1995
New Mexico,De Baca,2008,2000
New Mexico,De Baca,2009,2002
New Mexico,De Baca,2010,2031
New Mexico,De Baca,2011,2000
New Mexico,De Baca,2012,1957
New Mexico,De Baca,2013,1928
New Mexico,De Baca,2014,1861
New Mexico,De Baca,2015,1873
New Mexico,De Baca,2016,1835
New Mexico,De Baca,2017,1805
New Mexico,De Baca,2018,1779
New Mexico,De Baca,2019,1748
New Mexico,Dona Ana,1981,99623
New Mexico,Dona Ana,1982,103448
New Mexico,Dona Ana,1983,107627
New Mexico,Dona Ana,1984,112474
New Mexico,Dona Ana,1985,116321
New Mexico,Dona Ana,1986,120474
New Mexico,Dona Ana,1987,125032
New Mexico,Dona Ana,1988,130016
New Mexico,Dona Ana,1989,132957
New Mexico,Dona Ana,1990,136593
New Mexico,Dona Ana,1991,141228
New Mexico,Dona Ana,1992,146995
New Mexico,Dona Ana,1993,153049
New Mexico,Dona Ana,1994,157530
New Mexico,Dona Ana,1995,161014
New Mexico,Dona Ana,1996,165618
New Mexico,Dona Ana,1997,169081
New Mexico,Dona Ana,1998,172057
New Mexico,Dona Ana,1999,173889
New Mexico,Dona Ana,2000,175098
New Mexico,Dona Ana,2001,176496
New Mexico,Dona Ana,2002,178464
New Mexico,Dona Ana,2003,182045
New Mexico,Dona Ana,2004,184939
New Mexico,Dona Ana,2005,189199
New Mexico,Dona Ana,2006,193701
New Mexico,Dona Ana,2007,197853
New Mexico,Dona Ana,2008,200855
New Mexico,Dona Ana,2009,205401
New Mexico,Dona Ana,2010,210097
New Mexico,Dona Ana,2011,213126
New Mexico,Dona Ana,2012,214450
New Mexico,Dona Ana,2013,214288
New Mexico,Dona Ana,2014,213933
New Mexico,Dona Ana,2015,214034
New Mexico,Dona Ana,2016,214663
New Mexico,Dona Ana,2017,216174
New Mexico,Dona Ana,2018,217278
New Mexico,Dona Ana,2019,218195
New Mexico,Eddy,1981,49737
New Mexico,Eddy,1982,52233
New Mexico,Eddy,1983,53266
New Mexico,Eddy,1984,52581
New Mexico,Eddy,1985,52477
New Mexico,Eddy,1986,52453
New Mexico,Eddy,1987,50586
New Mexico,Eddy,1988,48932
New Mexico,Eddy,1989,48004
New Mexico,Eddy,1990,48717
New Mexico,Eddy,1991,49760
New Mexico,Eddy,1992,50998
New Mexico,Eddy,1993,51812
New Mexico,Eddy,1994,52337
New Mexico,Eddy,1995,52308
New Mexico,Eddy,1996,52374
New Mexico,Eddy,1997,52323
New Mexico,Eddy,1998,52569
New Mexico,Eddy,1999,52192
New Mexico,Eddy,2000,51399
New Mexico,Eddy,2001,50765
New Mexico,Eddy,2002,51002
New Mexico,Eddy,2003,51036
New Mexico,Eddy,2004,51242
New Mexico,Eddy,2005,50732
New Mexico,Eddy,2006,51366
New Mexico,Eddy,2007,51923
New Mexico,Eddy,2008,52566
New Mexico,Eddy,2009,53578
New Mexico,Eddy,2010,53909
New Mexico,Eddy,2011,54070
New Mexico,Eddy,2012,54419
New Mexico,Eddy,2013,55662
New Mexico,Eddy,2014,56682
New Mexico,Eddy,2015,57715
New Mexico,Eddy,2016,57650
New Mexico,Eddy,2017,57108
New Mexico,Eddy,2018,57729
New Mexico,Eddy,2019,58460
New Mexico,Grant,1981,26970
New Mexico,Grant,1982,27969
New Mexico,Grant,1983,27259
New Mexico,Grant,1984,27035
New Mexico,Grant,1985,26852
New Mexico,Grant,1986,26638
New Mexico,Grant,1987,26711
New Mexico,Grant,1988,27097
New Mexico,Grant,1989,27474
New Mexico,Grant,1990,27718
New Mexico,Grant,1991,28009
New Mexico,Grant,1992,28650
New Mexico,Grant,1993,28475
New Mexico,Grant,1994,29229
New Mexico,Grant,1995,29792
New Mexico,Grant,1996,30473
New Mexico,Grant,1997,31324
New Mexico,Grant,1998,31569
New Mexico,Grant,1999,31264
New Mexico,Grant,2000,30882
New Mexico,Grant,2001,30692
New Mexico,Grant,2002,30165
New Mexico,Grant,2003,29485
New Mexico,Grant,2004,29038
New Mexico,Grant,2005,29281
New Mexico,Grant,2006,29503
New Mexico,Grant,2007,29841
New Mexico,Grant,2008,29921
New Mexico,Grant,2009,29865
New Mexico,Grant,2010,29383
New Mexico,Grant,2011,29346
New Mexico,Grant,2012,29257
New Mexico,Grant,2013,29104
New Mexico,Grant,2014,28871
New Mexico,Grant,2015,28364
New Mexico,Grant,2016,28040
New Mexico,Grant,2017,27642
New Mexico,Grant,2018,27303
New Mexico,Grant,2019,26998
New Mexico,Guadalupe,1981,4419
New Mexico,Guadalupe,1982,4290
New Mexico,Guadalupe,1983,4483
New Mexico,Guadalupe,1984,4509
New Mexico,Guadalupe,1985,4409
New Mexico,Guadalupe,1986,4292
New Mexico,Guadalupe,1987,4188
New Mexico,Guadalupe,1988,4224
New Mexico,Guadalupe,1989,4254
New Mexico,Guadalupe,1990,4146
New Mexico,Guadalupe,1991,4102
New Mexico,Guadalupe,1992,4132
New Mexico,Guadalupe,1993,4155
New Mexico,Guadalupe,1994,4215
New Mexico,Guadalupe,1995,4178
New Mexico,Guadalupe,1996,4225
New Mexico,Guadalupe,1997,4157
New Mexico,Guadalupe,1998,4123
New Mexico,Guadalupe,1999,4445
New Mexico,Guadalupe,2000,4693
New Mexico,Guadalupe,2001,4791
New Mexico,Guadalupe,2002,4771
New Mexico,Guadalupe,2003,4875
New Mexico,Guadalupe,2004,4731
New Mexico,Guadalupe,2005,4713
New Mexico,Guadalupe,2006,4701
New Mexico,Guadalupe,2007,4759
New Mexico,Guadalupe,2008,4701
New Mexico,Guadalupe,2009,4637
New Mexico,Guadalupe,2010,4695
New Mexico,Guadalupe,2011,4625
New Mexico,Guadalupe,2012,4591
New Mexico,Guadalupe,2013,4531
New Mexico,Guadalupe,2014,4442
New Mexico,Guadalupe,2015,4350
New Mexico,Guadalupe,2016,4369
New Mexico,Guadalupe,2017,4410
New Mexico,Guadalupe,2018,4334
New Mexico,Guadalupe,2019,4300
New Mexico,Harding,1981,1043
New Mexico,Harding,1982,1016
New Mexico,Harding,1983,1005
New Mexico,Harding,1984,1008
New Mexico,Harding,1985,944
New Mexico,Harding,1986,966
New Mexico,Harding,1987,940
New Mexico,Harding,1988,941
New Mexico,Harding,1989,991
New Mexico,Harding,1990,985
New Mexico,Harding,1991,982
New Mexico,Harding,1992,992
New Mexico,Harding,1993,934
New Mexico,Harding,1994,919
New Mexico,Harding,1995,903
New Mexico,Harding,1996,918
New Mexico,Harding,1997,876
New Mexico,Harding,1998,881
New Mexico,Harding,1999,829
New Mexico,Harding,2000,801
New Mexico,Harding,2001,781
New Mexico,Harding,2002,745
New Mexico,Harding,2003,763
New Mexico,Harding,2004,782
New Mexico,Harding,2005,756
New Mexico,Harding,2006,749
New Mexico,Harding,2007,732
New Mexico,Harding,2008,690
New Mexico,Harding,2009,700
New Mexico,Harding,2010,690
New Mexico,Harding,2011,713
New Mexico,Harding,2012,700
New Mexico,Harding,2013,691
New Mexico,Harding,2014,693
New Mexico,Harding,2015,719
New Mexico,Harding,2016,687
New Mexico,Harding,2017,684
New Mexico,Harding,2018,650
New Mexico,Harding,2019,625
New Mexico,Hidalgo,1981,6156
New Mexico,Hidalgo,1982,6332
New Mexico,Hidalgo,1983,6470
New Mexico,Hidalgo,1984,6388
New Mexico,Hidalgo,1985,6434
New Mexico,Hidalgo,1986,6188
New Mexico,Hidalgo,1987,6155
New Mexico,Hidalgo,1988,6066
New Mexico,Hidalgo,1989,6001
New Mexico,Hidalgo,1990,5946
New Mexico,Hidalgo,1991,5925
New Mexico,Hidalgo,1992,5944
New Mexico,Hidalgo,1993,6031
New Mexico,Hidalgo,1994,6106
New Mexico,Hidalgo,1995,6176
New Mexico,Hidalgo,1996,6250
New Mexico,Hidalgo,1997,6175
New Mexico,Hidalgo,1998,6231
New Mexico,Hidalgo,1999,6353
New Mexico,Hidalgo,2000,5766
New Mexico,Hidalgo,2001,5439
New Mexico,Hidalgo,2002,5272
New Mexico,Hidalgo,2003,5127
New Mexico,Hidalgo,2004,5028
New Mexico,Hidalgo,2005,4955
New Mexico,Hidalgo,2006,4921
New Mexico,Hidalgo,2007,5005
New Mexico,Hidalgo,2008,5022
New Mexico,Hidalgo,2009,5019
New Mexico,Hidalgo,2010,4864
New Mexico,Hidalgo,2011,4843
New Mexico,Hidalgo,2012,4780
New Mexico,Hidalgo,2013,4624
New Mexico,Hidalgo,2014,4549
New Mexico,Hidalgo,2015,4436
New Mexico,Hidalgo,2016,4324
New Mexico,Hidalgo,2017,4298
New Mexico,Hidalgo,2018,4231
New Mexico,Hidalgo,2019,4198
New Mexico,Lea,1981,59717
New Mexico,Lea,1982,64227
New Mexico,Lea,1983,66164
New Mexico,Lea,1984,64992
New Mexico,Lea,1985,65293
New Mexico,Lea,1986,64312
New Mexico,Lea,1987,60094
New Mexico,Lea,1988,58079
New Mexico,Lea,1989,56829
New Mexico,Lea,1990,55506
New Mexico,Lea,1991,55336
New Mexico,Lea,1992,56410
New Mexico,Lea,1993,56652
New Mexico,Lea,1994,57010
New Mexico,Lea,1995,56613
New Mexico,Lea,1996,56543
New Mexico,Lea,1997,56430
New Mexico,Lea,1998,56912
New Mexico,Lea,1999,56399
New Mexico,Lea,2000,55264
New Mexico,Lea,2001,55377
New Mexico,Lea,2002,56340
New Mexico,Lea,2003,56643
New Mexico,Lea,2004,57471
New Mexico,Lea,2005,58331
New Mexico,Lea,2006,59541
New Mexico,Lea,2007,61058
New Mexico,Lea,2008,62737
New Mexico,Lea,2009,64483
New Mexico,Lea,2010,64598
New Mexico,Lea,2011,65126
New Mexico,Lea,2012,66362
New Mexico,Lea,2013,68613
New Mexico,Lea,2014,70165
New Mexico,Lea,2015,71476
New Mexico,Lea,2016,70249
New Mexico,Lea,2017,69046
New Mexico,Lea,2018,69543
New Mexico,Lea,2019,71070
New Mexico,Lincoln,1981,11211
New Mexico,Lincoln,1982,11667
New Mexico,Lincoln,1983,12590
New Mexico,Lincoln,1984,13292
New Mexico,Lincoln,1985,13359
New Mexico,Lincoln,1986,13190
New Mexico,Lincoln,1987,12970
New Mexico,Lincoln,1988,12639
New Mexico,Lincoln,1989,12281
New Mexico,Lincoln,1990,12258
New Mexico,Lincoln,1991,12891
New Mexico,Lincoln,1992,13437
New Mexico,Lincoln,1993,14101
New Mexico,Lincoln,1994,14933
New Mexico,Lincoln,1995,15869
New Mexico,Lincoln,1996,16780
New Mexico,Lincoln,1997,17676
New Mexico,Lincoln,1998,18373
New Mexico,Lincoln,1999,18837
New Mexico,Lincoln,2000,19477
New Mexico,Lincoln,2001,19333
New Mexico,Lincoln,2002,19467
New Mexico,Lincoln,2003,19930
New Mexico,Lincoln,2004,20242
New Mexico,Lincoln,2005,20453
New Mexico,Lincoln,2006,20588
New Mexico,Lincoln,2007,20442
New Mexico,Lincoln,2008,20458
New Mexico,Lincoln,2009,20521
New Mexico,Lincoln,2010,20450
New Mexico,Lincoln,2011,20406
New Mexico,Lincoln,2012,20194
New Mexico,Lincoln,2013,19976
New Mexico,Lincoln,2014,19597
New Mexico,Lincoln,2015,19352
New Mexico,Lincoln,2016,19397
New Mexico,Lincoln,2017,19468
New Mexico,Lincoln,2018,19518
New Mexico,Lincoln,2019,19572
New Mexico,Los Alamos,1981,17555
New Mexico,Los Alamos,1982,17795
New Mexico,Los Alamos,1983,17492
New Mexico,Los Alamos,1984,17817
New Mexico,Los Alamos,1985,17928
New Mexico,Los Alamos,1986,18066
New Mexico,Los Alamos,1987,18120
New Mexico,Los Alamos,1988,18097
New Mexico,Los Alamos,1989,18112
New Mexico,Los Alamos,1990,18144
New Mexico,Los Alamos,1991,18081
New Mexico,Los Alamos,1992,18139
New Mexico,Los Alamos,1993,18434
New Mexico,Los Alamos,1994,18616
New Mexico,Los Alamos,1995,18750
New Mexico,Los Alamos,1996,18370
New Mexico,Los Alamos,1997,18404
New Mexico,Los Alamos,1998,18482
New Mexico,Los Alamos,1999,18509
New Mexico,Los Alamos,2000,18263
New Mexico,Los Alamos,2001,17610
New Mexico,Los Alamos,2002,18060
New Mexico,Los Alamos,2003,18408
New Mexico,Los Alamos,2004,18416
New Mexico,Los Alamos,2005,18407
New Mexico,Los Alamos,2006,18477
New Mexico,Los Alamos,2007,18281
New Mexico,Los Alamos,2008,17924
New Mexico,Los Alamos,2009,17742
New Mexico,Los Alamos,2010,17994
New Mexico,Los Alamos,2011,18229
New Mexico,Los Alamos,2012,18234
New Mexico,Los Alamos,2013,17947
New Mexico,Los Alamos,2014,17803
New Mexico,Los Alamos,2015,17817
New Mexico,Los Alamos,2016,18209
New Mexico,Los Alamos,2017,18742
New Mexico,Los Alamos,2018,18988
New Mexico,Los Alamos,2019,19369
New Mexico,Luna,1981,15719
New Mexico,Luna,1982,16193
New Mexico,Luna,1983,16391
New Mexico,Luna,1984,16957
New Mexico,Luna,1985,17062
New Mexico,Luna,1986,17090
New Mexico,Luna,1987,17396
New Mexico,Luna,1988,17610
New Mexico,Luna,1989,17972
New Mexico,Luna,1990,18179
New Mexico,Luna,1991,19056
New Mexico,Luna,1992,20026
New Mexico,Luna,1993,21241
New Mexico,Luna,1994,21958
New Mexico,Luna,1995,22740
New Mexico,Luna,1996,23410
New Mexico,Luna,1997,24072
New Mexico,Luna,1998,24594
New Mexico,Luna,1999,25005
New Mexico,Luna,2000,24908
New Mexico,Luna,2001,24593
New Mexico,Luna,2002,24630
New Mexico,Luna,2003,24762
New Mexico,Luna,2004,24822
New Mexico,Luna,2005,25102
New Mexico,Luna,2006,25303
New Mexico,Luna,2007,25328
New Mexico,Luna,2008,25375
New Mexico,Luna,2009,25119
New Mexico,Luna,2010,25081
New Mexico,Luna,2011,25106
New Mexico,Luna,2012,24921
New Mexico,Luna,2013,24592
New Mexico,Luna,2014,24428
New Mexico,Luna,2015,24367
New Mexico,Luna,2016,24362
New Mexico,Luna,2017,24100
New Mexico,Luna,2018,23877
New Mexico,Luna,2019,23709
New Mexico,McKinley,1981,55997
New Mexico,McKinley,1982,56880
New Mexico,McKinley,1983,57679
New Mexico,McKinley,1984,58863
New Mexico,McKinley,1985,60879
New Mexico,McKinley,1986,61020
New Mexico,McKinley,1987,61507
New Mexico,McKinley,1988,59963
New Mexico,McKinley,1989,59573
New Mexico,McKinley,1990,61414
New Mexico,McKinley,1991,63613
New Mexico,McKinley,1992,66376
New Mexico,McKinley,1993,66661
New Mexico,McKinley,1994,68205
New Mexico,McKinley,1995,70197
New Mexico,McKinley,1996,71693
New Mexico,McKinley,1997,72380
New Mexico,McKinley,1998,73320
New Mexico,McKinley,1999,73545
New Mexico,McKinley,2000,74563
New Mexico,McKinley,2001,74387
New Mexico,McKinley,2002,72868
New Mexico,McKinley,2003,71545
New Mexico,McKinley,2004,71500
New Mexico,McKinley,2005,70666
New Mexico,McKinley,2006,70541
New Mexico,McKinley,2007,69959
New Mexico,McKinley,2008,70449
New Mexico,McKinley,2009,70567
New Mexico,McKinley,2010,71673
New Mexico,McKinley,2011,72332
New Mexico,McKinley,2012,72365
New Mexico,McKinley,2013,72665
New Mexico,McKinley,2014,72796
New Mexico,McKinley,2015,73462
New Mexico,McKinley,2016,73028
New Mexico,McKinley,2017,72423
New Mexico,McKinley,2018,71911
New Mexico,McKinley,2019,71367
New Mexico,Mora,1981,4238
New Mexico,Mora,1982,4252
New Mexico,Mora,1983,4410
New Mexico,Mora,1984,4452
New Mexico,Mora,1985,4532
New Mexico,Mora,1986,4460
New Mexico,Mora,1987,4334
New Mexico,Mora,1988,4318
New Mexico,Mora,1989,4279
New Mexico,Mora,1990,4273
New Mexico,Mora,1991,4244
New Mexico,Mora,1992,4306
New Mexico,Mora,1993,4407
New Mexico,Mora,1994,4537
New Mexico,Mora,1995,4652
New Mexico,Mora,1996,4884
New Mexico,Mora,1997,4916
New Mexico,Mora,1998,4959
New Mexico,Mora,1999,5097
New Mexico,Mora,2000,5196
New Mexico,Mora,2001,5166
New Mexico,Mora,2002,5151
New Mexico,Mora,2003,5145
New Mexico,Mora,2004,5061
New Mexico,Mora,2005,5002
New Mexico,Mora,2006,4992
New Mexico,Mora,2007,4964
New Mexico,Mora,2008,4909
New Mexico,Mora,2009,4859
New Mexico,Mora,2010,4893
New Mexico,Mora,2011,4781
New Mexico,Mora,2012,4684
New Mexico,Mora,2013,4695
New Mexico,Mora,2014,4613
New Mexico,Mora,2015,4609
New Mexico,Mora,2016,4533
New Mexico,Mora,2017,4530
New Mexico,Mora,2018,4487
New Mexico,Mora,2019,4521
New Mexico,Otero,1981,45002
New Mexico,Otero,1982,46036
New Mexico,Otero,1983,47950
New Mexico,Otero,1984,49095
New Mexico,Otero,1985,50312
New Mexico,Otero,1986,51463
New Mexico,Otero,1987,52149
New Mexico,Otero,1988,52438
New Mexico,Otero,1989,52471
New Mexico,Otero,1990,51979
New Mexico,Otero,1991,53027
New Mexico,Otero,1992,53588
New Mexico,Otero,1993,55419
New Mexico,Otero,1994,57712
New Mexico,Otero,1995,59516
New Mexico,Otero,1996,60798
New Mexico,Otero,1997,61526
New Mexico,Otero,1998,61258
New Mexico,Otero,1999,61903
New Mexico,Otero,2000,62151
New Mexico,Otero,2001,61277
New Mexico,Otero,2002,61194
New Mexico,Otero,2003,61371
New Mexico,Otero,2004,62662
New Mexico,Otero,2005,62533
New Mexico,Otero,2006,62200
New Mexico,Otero,2007,62466
New Mexico,Otero,2008,62498
New Mexico,Otero,2009,62462
New Mexico,Otero,2010,64403
New Mexico,Otero,2011,65642
New Mexico,Otero,2012,66208
New Mexico,Otero,2013,66304
New Mexico,Otero,2014,65336
New Mexico,Otero,2015,64768
New Mexico,Otero,2016,65647
New Mexico,Otero,2017,66121
New Mexico,Otero,2018,66659
New Mexico,Otero,2019,67490
New Mexico,Quay,1981,10456
New Mexico,Quay,1982,10643
New Mexico,Quay,1983,10761
New Mexico,Quay,1984,11515
New Mexico,Quay,1985,11750
New Mexico,Quay,1986,11579
New Mexico,Quay,1987,11554
New Mexico,Quay,1988,11202
New Mexico,Quay,1989,10928
New Mexico,Quay,1990,10814
New Mexico,Quay,1991,10640
New Mexico,Quay,1992,10625
New Mexico,Quay,1993,10709
New Mexico,Quay,1994,10734
New Mexico,Quay,1995,10604
New Mexico,Quay,1996,10603
New Mexico,Quay,1997,10450
New Mexico,Quay,1998,10430
New Mexico,Quay,1999,10357
New Mexico,Quay,2000,10012
New Mexico,Quay,2001,9791
New Mexico,Quay,2002,9638
New Mexico,Quay,2003,9541
New Mexico,Quay,2004,9306
New Mexico,Quay,2005,9131
New Mexico,Quay,2006,9036
New Mexico,Quay,2007,8996
New Mexico,Quay,2008,8978
New Mexico,Quay,2009,8920
New Mexico,Quay,2010,9064
New Mexico,Quay,2011,9045
New Mexico,Quay,2012,8808
New Mexico,Quay,2013,8675
New Mexico,Quay,2014,8465
New Mexico,Quay,2015,8445
New Mexico,Quay,2016,8390
New Mexico,Quay,2017,8299
New Mexico,Quay,2018,8242
New Mexico,Quay,2019,8253
