State,County,Year,Persons
New Mexico,Bernalillo,1981,430023
New Mexico,Bernalillo,1982,433469
New Mexico,Bernalillo,1983,441597
New Mexico,Bernalillo,1984,447307
New Mexico,Bernalillo,1985,452555
New Mexico,Bernalillo,1986,459938
New Mexico,Bernalillo,1987,468550
New Mexico,Bernalillo,1988,472977
New Mexico,Bernalillo,1989,478795
New Mexico,Bernalillo,1990,482696
New Mexico,Bernalillo,1991,492880
New Mexico,Bernalillo,1992,505395
New Mexico,Bernalillo,1993,515914
New Mexico,Bernalillo,1994,528842
New Mexico,Bernalillo,1995,538615
New Mexico,Bernalillo,1996,544201
New Mexico,Bernalillo,1997,547997
New Mexico,Bernalillo,1998,551298
New Mexico,Bernalillo,1999,553002
New Mexico,Bernalillo,2000,557601
New Mexico,Bernalillo,2001,564241
New Mexico,Bernalillo,2002,576532
New Mexico,Bernalillo,2003,587049
New Mexico,Bernalillo,2004,600449
New Mexico,Bernalillo,2005,615320
New Mexico,Bernalillo,2006,628632
New Mexico,Bernalillo,2007,638978
New Mexico,Bernalillo,2008,646879
New Mexico,Bernalillo,2009,655279
New Mexico,Bernalillo,2010,663923
New Mexico,Bernalillo,2011,670283
New Mexico,Bernalillo,2012,673615
New Mexico,Bernalillo,2013,676326
New Mexico,Bernalillo,2014,675957
New Mexico,Bernalillo,2015,676248
New Mexico,Bernalillo,2016,677683
New Mexico,Bernalillo,2017,678203
New Mexico,Bernalillo,2018,678034
New Mexico,Bernalillo,2019,679121
New Mexico,Catron,1981,2694
New Mexico,Catron,1982,2666
New Mexico,Catron,1983,2731
New Mexico,Catron,1984,2750
New Mexico,Catron,1985,2594
New Mexico,Catron,1986,2579
New Mexico,Catron,1987,2617
New Mexico,Catron,1988,2619
New Mexico,Catron,1989,2566
New Mexico,Catron,1990,2580
New Mexico,Catron,1991,2575
New Mexico,Catron,1992,2585
New Mexico,Catron,1993,2704
New Mexico,Catron,1994,2808
New Mexico,Catron,1995,2897
New Mexico,Catron,1996,2987
New Mexico,Catron,1997,3186
New Mexico,Catron,1998,3274
New Mexico,Catron,1999,3413
New Mexico,Catron,2000,3567
New Mexico,Catron,2001,3488
New Mexico,Catron,2002,3501
New Mexico,Catron,2003,3456
New Mexico,Catron,2004,3468
New Mexico,Catron,2005,3425
New Mexico,Catron,2006,3573
New Mexico,Catron,2007,3638
New Mexico,Catron,2008,3631
New Mexico,Catron,2009,3689
New Mexico,Catron,2010,3748
New Mexico,Catron,2011,3716
New Mexico,Catron,2012,3635
New Mexico,Catron,2013,3586
New Mexico,Catron,2014,3547
New Mexico,Catron,2015,3476
New Mexico,Catron,2016,3518
New Mexico,Catron,2017,3553
New Mexico,Catron,2018,3554
New Mexico,Catron,2019,3527
New Mexico,Chaves,1981,51468
New Mexico,Chaves,1982,53647
New Mexico,Chaves,1983,56263
New Mexico,Chaves,1984,56455
New Mexico,Chaves,1985,56517
New Mexico,Chaves,1986,56419
New Mexico,Chaves,1987,55667
New Mexico,Chaves,1988,55922
New Mexico,Chaves,1989,57105
New Mexico,Chaves,1990,58033
New Mexico,Chaves,1991,58818
New Mexico,Chaves,1992,58655
New Mexico,Chaves,1993,59505
New Mexico,Chaves,1994,60596
New Mexico,Chaves,1995,61365
New Mexico,Chaves,1996,62088
New Mexico,Chaves,1997,62338
New Mexico,Chaves,1998,62395
New Mexico,Chaves,1999,62052
New Mexico,Chaves,2000,61317
New Mexico,Chaves,2001,60928
New Mexico,Chaves,2002,60768
New Mexico,Chaves,2003,61248
New Mexico,Chaves,2004,61478
New Mexico,Chaves,2005,62172
New Mexico,Chaves,2006,62486
New Mexico,Chaves,2007,63587
New Mexico,Chaves,2008,64378
New Mexico,Chaves,2009,65110
New Mexico,Chaves,2010,65720
New Mexico,Chaves,2011,65720
New Mexico,Chaves,2012,65765
New Mexico,Chaves,2013,66009
New Mexico,Chaves,2014,65809
New Mexico,Chaves,2015,65825
New Mexico,Chaves,2016,65646
New Mexico,Chaves,2017,65080
New Mexico,Chaves,2018,64554
New Mexico,Chaves,2019,64615
New Mexico,Cibola,1981,29756
New Mexico,Cibola,1982,28211
New Mexico,Cibola,1983,26321
New Mexico,Cibola,1984,24700
