State,County,Use,Year,Volume,Count
New Mexico,120800010102,Drilling,201405,0.087,1
New Mexico,120800030204,Drilling,201212,0.134985,1
New Mexico,120800030208,Drilling,201601,0.16662,1
New Mexico,120800030208,Drilling,201705,0.171405,1
New Mexico,120800030208,Drilling,201803,0.183,1
New Mexico,120800030304,Drilling,201803,0.169575,1
New Mexico,120800030401,Drilling,201309,0.09675,1
New Mexico,120800030403,Drilling,201402,0.0966,1
New Mexico,120800030403,Drilling,201502,0.13086,1
New Mexico,120800030403,Drilling,201502,0.13944,1
New Mexico,120800030403,Drilling,201505,0.13005,1
New Mexico,120800030404,Drilling,201309,0.07845,1
New Mexico,120800030601,Drilling,201305,0.133935,1
New Mexico,120800030602,Drilling,201306,0.132,1
New Mexico,120800030602,Drilling,201309,0.10335,1
New Mexico,120800030602,Drilling,201309,0.130965,1
New Mexico,120800030602,Drilling,201406,0.131025,1
New Mexico,120800030602,Drilling,201810,0.171885,1
New Mexico,120800030602,Drilling,201812,0.15483,1
New Mexico,120800030603,Drilling,201610,0.16977,1
New Mexico,120800030603,Drilling,201705,0.174075,1
New Mexico,120800030603,Drilling,201802,0.17343,1
New Mexico,120800030604,Drilling,201212,0.135,1
New Mexico,120800030604,Drilling,201306,0.07254,1
New Mexico,120800030604,Drilling,201307,0.06807,1
New Mexico,120800030604,Drilling,201307,0.06867,1
New Mexico,120800030604,Drilling,201308,0.0669,1
New Mexico,120800030604,Drilling,201309,0.076875,1
New Mexico,120800030604,Drilling,201310,0.07839,1
New Mexico,120800030604,Drilling,201311,0.076725,1
New Mexico,120800030604,Drilling,201311,0.11985,1
New Mexico,120800030604,Drilling,201311,0.07287,1
New Mexico,120800030604,Drilling,201312,0.134535,1
New Mexico,120800030604,Drilling,201312,0.07695,1
New Mexico,120800030604,Drilling,201401,0.1215,1
New Mexico,120800030604,Drilling,201401,0.122685,1
New Mexico,120800030604,Drilling,201403,0.09741,1
New Mexico,120800030604,Drilling,201412,0.07275,1
New Mexico,120800030604,Drilling,201503,0.07629,1
New Mexico,120800030604,Drilling,201505,0.072795,1
New Mexico,120800030604,Drilling,201505,0.07065,1
New Mexico,120800030604,Drilling,201505,0.07275,1
New Mexico,120800030604,Drilling,201507,0.071595,1
New Mexico,120800030604,Drilling,201508,0.12486,1
New Mexico,120800030604,Drilling,201702,0.072375,1
New Mexico,120800030604,Drilling,201706,0.07065,1
New Mexico,120800030604,Drilling,201710,0.07065,1
New Mexico,120800030604,Drilling,201710,0.07035,1
New Mexico,120800030604,Drilling,201712,0.07275,1
New Mexico,120800030604,Drilling,201803,0.075,1
New Mexico,120800030604,Drilling,201804,0.07275,1
New Mexico,120800030604,Drilling,201805,0.07275,1
New Mexico,120800030605,Drilling,201306,0.06264,1
New Mexico,120800030605,Drilling,201306,0.062655,1
New Mexico,120800030605,Drilling,201306,0.0615,1
New Mexico,120800030605,Drilling,201306,0.062325,1
New Mexico,120800030605,Drilling,201410,0.1383,1
New Mexico,120800030605,Drilling,201505,0.136245,1
New Mexico,120800030607,Drilling,201302,0.168,1
New Mexico,120800030608,Drilling,201810,0.17499,1
New Mexico,120800030609,Drilling,201403,0.13587,1
New Mexico,120800030609,Drilling,201406,0.129615,1
New Mexico,120800030609,Drilling,201710,0.069525,1
New Mexico,120800030610,Drilling,201409,0.14112,1
New Mexico,120800030610,Drilling,201506,0.13959,1
New Mexico,120800030611,Drilling,201211,0.1059,1
New Mexico,120800030611,Drilling,201303,0.105855,1
New Mexico,120800030611,Drilling,201309,0.105855,1
New Mexico,120800030611,Drilling,201309,0.105855,1
New Mexico,120800030611,Drilling,201506,0.10575,1
New Mexico,120800030702,Drilling,201310,0.192375,1
New Mexico,120800030703,Drilling,201211,0.1062,1
New Mexico,120800030703,Drilling,201610,0.069345,1
New Mexico,120800030703,Drilling,201802,0.12,1
New Mexico,120800030704,Drilling,201301,0.122205,1
New Mexico,120800030704,Drilling,201804,0.1464,1
New Mexico,120800040102,Drilling,201805,0.141945,1
New Mexico,120800040203,Drilling,202006,0.08055,1
New Mexico,120800040203,Drilling,202010,0.08043,1
New Mexico,120800040203,Drilling,202012,0.08046,1
New Mexico,120800040203,Drilling,202106,0.080486,1
New Mexico,120800040203,Drilling,202108,0.080496,1
New Mexico,120800040306,Drilling,201705,0.080325,1
New Mexico,120800040306,Drilling,201706,0.08094,1
New Mexico,120800040501,Drilling,201905,0.1896,1
New Mexico,120800040502,Drilling,201709,0.079515,1
New Mexico,120800040502,Drilling,201801,0.195,1
New Mexico,120800040502,Drilling,201811,0.08037,1
New Mexico,120800040502,Drilling,201907,0.07953,1
New Mexico,120800041004,Drilling,201812,0.164865,1
New Mexico,120800060104,Drilling,201501,0.17775,1
New Mexico,120800060104,Drilling,201805,0.07725,1
New Mexico,120800060202,Drilling,201602,0.075075,1
New Mexico,120800060202,Drilling,201901,0.17418,1
New Mexico,120800060203,Drilling,201607,0.07443,1
New Mexico,120800060205,Drilling,201510,0.0777,1
New Mexico,120800060205,Drilling,201610,0.074115,1
New Mexico,120800060205,Drilling,201703,0.146055,1
New Mexico,130500042205,Drilling,201303,0.0825,1
New Mexico,130600070201,Drilling,201908,0.081,1
New Mexico,130600070703,Drilling,201811,0.042435,1
New Mexico,130600070905,Drilling,201703,0.047985,1
New Mexico,130600070905,Drilling,201809,0.047505,1
New Mexico,130600070905,Drilling,201811,0.04884,1
New Mexico,130600070905,Drilling,201811,0.046905,1
