State,County,Use,Year,Volume,Count
New Mexico,Chaves,Cementing,2013,0.013096,1
New Mexico,Chaves,Cementing,2013,0.0132,1
New Mexico,Chaves,Cementing,2013,0.013394,1
New Mexico,Chaves,Cementing,2014,0.013102,1
New Mexico,Chaves,Cementing,2016,0.005126,1
New Mexico,Chaves,Cementing,2016,0.004978,1
New Mexico,Chaves,Cementing,2016,0.004978,1
New Mexico,Chaves,Cementing,2016,0.005246,1
New Mexico,Chaves,Cementing,2017,0.01341,1
New Mexico,Chaves,Cementing,2017,0.004335,1
New Mexico,Chaves,Cementing,2017,0.004798,1
New Mexico,Chaves,Cementing,2018,0.00426,1
New Mexico,Chaves,Cementing,2018,0.004512,1
New Mexico,Chaves,Cementing,2018,0.00465,1
New Mexico,Chaves,Cementing,2018,0.004977,1
New Mexico,Chaves,Cementing,2018,0.004884,1
New Mexico,Chaves,Cementing,2018,0.00475,1
New Mexico,Chaves,Cementing,2018,0.00469,1
New Mexico,Chaves,Cementing,2018,0.004244,1
New Mexico,Chaves,Cementing,2018,0.00476,1
New Mexico,Chaves,Cementing,2019,0.005133,1
New Mexico,Chaves,Cementing,2019,0.00471,1
New Mexico,Chaves,Cementing,2019,0.004594,1
New Mexico,Chaves,Cementing,2019,0.00497,1
New Mexico,Chaves,Cementing,2019,0.004762,1
New Mexico,Chaves,Cementing,2021,0.004406,1
New Mexico,Chaves,Cementing,2021,0.004407,1
New Mexico,Chaves,Cementing,2021,0.004292,1
New Mexico,Chaves,Cementing,2021,0.004383,1
New Mexico,Chaves,Cementing,2021,0.004355,1
New Mexico,Chaves,Cementing,2021,0.005259,1
New Mexico,De Baca,Cementing,2018,0.007084,1
New Mexico,Eddy,Cementing,2011,0.012909,1
New Mexico,Eddy,Cementing,2011,0.01358,1
New Mexico,Eddy,Cementing,2012,0.011662,1
New Mexico,Eddy,Cementing,2012,0.009099,1
New Mexico,Eddy,Cementing,2012,0.01703,1
New Mexico,Eddy,Cementing,2012,0.010869,1
New Mexico,Eddy,Cementing,2012,0.010796,1
New Mexico,Eddy,Cementing,2012,0.012908,1
New Mexico,Eddy,Cementing,2012,0.015458,1
New Mexico,Eddy,Cementing,2012,0.00994,1
New Mexico,Eddy,Cementing,2012,0.015614,1
New Mexico,Eddy,Cementing,2012,0.009987,1
New Mexico,Eddy,Cementing,2012,0.010749,1
New Mexico,Eddy,Cementing,2012,0.013848,1
New Mexico,Eddy,Cementing,2012,0.011691,1
New Mexico,Eddy,Cementing,2012,0.010275,1
New Mexico,Eddy,Cementing,2012,0.013634,1
New Mexico,Eddy,Cementing,2012,0.012531,1
New Mexico,Eddy,Cementing,2012,0.014154,1
New Mexico,Eddy,Cementing,2012,0.012588,1
New Mexico,Eddy,Cementing,2012,0.010942,1
New Mexico,Eddy,Cementing,2012,0.010998,1
New Mexico,Eddy,Cementing,2012,0.01305,1
New Mexico,Eddy,Cementing,2012,0.012562,1
New Mexico,Eddy,Cementing,2012,0.013506,1
New Mexico,Eddy,Cementing,2012,0.01352,1
New Mexico,Eddy,Cementing,2012,0.012825,1
New Mexico,Eddy,Cementing,2012,0.020175,1
New Mexico,Eddy,Cementing,2012,0.0096,1
New Mexico,Eddy,Cementing,2012,0.0096,1
New Mexico,Eddy,Cementing,2012,0.007287,1
New Mexico,Eddy,Cementing,2012,0.007881,1
New Mexico,Eddy,Cementing,2012,0.00897,1
New Mexico,Eddy,Cementing,2012,0.00822,1
New Mexico,Eddy,Cementing,2012,0.0096,1
New Mexico,Eddy,Cementing,2012,0.007208,1
New Mexico,Eddy,Cementing,2012,0.009435,1
New Mexico,Eddy,Cementing,2012,0.007898,1
New Mexico,Eddy,Cementing,2012,0.007989,1
New Mexico,Eddy,Cementing,2012,0.008092,1
New Mexico,Eddy,Cementing,2012,0.008142,1
New Mexico,Eddy,Cementing,2012,0.00807,1
New Mexico,Eddy,Cementing,2012,0.008025,1
New Mexico,Eddy,Cementing,2012,0.007298,1
New Mexico,Eddy,Cementing,2012,0.006387,1
New Mexico,Eddy,Cementing,2012,0.006368,1
New Mexico,Eddy,Cementing,2012,0.007834,1
New Mexico,Eddy,Cementing,2012,0.007538,1
New Mexico,Eddy,Cementing,2012,0.006825,1
New Mexico,Eddy,Cementing,2012,0.006698,1
New Mexico,Eddy,Cementing,2012,0.006927,1
New Mexico,Eddy,Cementing,2012,0.009368,1
New Mexico,Eddy,Cementing,2012,0.011996,1
New Mexico,Eddy,Cementing,2012,0.012062,1
New Mexico,Eddy,Cementing,2012,0.007618,1
New Mexico,Eddy,Cementing,2012,0.00663,1
New Mexico,Eddy,Cementing,2012,0.006726,1
New Mexico,Eddy,Cementing,2012,0.0066,1
New Mexico,Eddy,Cementing,2012,0.008076,1
New Mexico,Eddy,Cementing,2012,0.007958,1
New Mexico,Eddy,Cementing,2012,0.004608,1
New Mexico,Eddy,Cementing,2012,0.013348,1
New Mexico,Eddy,Cementing,2012,0.013338,1
New Mexico,Eddy,Cementing,2012,0.013299,1
New Mexico,Eddy,Cementing,2012,0.013227,1
New Mexico,Eddy,Cementing,2012,0.013072,1
New Mexico,Eddy,Cementing,2012,0.01829,1
New Mexico,Eddy,Cementing,2012,0.015429,1
New Mexico,Eddy,Cementing,2012,0.013958,1
New Mexico,Eddy,Cementing,2012,0.01387,1
New Mexico,Eddy,Cementing,2012,0.014002,1
New Mexico,Eddy,Cementing,2012,0.013732,1
New Mexico,Eddy,Cementing,2012,0.01356,1
New Mexico,Eddy,Cementing,2012,0.013587,1
New Mexico,Eddy,Cementing,2012,0.013899,1
New Mexico,Eddy,Cementing,2012,0.013626,1
New Mexico,Eddy,Cementing,2012,0.013554,1
New Mexico,Eddy,Cementing,2012,0.013734,1
New Mexico,Eddy,Cementing,2012,0.017025,1
New Mexico,Eddy,Cementing,2012,0.01832,1
New Mexico,Eddy,Cementing,2012,0.012051,1
New Mexico,Eddy,Cementing,2012,0.009939,1
New Mexico,Eddy,Cementing,2012,0.011872,1
New Mexico,Eddy,Cementing,2012,0.011883,1
New Mexico,Eddy,Cementing,2012,0.01215,1
New Mexico,Eddy,Cementing,2012,0.01087,1
New Mexico,Eddy,Cementing,2012,0.010256,1
