State,County,Use,Year,Volume,Count
New Mexico,Chaves,Drilling,2013,0.130965,1
New Mexico,Chaves,Drilling,2013,0.132,1
New Mexico,Chaves,Drilling,2013,0.133935,1
New Mexico,Chaves,Drilling,2014,0.131025,1
New Mexico,Chaves,Drilling,2016,0.051255,1
New Mexico,Chaves,Drilling,2016,0.049785,1
New Mexico,Chaves,Drilling,2016,0.049785,1
New Mexico,Chaves,Drilling,2016,0.052455,1
New Mexico,Chaves,Drilling,2017,0.1341,1
New Mexico,Chaves,Drilling,2017,0.04335,1
New Mexico,Chaves,Drilling,2017,0.047985,1
New Mexico,Chaves,Drilling,2018,0.0426,1
New Mexico,Chaves,Drilling,2018,0.04512,1
New Mexico,Chaves,Drilling,2018,0.0465,1
New Mexico,Chaves,Drilling,2018,0.04977,1
New Mexico,Chaves,Drilling,2018,0.04884,1
New Mexico,Chaves,Drilling,2018,0.047505,1
New Mexico,Chaves,Drilling,2018,0.046905,1
New Mexico,Chaves,Drilling,2018,0.042435,1
New Mexico,Chaves,Drilling,2018,0.047595,1
New Mexico,Chaves,Drilling,2019,0.05133,1
New Mexico,Chaves,Drilling,2019,0.0471,1
New Mexico,Chaves,Drilling,2019,0.045945,1
New Mexico,Chaves,Drilling,2019,0.049695,1
New Mexico,Chaves,Drilling,2019,0.047625,1
New Mexico,Chaves,Drilling,2021,0.044055,1
New Mexico,Chaves,Drilling,2021,0.04407,1
New Mexico,Chaves,Drilling,2021,0.042915,1
New Mexico,Chaves,Drilling,2021,0.04383,1
New Mexico,Chaves,Drilling,2021,0.043555,1
New Mexico,Chaves,Drilling,2021,0.052586,1
New Mexico,De Baca,Drilling,2018,0.070845,1
New Mexico,Eddy,Drilling,2011,0.12909,1
New Mexico,Eddy,Drilling,2011,0.135795,1
New Mexico,Eddy,Drilling,2012,0.116625,1
New Mexico,Eddy,Drilling,2012,0.09099,1
New Mexico,Eddy,Drilling,2012,0.170295,1
New Mexico,Eddy,Drilling,2012,0.10869,1
New Mexico,Eddy,Drilling,2012,0.107955,1
New Mexico,Eddy,Drilling,2012,0.129075,1
New Mexico,Eddy,Drilling,2012,0.154575,1
New Mexico,Eddy,Drilling,2012,0.099405,1
New Mexico,Eddy,Drilling,2012,0.156135,1
New Mexico,Eddy,Drilling,2012,0.09987,1
New Mexico,Eddy,Drilling,2012,0.10749,1
New Mexico,Eddy,Drilling,2012,0.138478,1
New Mexico,Eddy,Drilling,2012,0.11691,1
New Mexico,Eddy,Drilling,2012,0.10275,1
New Mexico,Eddy,Drilling,2012,0.136335,1
New Mexico,Eddy,Drilling,2012,0.12531,1
New Mexico,Eddy,Drilling,2012,0.141537,1
New Mexico,Eddy,Drilling,2012,0.12588,1
New Mexico,Eddy,Drilling,2012,0.109425,1
