State,County,Use,Year,Volume,Count
Texas,Howard,Hydraulic fracturing,2019,7465.0347375,463
Texas,Howard,Hydraulic fracturing,2020,5940.248188733333,317
Texas,Howard,Hydraulic fracturing,2021,6147.045569,301
Texas,Hudspeth,Hydraulic fracturing,2016,0.087251,1
Texas,Hudspeth,Hydraulic fracturing,2018,2.018745,1
Texas,Hudspeth,Hydraulic fracturing,2019,0.106861,1
Texas,Irion,Hydraulic fracturing,2011,0.114324,1
Texas,Irion,Hydraulic fracturing,2012,328.76642883333335,77
Texas,Irion,Hydraulic fracturing,2013,1519.716437079,267
Texas,Irion,Hydraulic fracturing,2014,1891.0777255521666,268
Texas,Irion,Hydraulic fracturing,2015,943.25967908,109
Texas,Irion,Hydraulic fracturing,2016,468.542349,54
Texas,Irion,Hydraulic fracturing,2017,747.5161086666667,50
Texas,Irion,Hydraulic fracturing,2018,1298.134371,72
Texas,Irion,Hydraulic fracturing,2019,1834.206064,92
Texas,Irion,Hydraulic fracturing,2020,314.703507,17
Texas,Irion,Hydraulic fracturing,2021,158.487568,9
Texas,Jeff Davis,Hydraulic fracturing,2017,8.725311,2
Texas,Jeff Davis,Hydraulic fracturing,2018,17.549649,2
Texas,Jones,Hydraulic fracturing,2013,0.062244,4
Texas,Jones,Hydraulic fracturing,2014,0.00441,1
Texas,Jones,Hydraulic fracturing,2015,0.11454700000000001,4
Texas,Jones,Hydraulic fracturing,2021,0.031671000000000005,2
Texas,Kent,Hydraulic fracturing,2012,0.860643,2
Texas,Kent,Hydraulic fracturing,2013,0.382691,2
Texas,Kent,Hydraulic fracturing,2015,0.5400780000000001,2
Texas,Kent,Hydraulic fracturing,2017,2.903628,1
Texas,Kent,Hydraulic fracturing,2019,0.328118,1
Texas,Kent,Hydraulic fracturing,2020,0.364182,1
Texas,King,Hydraulic fracturing,2012,0.009534,1
Texas,King,Hydraulic fracturing,2013,0.7682215,23
Texas,King,Hydraulic fracturing,2014,0.48171126666666664,23
Texas,King,Hydraulic fracturing,2015,0.268218,13
Texas,King,Hydraulic fracturing,2016,0.209719,10
Texas,King,Hydraulic fracturing,2017,0.0758345,4
Texas,King,Hydraulic fracturing,2018,0.053203,3
Texas,King,Hydraulic fracturing,2019,0.026376,1
Texas,Loving,Hydraulic fracturing,2011,13.4482727,5
Texas,Loving,Hydraulic fracturing,2012,110.209317,50
Texas,Loving,Hydraulic fracturing,2013,459.8275445,149
Texas,Loving,Hydraulic fracturing,2014,714.03551812,151
Texas,Loving,Hydraulic fracturing,2015,1342.6317201,206
Texas,Loving,Hydraulic fracturing,2016,1841.81972006,217
Texas,Loving,Hydraulic fracturing,2017,3705.4961158866668,304
Texas,Loving,Hydraulic fracturing,2018,4847.94199314,371
Texas,Loving,Hydraulic fracturing,2019,4959.02277393,357
Texas,Loving,Hydraulic fracturing,2020,3520.74373522,283
Texas,Loving,Hydraulic fracturing,2021,2978.558036701135,216
Texas,Lubbock,Hydraulic fracturing,2013,2.084552,6
Texas,Lubbock,Hydraulic fracturing,2014,0.002194,1
Texas,Lubbock,Hydraulic fracturing,2015,1.078496,3
Texas,Lubbock,Hydraulic fracturing,2018,0.052397,3
Texas,Lynn,Hydraulic fracturing,2012,2.14329255134242,3
Texas,Lynn,Hydraulic fracturing,2013,4.075136,3
Texas,Martin,Hydraulic fracturing,2011,4.5525134327185395,4
Texas,Martin,Hydraulic fracturing,2012,327.22594152616506,297
Texas,Martin,Hydraulic fracturing,2013,956.6398878333333,644
Texas,Martin,Hydraulic fracturing,2014,1641.7233569866667,608
Texas,Martin,Hydraulic fracturing,2015,1981.4168801133333,292
