County,Latitude,Longitude,SourceType,UseType,NMOSE_POD,PermittedRight_gal,RelatedtoCOG
Lea,32.78330879,-103.5043132,GW,Oil Production,L-07119,296524410,YES
Otero,32.94640669,-105.7096041,GW,Municipal,SD-03340-POD1,276973350,MAYBE
Chaves,33.10937837,-104.3306736,GW,Municipal,RA-04630-S,265242714,MAYBE
Eddy,32.27461521,-104.2367952,GW,Municipal,C-00259-S,260680800,MAYBE
Lea,32.9687724,-103.7631794,GW,Secondary Recovery of Oil,L-04816-S,260322363.9,YES
Eddy,32.87323304,-103.5249291,GW,Commercial,L-07157,257422290,NO
Lea,32.92803314,-103.7789979,GW,Commercial,L-08084,244388250,MAYBE
Otero,33.07765466,-106.0051977,GW,Municipal,T-03861,218010611.6,MAYBE
Eddy,32.21845167,-103.9969098,GW,Mining or Oil,C-00863,210173895,MAYBE
Otero,33.29718965,-106.0648467,GW,Commercial,T-02015,204471502.5,NO
Otero,32.72468877,-105.9809427,GW,Municipal,T-01125,189645282,MAYBE
Eddy,32.9179806,-104.4288086,GW,Exploration,RA-01253-S,175405593.3,MAYBE
Chaves,33.45318121,-104.5782782,GW,Municipal,RA-00499-A,170279957.1,MAYBE
Lea,32.69933148,-103.2080015,GW,Commercial,L-02251,169963881.6,YES
Eddy,32.78169407,-104.4138023,GW,Municipal,RA-00731-POD4,167063807.7,MAYBE
Roosevelt,34.14496648,-103.1866538,GW,Exploration,P-02082,158656851.9,MAYBE
Lea,32.76056653,-103.5031992,GW,Secondary Recovery of Oil,L-04931-X,158363586,YES
Eddy,32.83627128,-104.4030796,GW,Municipal,RA-00820,157786829.7,MAYBE
Lea,32.86947301,-103.3057711,GW,Secondary Recovery of Oil,L-04988,157451203.2,YES
Eddy,32.18017134,-104.3782286,GW,Municipal,C-00906-X,149891460,MAYBE
Lea,33.23605757,-103.7564456,GW,Secondary Recovery of Oil,L-03322,137509122,YES
Chaves,33.36381233,-104.5445709,GW,Commercial,RA-02027,130340400,NO
Lea,32.05680844,-103.1688407,GW,Secondary Recovery of Oil,CP-00452-POD1,129102166.2,YES
Chaves,33.29680002,-104.4498637,GW,Municipal,RA-00241-C,123302018.4,MAYBE
Lea,32.87242229,-103.5045072,GW,Secondary Recovery of Oil,L-07685,119261466,YES
Lea,32.95213217,-103.3435076,GW,Commercial,L-00955-S,117104332.4,NO
Lea,32.58486228,-103.180423,GW,Industrial,L-00407-POD4,99498602.85,NO
Lea,32.8142733,-103.5043927,GW,Industrial,L-04829-POD7,97755300,YES
Lea,33.25598196,-103.3187211,GW,Municipal,L-02821-S,94874777.16,MAYBE
Lea,33.04369527,-103.1720509,GW,Commercial,L-00610-POD4,93018078.16,MAYBE
Chaves,33.38392592,-104.5829565,GW,Municipal,RA-01836,92867535,MAYBE
Lea,32.87214159,-103.438012,GW,Secondary Recovery of Oil,L-04084-S,84512715.36,YES
Lea,32.87236416,-103.5109743,GW,Secondary Recovery of Oil,L-10142,81462750,YES
Otero,32.99919197,-105.9916441,GW,Commercial,T-01429,78855942,MAYBE
Otero,32.82874825,-105.9794036,GW,Commercial,T-00134,78204240,MAYBE
Roosevelt,34.21817663,-103.5415908,GW,Exploration,P-01320,77422197.6,MAYBE
Otero,32.42422493,-105.5848856,GW,Municipal,H-01122-POD9,76560973.41,MAYBE
Roosevelt,34.19974715,-103.3020991,GW,Exploration,P-00382,73218719.7,MAYBE
Lea,32.87059999,-103.5044736,GW,Commercial,L-06357,67711837.8,YES
Eddy,32.94183036,-104.46553,GW,Municipal,RA-01890-CS,67363177.23,MAYBE
