APINumber,State,County,Latitude,Longitude,Year,TotalBaseWaterVolume,TotalVerticalDepth
42003477040000,Texas,Andrews,32.133918,-102.214988,2018,15164603,8816
42003445390000,Texas,Andrews,32.28099,-102.21508,2013,2484738,12100
42003477120000,Texas,Andrews,32.13389,-102.21511,2018,15606988,9891
42003458900000,Texas,Andrews,32.104197,-102.21521,2014,11987294,9238
42003458940000,Texas,Andrews,32.104317,-102.215407,2014,12222542,8658
42003442670000,Texas,Andrews,32.271509,-102.215462,2012,1768242,12042
42003453390000,Texas,Andrews,32.11379,-102.21552,2013,1525650,10915
42003460810000,Texas,Andrews,32.087753,-102.215564,2014,1997772,11300
42003428620000,Texas,Andrews,32.4089185,-102.2157097,2012,1306149,11439
42003459990000,Texas,Andrews,32.104065,-102.21577,2014,11902539,9659
42003432980000,Texas,Andrews,32.35701446,-102.215901,2012,1543758,12125
42003459400000,Texas,Andrews,32.311093,-102.216091,2014,1732669,11553
42003444990000,Texas,Andrews,32.143877,-102.216307,2014,1522900,11331
42003458130000,Texas,Andrews,32.25773,-102.21642,2014,5362249,11992
42003461140000,Texas,Andrews,32.17499167,-102.2171833,2014,954198,11086
42003432610000,Texas,Andrews,32.26058,-102.217255,2012,1222326,12000
42003453210000,Texas,Andrews,32.23466,-102.21741,2014,831062,11979
42003460310000,Texas,Andrews,32.14712,-102.217612,2015,1621207,11168
42003459780000,Texas,Andrews,32.30625,-102.218083,2014,1431395,11799
42003441650000,Texas,Andrews,32.16613,-102.21811,2013,288288,11000
42003472080000,Texas,Andrews,32.357506,-102.218142,2016,18593988,9490
42003472090000,Texas,Andrews,32.357478,-102.218284,2016,18506502,9494
42003478170000,Texas,Andrews,32.421855,-102.218305,2019,7025221.922,9514
42003451040000,Texas,Andrews,32.1204897,-102.2183564,2013,1238744,11300
42003472100000,Texas,Andrews,32.35745,-102.218426,2016,18653964,9481
42003475160000,Texas,Andrews,32.142419,-102.21846,2018,10966737,9235
42003441950000,Texas,Andrews,32.09986,-102.21848,2012,1636530,11155
42003453180000,Texas,Andrews,32.23822,-102.21857,2014,969914,11975
42003475150000,Texas,Andrews,32.14239,-102.218575,2018,10926193,9308
42003473310000,Texas,Andrews,32.48065,-102.21873,2016,237105,9498
42003473260000,Texas,Andrews,32.480637,-102.218801,2016,232300,9514
42003461240000,Texas,Andrews,32.150793,-102.218925,2015,1759614,11360
42003478150000,Texas,Andrews,32.42166,-102.219164,2019,13524546,8872
42003475030000,Texas,Andrews,32.088251,-102.21949,2017,17951766,9245
42003460770000,Texas,Andrews,32.359406,-102.219532,2014,8806896,10024
42003460780000,Texas,Andrews,32.359389,-102.219627,2014,10362870,10725
42003479460000,Texas,Andrews,32.25541785,-102.2196504,2019,18414247,9133
42003479470000,Texas,Andrews,32.25386,-102.219791,2019,18945736,9736
42003451180000,Texas,Andrews,32.32496,-102.21985,2013,2586066,11650
42003479480000,Texas,Andrews,32.25535368,-102.2199316,2019,18663330,8781
42003450370000,Texas,Andrews,32.16790833,-102.2199528,2013,876170,11790
42003478140000,Texas,Andrews,32.421465,-102.220023,2019,13516188,9562
42003461510000,Texas,Andrews,32.154291,-102.220057,2015,1699334,11307
42003479490000,Texas,Andrews,32.255322,-102.220072,2019,15668200,9303
42003452640000,Texas,Andrews,32.29865,-102.22053,2013,2546460,11777
42003470680000,Texas,Andrews,32.14193,-102.220554,2018,8421026,9652
42003449810000,Texas,Andrews,32.4147795,-102.2205599,2013,1574313,11365
42003461150000,Texas,Andrews,32.17028056,-102.220675,2014,762006,11330
42003470670000,Texas,Andrews,32.141901,-102.220679,2018,8421026,9895
42003452830000,Texas,Andrews,32.31355,-102.22076,2013,2465820,11547
42003446910000,Texas,Andrews,32.225441,-102.2207718,2013,922455,11700
42003461230000,Texas,Andrews,32.158099,-102.22129,2015,1664728,11331
42003452630000,Texas,Andrews,32.286492,-102.221308,2014,1647912,11842
42003446940000,Texas,Andrews,32.233532,-102.221413,2013,947848,11700
42003458420000,Texas,Andrews,32.26065,-102.22144,2014,977502,12076
42003474080000,Texas,Andrews,32.283539,-102.221618,2017,21469552,9520
42003478180000,Texas,Andrews,32.421075,-102.221742,2019,13771128,9429
42003460330000,Texas,Andrews,32.146366,-102.221781,2014,1482990,11141
42003431310000,Texas,Andrews,32.177775,-102.2217958,2013,234420,11930
42003453760000,Texas,Andrews,32.134758,-102.221831,2014,1649891,11260
42003440460000,Texas,Andrews,32.33178425,-102.2218323,2012,1210159,11958
42003474060000,Texas,Andrews,32.283477,-102.221899,2017,21325188,9360
42003475170000,Texas,Andrews,32.141588,-102.222035,2018,11505765,9362
42003475140000,Texas,Andrews,32.141558,-102.222159,2018,11419455,9315
42003454370000,Texas,Andrews,32.11976,-102.2222,2013,1544508,10915
42003475130000,Texas,Andrews,32.141528,-102.222283,2018,11745385.2,9369
42003461490000,Texas,Andrews,32.161923,-102.222528,2015,1690061,11322
42003453170000,Texas,Andrews,32.23728,-102.22258,2013,940566,11892
42003461050000,Texas,Andrews,32.17936561,-102.2226749,2014,1039710,11387
42003479420000,Texas,Andrews,32.254976,-102.222959,2019,17559586,8874
42003479430000,Texas,Andrews,32.2554944,-102.223099,2019,20887483,9734
42003479450000,Texas,Andrews,32.25488,-102.22338,2019,17820898,9293
42003474090000,Texas,Andrews,32.283128,-102.223464,2017,24743166,8834
42003479440000,Texas,Andrews,32.255056,-102.223525,2019,17723035,8752
42003479960000,Texas,Andrews,32.4953,-102.223525,2019,23747472,9934
42003463050000,Texas,Andrews,32.306929,-102.223552,2014,14440470,10784
42003452620000,Texas,Andrews,32.293939,-102.223614,2014,1984248,11864
42003455650000,Texas,Andrews,32.38146,-102.22377,2013,2333226,11636
42003452730000,Texas,Andrews,32.43476,-102.223773,2013,6464330,0
42003470630000,Texas,Andrews,32.141176,-102.223795,2017,10756767,9629
42003470640000,Texas,Andrews,32.141148,-102.22392,2017,11186248,9874
42003442680000,Texas,Andrews,32.267002,-102.224097,2012,693277.8462,5505
42003473140000,Texas,Andrews,32.476366,-102.224151,2016,15454782,9528
42003440450000,Texas,Andrews,32.3393767,-102.2242419,2012,1189835,11930
42003446920000,Texas,Andrews,32.229549,-102.224709,2013,974474,11700
42003466200000,Texas,Andrews,32.313129,-102.224715,2014,1825342,11821
42003467800000,Texas,Andrews,32.384592,-102.224906,2014,1682454,11830
42003442140000,Texas,Andrews,32.166361,-102.225097,2013,181503.2609,11830
42003461060000,Texas,Andrews,32.18751392,-102.2252148,2014,901950,11216
42003460250000,Texas,Andrews,32.398614,-102.225569,2014,1674204,11353
42003479390000,Texas,Andrews,32.25437881,-102.225574,2019,18538506,8781
42003460350000,Texas,Andrews,32.145465,-102.225661,2014,1484813,11128
42003479400000,Texas,Andrews,32.25434667,-102.2257146,2019,18628352,9735
42003479410000,Texas,Andrews,32.25431458,-102.2258552,2019,18490190,9283
42003475420000,Texas,Andrews,32.282851,-102.226397,2017,29284169,8828
42003442660000,Texas,Andrews,32.274486,-102.226427,2013,770700,9752
42003453150000,Texas,Andrews,32.23293,-102.22645,2013,994352,11857
42003446950000,Texas,Andrews,32.235321,-102.226517,2013,863493,11700
42003474920000,Texas,Andrews,32.280219,-102.226572,2017,24971100,10166
42003474600000,Texas,Andrews,32.282789,-102.226678,2017,30300987,9505
42003474970000,Texas,Andrews,32.280188,-102.226712,2017,25313232,9913
42003474610000,Texas,Andrews,32.282758,-102.22682,2017,26334257,9414
42003474980000,Texas,Andrews,32.280157,-102.226853,2017,25151658,10118
42003452600000,Texas,Andrews,32.304467,-102.226875,2014,1661814,11714
42003446530000,Texas,Andrews,32.283442,-102.22699,2013,1609230,11963
42003457160000,Texas,Andrews,32.402893,-102.22702,2014,2586318,11738
42003448110000,Texas,Andrews,32.1221,-102.22726,2013,1701798,11431
42003479950000,Texas,Andrews,32.494394,-102.227486,2019,23272452,9934
42003473460000,Texas,Andrews,32.357852,-102.227766,2016,19284762,9478
42003473450000,Texas,Andrews,32.357826,-102.227909,2016,19292364,9506
42003474380000,Texas,Andrews,32.282282,-102.228027,2017,24489511,9490
42003473440000,Texas,Andrews,32.357801,-102.228052,2016,19153050,9489
42003462060000,Texas,Andrews,32.322186,-102.228242,2014,1734907,11580
42003449740000,Texas,Andrews,32.3989461,-102.2288277,2013,1580964,11524
42003452590000,Texas,Andrews,32.210217,-102.229242,2013,2617188,11411
42003446970000,Texas,Andrews,32.2245,-102.22933,2013,1344193,11842
42003479930000,Texas,Andrews,32.493886,-102.229722,2019,23997666,9934
42003461180000,Texas,Andrews,32.18437,-102.22976,2014,844564,11500
42003447050000,Texas,Andrews,32.12932,-102.22994,2012,1652070,11732
42003453300000,Texas,Andrews,32.413125,-102.230133,2013,669732,11513
42003455660000,Texas,Andrews,32.31556,-102.23025,2013,2391540,11549
42003470430000,Texas,Andrews,32.139648,-102.230371,2016,12194335,9294
42003465630000,Texas,Andrews,32.401813,-102.230376,2014,1635259.762,11796
42003439150000,Texas,Andrews,32.165783,-102.230558,2013,286827,11910
42003453160000,Texas,Andrews,32.23428167,-102.2305936,2013,1107689,11875
42003458150000,Texas,Andrews,32.25829,-102.23091,2014,766254,11965
42003462440000,Texas,Andrews,32.20799444,-102.2311833,2014,1174915,11720
42003458070000,Texas,Andrews,32.160881,-102.231302,2014,11191729,9750
42003456380000,Texas,Andrews,32.311656,-102.231308,2013,11356254,18000
42003446510000,Texas,Andrews,32.297853,-102.231452,2012,1710996,0
42003446480000,Texas,Andrews,32.297853,-102.231452,2013,1633674,11848
42003446500000,Texas,Andrews,32.297853,-102.231452,2013,1828890,11977
42003448820000,Texas,Andrews,32.168958,-102.231556,2013,698245,11161
42003448620000,Texas,Andrews,32.4876851,-102.2315771,2013,1475533,11383
42003458960000,Texas,Andrews,32.161006,-102.231607,2015,10826256,9175
42003447000000,Texas,Andrews,32.23071,-102.23187,2013,873348,11598
42003445610000,Texas,Andrews,32.4647853,-102.232031,2013,1175118,11349
42003444930000,Texas,Andrews,32.13632,-102.23219,2012,1204568,11750
42003474100000,Texas,Andrews,32.312556,-102.23229,2017,25805094,9509
42003448700000,Texas,Andrews,32.44965775,-102.2323429,2013,1284702,11740
42003461660000,Texas,Andrews,32.17184624,-102.2324327,2015,974785,11428
42003446990000,Texas,Andrews,32.22525,-102.23246,2013,1124138,11498
42003458230000,Texas,Andrews,32.160617,-102.23255,2014,10739966,9885
42003461570000,Texas,Andrews,32.407828,-102.232658,2014,1791608,11824
42003466330000,Texas,Andrews,32.23841143,-102.2327697,2014,1004010,11348
42003470610000,Texas,Andrews,32.139084,-102.232802,2017,11444645,9679
42003459530000,Texas,Andrews,32.287694,-102.232819,2014,8761536,17503
42003470620000,Texas,Andrews,32.139055,-102.232927,2017,11696736,9939
42003438030000,Texas,Andrews,32.174275,-102.233178,2012,1106486,11845
42003473700000,Texas,Andrews,32.4439531,-102.2332404,2017,19048478,9548
42003463150000,Texas,Andrews,32.434228,-102.233272,2015,14587524,17211
42003473690000,Texas,Andrews,32.4439309,-102.2333354,2017,18093994,9440
42003458950000,Texas,Andrews,32.160486,-102.233339,2015,10863300,9173
42003473680000,Texas,Andrews,32.4439115,-102.2334297,2017,19123773,9581
42003453360000,Texas,Andrews,32.469286,-102.233447,2013,892500,11508
42003431970000,Texas,Andrews,32.240953,-102.233531,2012,416351.5,12007
42003416300000,Texas,Andrews,32.129281,-102.233606,2017,17693508,9940
42003453450000,Texas,Andrews,32.17677141,-102.2338858,2014,1180183,11202
42003481000000,Texas,Andrews,32.140727,-102.234033,2019,27464841,9205
42003460190000,Texas,Andrews,32.143301,-102.23405,2014,1284706,11150
42003480990000,Texas,Andrews,32.140833,-102.234067,2019,26893816,9728
42003451370000,Texas,Andrews,32.2053,-102.2342,2014,1787352,11629
42003367010000,Texas,Andrews,32.23755,-102.23424,2013,38932,4748
42003442690000,Texas,Andrews,32.278422,-102.234268,2012,791259,12080
42003441400000,Texas,Andrews,32.243436,-102.234292,2013,217799.6364,11331
42003454690000,Texas,Andrews,32.416461,-102.234392,2013,1137738,11459
42003473800000,Texas,Andrews,32.35442,-102.2344,2017,20948298,9464
42003473790000,Texas,Andrews,32.354367,-102.234532,2017,20679708,9462
42003453220000,Texas,Andrews,32.26116,-102.23459,2014,620753,11641
42003474710000,Texas,Andrews,32.4151803,-102.2346223,2017,23249226,9566
42003470410000,Texas,Andrews,32.16018,-102.234642,2015,11751145.48,9213
42003473780000,Texas,Andrews,32.354314,-102.234664,2017,21037842,9462
42003470420000,Texas,Andrews,32.160173,-102.234674,2015,11761336,9642
42003477540000,Texas,Andrews,32.354497,-102.234677,2018,25996750,8879
42003474720000,Texas,Andrews,32.4151593,-102.2347163,2017,22228080,9553
42003453660000,Texas,Andrews,32.16449,-102.23486,2015,378849.1765,900
42003466840000,Texas,Andrews,32.375293,-102.235247,2014,1857786,11788
42003469550000,Texas,Andrews,32.35576,-102.235396,2015,17401272,9478
42003466850000,Texas,Andrews,32.416214,-102.23547,2015,16517550,9466
42003469570000,Texas,Andrews,32.355706,-102.235527,2015,17322396,9487
42003468530000,Texas,Andrews,32.317462,-102.23556,2014,400312,11691
42003469560000,Texas,Andrews,32.355652,-102.235658,2015,17216556,9495
42003474630000,Texas,Andrews,32.131525,-102.235967,2017,7187870.118,9350
42003457760000,Texas,Andrews,32.433711,-102.236014,2014,8786862,18115
42003470440000,Texas,Andrews,32.159797,-102.23613,2016,12053853,9905
42003447010000,Texas,Andrews,32.232731,-102.236305,2013,983689,11700
42003477550000,Texas,Andrews,32.354549,-102.236345,2018,25811734,8866
42003462280000,Texas,Andrews,32.288644,-102.236394,2014,9955890,12000
42003441620000,Texas,Andrews,32.46130687,-102.236406,2012,1216948,11758
42003461530000,Texas,Andrews,32.150418,-102.236723,2015,1525871,11290
42003453410000,Texas,Andrews,32.16776944,-102.2368194,2014,819420,11155
42003472020000,Texas,Andrews,32.4328109,-102.236885,2016,14638978,9491
42003472010000,Texas,Andrews,32.4327889,-102.2369837,2016,14701290,9494
42003438990000,Texas,Andrews,32.285403,-102.237009,2012,1588199,11988
42003445580000,Texas,Andrews,32.32125,-102.23716,2013,747509.9248,11566
42003462490000,Texas,Andrews,32.18030221,-102.2373115,2014,12790596,13949
42003464860000,Texas,Andrews,32.18747222,-102.2373667,2015,8966344.8,9200
42003476040000,Texas,Andrews,32.415753,-102.237368,2017,19772886,9571
42003476050000,Texas,Andrews,32.4157315,-102.2374619,2017,20224134,9609
42003439330000,Texas,Andrews,32.15393,-102.23748,2013,647178,9325
42003442150000,Texas,Andrews,32.18846105,-102.2375,2016,618996,11335
42003446590000,Texas,Andrews,32.310293,-102.237514,2013,128008.2222,11722
42003442560000,Texas,Andrews,32.218575,-102.237678,2013,210654.35,11330
42003439000000,Texas,Andrews,32.288451,-102.237714,2012,2091768,12000
42003366300000,Texas,Andrews,32.218326,-102.237828,2018,8538,4760
42003473220000,Texas,Andrews,32.159421,-102.237906,2016,11674412,9182
42003470460000,Texas,Andrews,32.159412,-102.23793,2016,9599794,9226
42003453340000,Texas,Andrews,32.410733,-102.238278,2013,621600,11497
42003446750000,Texas,Andrews,32.42523,-102.23834,2012,6950,11362
42003366080000,Texas,Andrews,32.221308,-102.238345,2018,8915,4728
42003453290000,Texas,Andrews,32.429782,-102.2386245,2013,1205778,11523
42003463780000,Texas,Andrews,32.187525,-102.2390361,2016,4127651.933,9611
42003461520000,Texas,Andrews,32.158034,-102.239172,2015,1541181,11207
42003453140000,Texas,Andrews,32.23349,-102.23922,2013,963396,11777
42003443120000,Texas,Andrews,32.25921385,-102.2393389,2014,669573,13927
42003458840000,Texas,Andrews,32.415294,-102.239492,2014,1171044,12000
42003439600000,Texas,Andrews,32.45627795,-102.2395615,2012,1376017,11338
42003453440000,Texas,Andrews,32.1781,-102.2397,2014,797765,10424
42003479740000,Texas,Andrews,32.109747,-102.239864,2019,226380,14000
42003473550000,Texas,Andrews,32.341754,-102.240142,2016,18974172,9531
42003473540000,Texas,Andrews,32.341722,-102.240282,2016,18846240,9539
42003451390000,Texas,Andrews,32.2047,-102.2404,2014,1739388,11462
42003453430000,Texas,Andrews,32.17979403,-102.240406,2015,556733.2291,900
42003473530000,Texas,Andrews,32.34169,-102.240423,2016,18737082,9543
42003467190000,Texas,Andrews,32.18546805,-102.2404869,2015,12737446.9,9169
42003366060000,Texas,Andrews,32.22861,-102.24065,2013,33747,4825
42003442630000,Texas,Andrews,32.277536,-102.240709,2012,1696632,0
42003442570000,Texas,Andrews,32.24285,-102.240894,2012,872649.6,11830
42003461030000,Texas,Andrews,32.163,-102.241,2014,804552,11400
42003449800000,Texas,Andrews,32.4624991,-102.2410475,2013,2413502,9970
42003446930000,Texas,Andrews,32.20606167,-102.2412275,2012,1308742,11675
42003451430000,Texas,Andrews,32.4627069,-102.2414832,2013,2879468,14480
42003453270000,Texas,Andrews,32.16952,-102.24177,2014,788693,11193
42003452000000,Texas,Andrews,32.16659167,-102.2420889,2013,779325,9558
42003462660000,Texas,Andrews,32.394835,-102.242093,2014,1475208,11345
42003449520000,Texas,Andrews,32.254444,-102.242267,2013,1865136,0
42003474620000,Texas,Andrews,32.158071,-102.242573,2017,16732968,9940
42003431330000,Texas,Andrews,32.187231,-102.242694,2013,137333.5,12053
42003417530000,Texas,Andrews,32.258438,-102.243194,2015,942060,11662
42003447030000,Texas,Andrews,32.21279,-102.24322,2013,1353767,11647
42003453130000,Texas,Andrews,32.23231333,-102.2438086,2013,944681,11715
42003451020000,Texas,Andrews,32.4142999,-102.2438495,2013,1440180,11200
42003430140000,Texas,Andrews,32.17494694,-102.2441111,2013,331506,11942
42003463040000,Texas,Andrews,32.402387,-102.244316,2014,1733854,11825
42003448680000,Texas,Andrews,32.444053,-102.245235,2013,1602932,12000
42003454710000,Texas,Andrews,32.1772479,-102.2452509,2014,1222386,11499
42003480690000,Texas,Andrews,32.098295,-102.245784,2019,1845564,13500
42003441190000,Texas,Andrews,32.246361,-102.246361,2012,960581,11779
42003480610000,Texas,Andrews,32.101433,-102.246784,2019,1997142,13500
42003442640000,Texas,Andrews,32.277819,-102.247436,2012,371476,12031
42003446960000,Texas,Andrews,32.207,-102.24746,2013,655801,10498
42003448670000,Texas,Andrews,32.440261,-102.24767,2013,1592651,12010
42003446760000,Texas,Andrews,32.42686,-102.2478,2012,553142,11352
42003460860000,Texas,Andrews,32.4584807,-102.2478511,2014,1940148,7209
42003480580000,Texas,Andrews,32.105037,-102.247933,2019,1698942,13500
42003430640000,Texas,Andrews,32.167725,-102.248114,2013,325170,11947
42003447040000,Texas,Andrews,32.21531,-102.24842,2013,1295544,11623
42003455480000,Texas,Andrews,32.4166724,-102.2487118,2013,18360,11492
42003473940000,Texas,Andrews,32.29416,-102.24895,2016,24431568,8875
42003441570000,Texas,Andrews,32.1706,-102.248956,2013,500745,11115
42003446520000,Texas,Andrews,32.303739,-102.2490338,2012,1413720,0
42003442520000,Texas,Andrews,32.24666389,-102.2490528,2014,837858,11441
42003455950000,Texas,Andrews,32.473189,-102.249275,2013,584766,11200
42003474660000,Texas,Andrews,32.289616,-102.249744,2017,27557970,9530
42003474670000,Texas,Andrews,32.289583,-102.249884,2017,26861548,8903
42003476560000,Texas,Andrews,32.098722,-102.250328,2018,1755810,11351
42003446620000,Texas,Andrews,32.49138285,-102.2503991,2013,1363975,12493
42003442650000,Texas,Andrews,32.267458,-102.250806,2012,1541778,12000
42003463510000,Texas,Andrews,32.354672,-102.250928,2015,21199416,9469
42003416390000,Texas,Andrews,32.184562,-102.250949,2015,173770,12315
42003474680000,Texas,Andrews,32.289238,-102.25135,2017,24084798,9545
42003448860000,Texas,Andrews,32.168389,-102.251425,2013,157141.3333,11173
42003475970000,Texas,Andrews,32.102224,-102.251444,2018,1939980,11359
42003463520000,Texas,Andrews,32.354759,-102.251453,2016,15794856,8985
42003474690000,Texas,Andrews,32.289204,-102.25149,2017,23445900,8902
42003447020000,Texas,Andrews,32.21275,-102.25163,2013,1124600,11454
42003453540000,Texas,Andrews,32.298983,-102.251953,2014,1727712,11773
42003462550000,Texas,Andrews,32.278572,-102.2521,2014,11371416,16916
42003456060000,Texas,Andrews,32.4267555,-102.2522511,2013,794430,11493
42003428590000,Texas,Andrews,32.40000064,-102.25234,2012,1222435,11355
42003475940000,Texas,Andrews,32.105828,-102.252592,2018,1826328,11239
42003472050000,Texas,Andrews,32.356004,-102.252611,2016,21582582,9527
42003451050000,Texas,Andrews,32.163822,-102.252697,2013,826336,11223
42003472040000,Texas,Andrews,32.355972,-102.252751,2016,21830508,9534
42003448660000,Texas,Andrews,32.442274,-102.253018,2013,1569372,10000
42003447580000,Texas,Andrews,32.45253,-102.25313,2012,8150,11363
42003448850000,Texas,Andrews,32.166508,-102.253367,2013,840885,11227
42003475770000,Texas,Andrews,32.108966,-102.253593,2017,1870764,11536
42003476570000,Texas,Andrews,32.096371,-102.253995,2018,1955730,11345
42003459520000,Texas,Andrews,32.298617,-102.254147,2014,11965086,18287
42003472950000,Texas,Andrews,32.352034,-102.254166,2016,19121088,9525
42003430610000,Texas,Andrews,32.169372,-102.254247,2013,344899,12000
42003472940000,Texas,Andrews,32.352002,-102.254307,2016,20473194,9508
42003472930000,Texas,Andrews,32.351969,-102.254447,2016,19254018,9528
42003476000000,Texas,Andrews,32.09951,-102.254995,2018,2244438,11350
42003430130000,Texas,Andrews,32.172531,-102.255264,2013,337881,11902
42003473430000,Texas,Andrews,32.3973492,-102.2554932,2016,17083500,9581
42003473420000,Texas,Andrews,32.397328,-102.2555874,2016,17679576,9561
42003434340000,Texas,Andrews,32.323993,-102.255762,2014,1174866,11554
42003454960000,Texas,Andrews,32.34544109,-102.2559394,2013,9836862,9499
42003429540000,Texas,Andrews,32.271391,-102.256142,2011,1295406,12000
42003475950000,Texas,Andrews,32.103115,-102.256144,2018,2051868,11390
42003464110000,Texas,Andrews,32.352801,-102.256622,2015,9939893,9563
42003464100000,Texas,Andrews,32.35278,-102.256716,2015,9782147,9554
42003458060000,Texas,Andrews,32.441385,-102.256905,2014,1276212,11971
42003469610000,Texas,Andrews,32.089664,-102.256956,2015,1005039,11900
42003475930000,Texas,Andrews,32.106617,-102.257261,2017,1915620,11516
42003473920000,Texas,Andrews,32.321766,-102.257495,2016,26777562,9528
42003441600000,Texas,Andrews,32.162414,-102.257703,2013,642752,11188
42003476420000,Texas,Andrews,32.2877,-102.25787,2018,23725791,9526
42003469650000,Texas,Andrews,32.092806,-102.257944,2016,2171568,11507
42003476430000,Texas,Andrews,32.28767,-102.25801,2018,24202118,8935
42003448290000,Texas,Andrews,32.43471,-102.25828,2012,701119,11374
42003453520000,Texas,Andrews,32.305094,-102.258319,2014,1017786,11876
42003461760000,Texas,Andrews,32.20993611,-102.2584583,2014,866914,11625
42003443640000,Texas,Andrews,32.501323,-102.258649,2012,1454886,12539
42003453770000,Texas,Andrews,32.293581,-102.259014,2014,1707510,11738
42003433220000,Texas,Andrews,32.30841,-102.259065,2012,1031688,12000
42003442010000,Texas,Andrews,32.166869,-102.259139,2012,596107,11250
42003450270000,Texas,Andrews,32.27283,-102.2593,2013,1434090,0
42003470800000,Texas,Andrews,32.396406,-102.259625,2015,18251268,9560
42003367040000,Texas,Andrews,32.21114,-102.25968,2013,34946,4750
42003433760000,Texas,Andrews,32.296756,-102.25969,2012,997038,12000
42003470790000,Texas,Andrews,32.396385,-102.259719,2015,18551022,19846
42003477240000,Texas,Andrews,32.189407,-102.259751,2018,22020200,9936
42003469640000,Texas,Andrews,32.087108,-102.259828,2016,1717254,11508
42003477230000,Texas,Andrews,32.189375,-102.25989,2019,22047511,9285
42003477220000,Texas,Andrews,32.189342,-102.260032,2019,22819460,8650
42003461770000,Texas,Andrews,32.21332,-102.26018,2014,941041,11640
42003446650000,Texas,Andrews,32.276364,-102.260248,2013,1577142,11862
42003453090000,Texas,Andrews,32.35151354,-102.2606662,2013,10073826,10918
42003469660000,Texas,Andrews,32.090611,-102.260931,2016,2167368,11522
42003460480000,Texas,Andrews,32.4544073,-102.2609383,2014,1268894,11000
42003452540000,Texas,Andrews,32.216061,-102.261156,2014,1634976,11772
42003466780000,Texas,Andrews,32.332614,-102.261192,2015,1335361.731,11780
42003448640000,Texas,Andrews,32.1600546,-102.2612357,2013,608252.2222,11130
42003440800000,Texas,Andrews,32.34214361,-102.2613807,2013,1392735,11986
42003477250000,Texas,Andrews,32.189601,-102.261435,2019,22675002,9647
42003477260000,Texas,Andrews,32.189568,-102.261576,2019,20668948,9208
42003475680000,Texas,Andrews,32.349986,-102.261718,2017,18899118,9605
42003475670000,Texas,Andrews,32.349971,-102.261781,2017,18873666,9579
42003366890000,Texas,Andrews,32.2391,-102.26198,2013,37654,4767
42003477180000,Texas,Andrews,32.185603,-102.262034,2019,21056784,9975
42003477170000,Texas,Andrews,32.185571,-102.262175,2019,19911024,9294
42003457490000,Texas,Andrews,32.352089,-102.262229,2014,13270362,10221
42003477160000,Texas,Andrews,32.185538,-102.262315,2019,19911024,8664
42003457500000,Texas,Andrews,32.352068,-102.262322,2014,13107528,10167
42003453530000,Texas,Andrews,32.304147,-102.262347,2014,2356032,11838
42003450340000,Texas,Andrews,32.26344,-102.2628,2013,1412292,0
