APINumber,State,County,Latitude,Longitude,Year,TotalBaseWaterVolume,TotalVerticalDepth
42003474640000,Texas,Andrews,32.104685,-101.952807,2017,15309577.08,9093
42003446540000,Texas,Andrews,32.283442,-102,2012,1418760,11916
42003446120000,Texas,Andrews,32.19211,-102.12831,2012,57876,4708
42003445400000,Texas,Andrews,32.32486,-102.19692,2012,573838,11200
42003449200000,Texas,Andrews,32.245633,-102.20475,2013,1622040,0
42003475720000,Texas,Andrews,32.223716,-102.209895,2019,15421248,9419
42003476020000,Texas,Andrews,32.446064,-102.210078,2017,26162018,9700
42003408860000,Texas,Andrews,32.223755,-102.210144,2019,5390793.028,9422
42003464080000,Texas,Andrews,32.281428,-102.210937,2014,1862298,12077
42003471680000,Texas,Andrews,32.407419,-102.210941,2015,14604709,8808
42003471670000,Texas,Andrews,32.407401,-102.211019,2015,13937622,9559
42003431320000,Texas,Andrews,32.18200827,-102.2113556,2014,357254,11999
42003451220000,Texas,Andrews,32.129855,-102.211626,2014,1436638,11175
42003463000000,Texas,Andrews,32.29988,-102.211681,2014,1692227,11893
42003381010000,Texas,Andrews,32.451526,-102.211994,2015,22594,0
42003461160000,Texas,Andrews,32.179143,-102.212137,2014,821100,11228
42003479550000,Texas,Andrews,32.445566,-102.212148,2019,18367692,8945
42003457120000,Texas,Andrews,32.41719,-102.21261,2014,2551842,11706
42003461250000,Texas,Andrews,32.133354,-102.212633,2015,1533135,11224
42003446560000,Texas,Andrews,32.10617,-102.21308,2013,1606428,11656
42003445520000,Texas,Andrews,32.3035138,-102.2131771,2013,1608978,11604
42003453200000,Texas,Andrews,32.23522,-102.21322,2014,1021570,11966
42003477070000,Texas,Andrews,32.134294,-102.213368,2019,9321858,9256
42003476940000,Texas,Andrews,32.45789255,-102.2134007,2018,29987748,9504
42003477050000,Texas,Andrews,32.13427,-102.2135,2019,31383450,9738
42003476970000,Texas,Andrews,32.45803947,-102.2136469,2018,16264374,9538
42003476950000,Texas,Andrews,32.45799697,-102.2138344,2018,30425766,9934
42003451230000,Texas,Andrews,32.124429,-102.214178,2013,1295198,11185
42003479560000,Texas,Andrews,32.445094,-102.214214,2019,18415278,8813
42003444820000,Texas,Andrews,32.2934311,-102.2143277,2012,1454418,9750
42003453190000,Texas,Andrews,32.23809,-102.21435,2014,903307,11973
42003450180000,Texas,Andrews,32.5210321,-102.2144422,2013,4909012,9965
42003452810000,Texas,Andrews,32.10448,-102.21471,2013,11216163,0
42003460300000,Texas,Andrews,32.140174,-102.214731,2015,1632982,11153
