State,County,Year,Precipitation_mm,Temperature_C
New Mexico,McKinley,2008,281.0495517,9.000043172
New Mexico,Mora,2005,545.8040822,9.005764375
New Mexico,Mora,2010,514.7378681,9.006475837
New Mexico,Catron,1998,440.9944605,9.008260684
New Mexico,Colfax,2006,481.5564465,9.009676355
New Mexico,McKinley,1991,316.6920272,9.020060263
New Mexico,McKinley,1983,356.0494528,9.041954031
New Mexico,Cibola,1983,410.849639,9.073167333
New Mexico,Los Alamos,1994,601.4109688,9.08631295
New Mexico,Mora,2014,449.7653653,9.086410288
New Mexico,Santa Fe,1992,397.799925,9.096269258
New Mexico,Cibola,1991,334.0723353,9.111829285
New Mexico,Mora,1994,645.7047161,9.116997142
New Mexico,Colfax,2000,417.4548758,9.118422652
New Mexico,Mora,1999,585.6958933,9.12329553
New Mexico,Los Alamos,1986,643.7480373,9.129187822
New Mexico,Sandoval,1987,331.7597287,9.129941624
New Mexico,Sandoval,1992,385.1390011,9.130485289
New Mexico,McKinley,1984,314.5418158,9.132755017
New Mexico,Los Alamos,1998,483.5284615,9.147875369
New Mexico,McKinley,1997,394.015643,9.150071239
New Mexico,Cibola,2013,313.8214703,9.152537914
New Mexico,Mora,1996,512.8686181,9.154161078
New Mexico,Santa Fe,1991,555.7034424,9.159197552
New Mexico,Cibola,1984,382.2799564,9.170909902
New Mexico,Sandoval,1991,456.767011,9.180519145
New Mexico,McKinley,1993,304.7703481,9.184443647
New Mexico,Catron,2013,438.2847122,9.197657102
New Mexico,Mora,2011,385.1721692,9.215344697
New Mexico,Colfax,2010,446.4649894,9.224761552
New Mexico,Cibola,1997,428.4652379,9.23399759
New Mexico,Catron,1986,523.684813,9.234473928
New Mexico,Colfax,2003,342.6265088,9.235563409
New Mexico,Cibola,2011,314.7149813,9.241317257
New Mexico,Colfax,2016,410.1209511,9.256700451
New Mexico,Cibola,1990,398.9763793,9.262107933
New Mexico,Mora,2006,542.5810818,9.265974218
New Mexico,Cibola,1988,349.5489797,9.270444555
New Mexico,McKinley,2013,287.2190626,9.270502274
New Mexico,McKinley,2004,241.8374014,9.276641474
New Mexico,Cibola,1985,380.6470704,9.278434676
New Mexico,Colfax,2015,605.9320166,9.283083756
New Mexico,Cibola,2008,307.6027995,9.287156014
New Mexico,McKinley,2011,279.1035101,9.297062733
New Mexico,Santa Fe,1987,380.2196843,9.319097227
New Mexico,Santa Fe,1988,480.4846188,9.320724445
New Mexico,Sandoval,1982,380.5748967,9.328497776
New Mexico,Colfax,1981,525.888641,9.332368973
New Mexico,Santa Fe,1997,526.0499175,9.333581076
New Mexico,McKinley,1998,335.0246766,9.334524243
New Mexico,Cibola,1993,353.3069461,9.33561996
New Mexico,Los Alamos,2004,451.3892097,9.345125377
New Mexico,Cibola,2004,288.7297364,9.356388011
New Mexico,Catron,1994,460.9642132,9.361243692
New Mexico,Los Alamos,1996,499.4952736,9.361375451
New Mexico,McKinley,2009,223.7482172,9.362039532
New Mexico,McKinley,1988,318.6365331,9.362987011
New Mexico,Catron,2010,404.2699612,9.363317775
New Mexico,Catron,2001,365.9240695,9.365039488
New Mexico,McKinley,1990,359.1029144,9.365242216
New Mexico,Mora,2015,686.4178127,9.371682415
New Mexico,Cibola,1998,369.9210117,9.374189972
New Mexico,McKinley,1985,342.7095081,9.377828294
New Mexico,Los Alamos,1999,539.7642117,9.386313021
New Mexico,Sandoval,1988,436.387785,9.405811477
New Mexico,Catron,2008,384.6694857,9.411746203
New Mexico,Cibola,2009,256.3513842,9.414174419
New Mexico,Catron,2011,387.8051284,9.414514957
New Mexico,Cibola,2019,317.5788463,9.417993376
New Mexico,Mora,2000,499.0675648,9.428125041
New Mexico,Santa Fe,1982,418.2818377,9.433276437
New Mexico,Mora,1981,507.4667119,9.434521752
New Mexico,Sandoval,1984,370.4443817,9.447838248
New Mexico,Colfax,2011,342.6190368,9.451731936
New Mexico,McKinley,2019,263.4904719,9.45615186
New Mexico,Catron,1989,281.54114,9.457045494
New Mexico,McKinley,1999,274.1347018,9.465839303
New Mexico,Sandoval,1993,341.2267686,9.468620775
New Mexico,Santa Fe,1993,413.6847015,9.472143819
New Mexico,Catron,2002,349.8357735,9.481279716
New Mexico,Catron,2019,404.9119474,9.481577024
New Mexico,Cibola,2010,347.7773913,9.490147545
New Mexico,Catron,1995,296.9432558,9.494176636
New Mexico,McKinley,2006,298.9951136,9.495808741
New Mexico,Catron,1999,390.9380145,9.498452902
New Mexico,Catron,1981,400.8872802,9.503234681
New Mexico,Mora,2003,360.1617489,9.50991194
New Mexico,Catron,2009,334.1983041,9.510398854
New Mexico,Sandoval,1990,455.5451424,9.517406882
New Mexico,Los Alamos,1989,398.3495808,9.520375431
New Mexico,McKinley,2010,335.3205567,9.523625616
New Mexico,Colfax,2018,374.8728643,9.524104151
New Mexico,McKinley,2002,245.5983413,9.531189708
New Mexico,Sandoval,1983,383.666264,9.532506667
New Mexico,Sandoval,1985,445.2725744,9.538422893
New Mexico,Mora,2016,477.5468529,9.551380793
New Mexico,Catron,2006,439.1495539,9.551457906
New Mexico,Cibola,2006,365.0760495,9.560598758
New Mexico,Santa Fe,1990,461.1244016,9.577595435
New Mexico,Santa Fe,1983,369.847139,9.627613376
New Mexico,Santa Fe,1984,455.9300604,9.631731649
New Mexico,Catron,2007,434.3754046,9.664723169
New Mexico,Los Alamos,2013,493.8093338,9.665312946
New Mexico,Sandoval,1997,478.8830033,9.667510254
New Mexico,McKinley,1995,255.7262129,9.668813648
New Mexico,Los Alamos,2009,463.9315834,9.669312984
New Mexico,Mora,2018,475.8907883,9.690702115
New Mexico,McKinley,2007,318.5562407,9.713055398
New Mexico,Cibola,1994,383.661333,9.713412043
New Mexico,Santa Fe,2013,365.5021506,9.720781835
New Mexico,Cibola,2007,346.3630745,9.738246576
New Mexico,Los Alamos,2008,461.7807732,9.745563
New Mexico,McKinley,1994,329.8877886,9.753343579
New Mexico,Santa Fe,2004,430.2594997,9.768702989
New Mexico,Catron,2005,385.8858519,9.77334383
New Mexico,Sandoval,2008,319.4500973,9.774041466
New Mexico,Santa Fe,1985,515.1305594,9.774172535
New Mexico,McKinley,2001,251.5124101,9.777725734
New Mexico,Cibola,1999,298.8303284,9.778907105
New Mexico,Cibola,2002,296.8951603,9.781471464
New Mexico,Los Alamos,2019,437.3905239,9.796250492
New Mexico,Los Alamos,1981,510.5750828,9.801312953
New Mexico,Cibola,1995,247.247945,9.810605848
New Mexico,Sandoval,2004,363.8496505,9.815670694
New Mexico,Santa Fe,2008,396.2897074,9.833100836
New Mexico,Torrance,1987,457.1993171,9.854230452
New Mexico,Cibola,1986,431.074944,9.854518134
New Mexico,Colfax,2017,621.266925,9.861728245
New Mexico,Los Alamos,2010,489.560215,9.873062968
New Mexico,Los Alamos,2011,382.836832,9.901500463
New Mexico,Sandoval,2013,348.8863617,9.907715251
New Mexico,Catron,2000,379.2794176,9.913250728
New Mexico,Cibola,2001,280.1762452,9.91864262
New Mexico,Santa Fe,1998,429.6666876,9.923903718
New Mexico,McKinley,1986,403.6228689,9.934672012
New Mexico,Santa Fe,1986,553.7888285,9.943545264
New Mexico,Catron,1996,412.6878567,9.960336806
New Mexico,McKinley,2005,275.404356,9.961052981
New Mexico,Los Alamos,2001,392.385397,9.979875416
New Mexico,Santa Fe,2019,393.9081559,9.98130153
New Mexico,San Juan,1982,314.1027125,9.994555609
New Mexico,Sandoval,1986,489.8534762,10.00366714
New Mexico,Catron,2003,302.4712834,10.02515963
New Mexico,Cibola,2015,396.6156833,10.04000754
New Mexico,Los Alamos,2002,316.5626411,10.04168802
New Mexico,Santa Fe,2009,332.3793562,10.04746285
New Mexico,Sandoval,2011,270.4207636,10.05306286
New Mexico,Cibola,1989,223.2400373,10.05588164
New Mexico,Santa Fe,2011,277.7186441,10.07066714
New Mexico,Mora,2012,323.3897664,10.07206602
New Mexico,Mora,2017,655.0992846,10.07499719
New Mexico,Catron,2015,466.5455894,10.0793208
New Mexico,Santa Fe,1994,517.7796849,10.07952017
New Mexico,Cibola,2005,312.3123599,10.08258181
New Mexico,Sandoval,1998,349.5698688,10.08355128
New Mexico,McKinley,2000,260.5745262,10.09396018
New Mexico,McKinley,1996,258.636091,10.09571841
New Mexico,Cibola,2014,258.0731731,10.09941492
New Mexico,Santa Fe,1999,360.8115654,10.11110444
New Mexico,Santa Fe,1989,304.3822473,10.1116815
New Mexico,Santa Fe,1995,302.914125,10.12814742
New Mexico,San Juan,1991,259.9259488,10.12998561
New Mexico,Torrance,1997,548.1029238,10.13185468
New Mexico,Sandoval,1994,445.5820883,10.13731601
