Year,Source Type,UseType,County,Estimated,Volume,RelatedtoCOG
2015,Groundwater,Irrigation,LUBBOCK,Yes,54744597255,No
2002,Groundwater,Irrigation,BAILEY,Yes,54727001301,No
2008,Groundwater,Irrigation,CROSBY,Yes,54721787685,No
2007,Groundwater,Irrigation,FLOYD,Yes,54155458647,No
2002,Groundwater,Irrigation,HOCKLEY,Yes,53721425115,No
2008,Groundwater,Irrigation,BAILEY,Yes,53546443128,No
2003,Groundwater,Irrigation,TERRY,Yes,52867695495,No
2007,Groundwater,Irrigation,BAILEY,Yes,52471786530,No
2012,Groundwater,Irrigation,HOCKLEY,Yes,52229353386,No
2014,Groundwater,Irrigation,PECOS,Yes,51973560352,No
2012,Groundwater,Irrigation,TERRY,Yes,51817151871,No
2008,Groundwater,Irrigation,TERRY,Yes,51758172840,No
2011,Groundwater,Irrigation,LUBBOCK,Yes,51730475505,No
2011,Groundwater,Irrigation,DAWSON,Yes,51628158291,No
2011,Groundwater,Irrigation,YOAKUM,Yes,51206507097,No
2001,Groundwater,Irrigation,CROSBY,Yes,51164472318,No
2013,Groundwater,Irrigation,LUBBOCK,Yes,50967658314,No
2007,Groundwater,Irrigation,YOAKUM,Yes,50759765376,No
2007,Groundwater,Irrigation,COCHRAN,Yes,50694921027,No
2003,Groundwater,Irrigation,HUDSPETH,Yes,50455746394,No
2004,Groundwater,Irrigation,HUDSPETH,Yes,50084276253,No
2003,Groundwater,Irrigation,BAILEY,Yes,49847708427,No
2007,Groundwater,Irrigation,CROSBY,Yes,49826528112,No
2015,Groundwater,Irrigation,PECOS,Yes,49488946477,No
2004,Groundwater,Irrigation,BAILEY,Yes,49393472133,No
2013,Groundwater,Irrigation,YOAKUM,Yes,49336448208,No
2014,Groundwater,Irrigation,TERRY,Yes,49268997051,No
2009,Groundwater,Irrigation,HOCKLEY,Yes,49014507420,No
2011,Groundwater,Irrigation,HOCKLEY,Yes,48847997559,No
2003,Groundwater,Irrigation,COCHRAN,Yes,48312624366,No
2016,Groundwater,Irrigation,PECOS,Yes,48191081943,No
2002,Groundwater,Irrigation,CROSBY,Yes,48161755353,No
2017,Groundwater,Irrigation,LAMB,Yes,47895535086,No
2003,Groundwater,Irrigation,CROSBY,Yes,47875658175,No
2000,Groundwater,Irrigation,DAWSON,Yes,47586954189,No
2002,Groundwater,Irrigation,YOAKUM,Yes,47004332601,No
2005,Groundwater,Irrigation,HUDSPETH,Yes,46542275882,No
2001,Groundwater,Irrigation,DAWSON,Yes,46106287245,No
2013,Groundwater,Irrigation,FLOYD,Yes,45864505802,No
2013,Groundwater,Irrigation,PECOS,Yes,45452304287,No
2018,Groundwater,Irrigation,LUBBOCK,Yes,45216714015,No
2013,Groundwater,Irrigation,HOCKLEY,Yes,45046293942,No
2005,Groundwater,Irrigation,TERRY,Yes,44933223645,No
2004,Groundwater,Irrigation,COCHRAN,Yes,44859581319,No
2004,Groundwater,Irrigation,CROSBY,Yes,44754657297,No
2017,Groundwater,Irrigation,PECOS,Yes,44750421235,No
2010,Groundwater,Irrigation,TERRY,Yes,44713600071,No
2016,Groundwater,Irrigation,HOCKLEY,Yes,44519718726,No
2016,Groundwater,Irrigation,LUBBOCK,Yes,44291948877,No
2008,Groundwater,Irrigation,DAWSON,Yes,44204620809,No
2002,Groundwater,Irrigation,DAWSON,Yes,43576380081,No
2011,Groundwater,Irrigation,CROSBY,Yes,43539233067,No
2003,Groundwater,Irrigation,YOAKUM,Yes,43139739741,No
2012,Groundwater,Irrigation,CROSBY,Yes,43083693368,No
2009,Groundwater,Irrigation,DAWSON,Yes,42384417123,No
2008,Groundwater,Irrigation,HOCKLEY,Yes,42276560442,No
2017,Groundwater,Irrigation,YOAKUM,Yes,42192490884,No
2018,Groundwater,Irrigation,HOCKLEY,Yes,41989811562,No
2005,Groundwater,Irrigation,YOAKUM,Yes,41626487697,No
2000,Groundwater,Irrigation,YOAKUM,Yes,41402302209,No
2014,Groundwater,Irrigation,YOAKUM,Yes,41263815534,No
2004,Groundwater,Irrigation,YOAKUM,Yes,41230904583,No
2006,Groundwater,Irrigation,DAWSON,Yes,41104148544,No
2006,Groundwater,Irrigation,FLOYD,Yes,41089159398,No
2009,Groundwater,Irrigation,CROSBY,Yes,41070911742,No
2003,Groundwater,Irrigation,DAWSON,Yes,40917761772,No
2011,Groundwater,Irrigation,PECOS,Yes,40760701590,No
2009,Groundwater,Irrigation,BAILEY,Yes,40281700620,No
2012,Groundwater,Irrigation,COCHRAN,Yes,40277790408,No
2006,Groundwater,Irrigation,YOAKUM,Yes,40208058294,No
2006,Groundwater,Irrigation,LUBBOCK,Yes,40158854793,No
2016,Groundwater,Irrigation,FLOYD,Yes,39976052382,No
2010,Groundwater,Irrigation,PECOS,Yes,39973771426,No
2018,Groundwater,Irrigation,FLOYD,Yes,39836588154,No
2002,Groundwater,Irrigation,COCHRAN,Yes,39593829159,No
2016,Groundwater,Irrigation,TERRY,Yes,39311642193,No
2000,Groundwater,Irrigation,COCHRAN,Yes,39097232235,No
2008,Groundwater,Irrigation,COCHRAN,Yes,38743358049,No
2016,Groundwater,Irrigation,YOAKUM,Yes,38683075614,No
2013,Groundwater,Irrigation,DAWSON,Yes,38641366686,No
2001,Groundwater,Irrigation,YOAKUM,Yes,38549802555,No
2012,Groundwater,Irrigation,FLOYD,Yes,38530251495,No
2017,Groundwater,Irrigation,TERRY,Yes,38426630877,No
2005,Groundwater,Irrigation,FLOYD,Yes,37881482154,No
2018,Groundwater,Irrigation,TERRY,Yes,37811424189,No
2004,Groundwater,Irrigation,TERRY,Yes,37566058386,No
2001,Groundwater,Irrigation,COCHRAN,Yes,37557912111,No
2014,Groundwater,Irrigation,FLOYD,Yes,37324928646,No
2012,Groundwater,Irrigation,HUDSPETH,Yes,37300489821,No
2015,Groundwater,Irrigation,HOCKLEY,Yes,37233038664,No
2018,Groundwater,Irrigation,YOAKUM,Yes,37171452825,No
2000,Groundwater,Irrigation,LYNN,Yes,36806173854,No
2013,Groundwater,Irrigation,CROSBY,Yes,36436007119,No
2000,Groundwater,Irrigation,CROSBY,Yes,36401792763,No
2008,Groundwater,Irrigation,LYNN,Yes,36348027348,No
2018,Groundwater,Irrigation,PECOS,Yes,36058997511,No
2012,Groundwater,Irrigation,PECOS,Yes,35924095197,No
2014,Groundwater,Irrigation,HOCKLEY,Yes,35818193622,No
2005,Groundwater,Irrigation,LUBBOCK,Yes,35741292786,No
2013,Groundwater,Irrigation,COCHRAN,Yes,35680684500,No
2011,Groundwater,Irrigation,BAILEY,Yes,35632132701,No
2006,Groundwater,Irrigation,HOCKLEY,Yes,35487454857,No
2001,Groundwater,Irrigation,LYNN,Yes,35291618406,No
2010,Groundwater,Irrigation,LUBBOCK,Yes,34549981530,No
2012,Groundwater,Irrigation,DAWSON,Yes,34461675909,No
2007,Groundwater,Irrigation,LYNN,Yes,34441798998,No
2014,Groundwater,Irrigation,LUBBOCK,Yes,34105520766,No
2017,Groundwater,Irrigation,LUBBOCK,Yes,34016563443,No
2012,Groundwater,Irrigation,BAILEY,Yes,33763703067,No
2011,Groundwater,Irrigation,HUDSPETH,Yes,33586114273,No
2010,Groundwater,Irrigation,FLOYD,Yes,33386041758,No
2005,Groundwater,Irrigation,DAWSON,Yes,33248858487,No
2004,Groundwater,Irrigation,DAWSON,Yes,33170328396,No
2016,Groundwater,Irrigation,CROSBY,Yes,33093753411,No
2012,Groundwater,Irrigation,LYNN,Yes,32794296342,No
2011,Groundwater,Irrigation,LYNN,Yes,32425758861,No
2011,Groundwater,Irrigation,COCHRAN,Yes,32423477904,No
