Year,Source Type,UseType,County,Estimated,Volume,RelatedtoCOG
2010,Groundwater,Mining,UVALDE,Yes,354851739,Yes
2014,Groundwater,Domestic,JONES,Yes,354200037,No
2005,Groundwater,Livestock,FLOYD,Yes,353548336,No
2014,Groundwater,Livestock,FLOYD,Yes,351267379,No
2013,Groundwater,Domestic,GAINES,Yes,350615676,No
2014,Groundwater,Mining,REEVES,Yes,347031315,Yes
2005,Surface,Irrigation,DAWSON,Yes,347031315,No
2007,Groundwater,Irrigation,MENARD,Yes,345402060,No
2011,Surface,Irrigation,IRION,Yes,345402060,No
2012,Groundwater,Domestic,GAINES,Yes,344424507,No
2004,Groundwater,Irrigation,ECTOR,Yes,343446954,No
2009,Groundwater,Mining,UVALDE,Yes,342469401,Yes
2008,Surface,Mining,UVALDE,Yes,342469401,Yes
2010,Groundwater,Irrigation,ECTOR,Yes,342143550,No
2013,Groundwater,Irrigation,STERLING,Yes,342143550,No
2016,Groundwater,Mining,CROCKETT,Yes,340840146,Yes
2007,Surface Water,Irrigation,MENARD,Yes,340840146,No
2006,Groundwater,Irrigation,JONES,Yes,336278232,No
2003,Groundwater,Irrigation,ECTOR,Yes,335300679,No
2009,Groundwater,Irrigation,STERLING,Yes,334323127,No
2015,Reuse,Irrigation,DAWSON,Yes,334323126,No
2012,Groundwater,Irrigation,SUTTON,Yes,333019722,No
2013,Reuse,Irrigation,HOCKLEY,Yes,333019722,No
2018,Groundwater,Domestic,MIDLAND,Yes,332693871,No
2009,Groundwater,Mining,UPTON,Yes,332368020,Yes
2010,Groundwater,Domestic,GAINES,Yes,332042169,No
2008,Surface Water,Irrigation,MENARD,Yes,332042169,No
2015,Groundwater,Irrigation,SUTTON,Yes,331064616,No
2008,Groundwater,Mining,UVALDE,Yes,330087063,Yes
2013,Groundwater,Mining,ECTOR,Yes,329761212,Yes
2004,Surface,Irrigation,DAWSON,Yes,328457808,No
2006,Groundwater,Irrigation,SCHLEICHER,Yes,327480255,No
2012,Groundwater,Irrigation,MENARD,Yes,326828554,No
2005,Groundwater,Irrigation,JONES,Yes,326828553,No
2017,Groundwater,Mining,PECOS,Yes,326828553,Yes
2007,Surface,Irrigation,ECTOR,Yes,325851000,No
2012,Surface,Irrigation,VAL VERDE,Yes,325851000,No
2016,Groundwater,Domestic,GAINES,Yes,325199298,No
2017,Groundwater,Domestic,GAINES,Yes,324873446,No
2004,Surface,Irrigation,SCURRY,Yes,324221745,No
2013,Reuse,Irrigation,DAWSON,Yes,324221745,No
2018,Groundwater,Domestic,GAINES,Yes,322592490,No
2016,Reuse,Mining,PECOS,Yes,321940788,Yes
2000,Groundwater,Irrigation,IRION,Yes,321614937,No
2010,Groundwater,Livestock,FLOYD,Yes,320311533,No
2010,Groundwater,Mining,LUBBOCK,Yes,319985682,Yes
2001,Groundwater,Livestock,PECOS,Yes,319985681,No
2002,Groundwater,Irrigation,COKE,Yes,319333980,No
2006,Surface Water,Irrigation,MENARD,Yes,319008129,No
2013,Reuse,Mining,CROCKETT,Yes,318682278,Yes
2011,Groundwater,Irrigation,STERLING,Yes,318356427,No
2015,Reuse,Mining,HOWARD,Yes,317704725,Yes
2018,Groundwater,Irrigation,BREWSTER,Yes,317704725,No
2016,Groundwater,Domestic,JONES,Yes,317053023,No
2014,Groundwater,Mining,ECTOR,Yes,316727172,Yes
2012,Surface Water,Irrigation,MENARD,Yes,316727172,No
2007,Groundwater,Livestock,FLOYD,Yes,316401320,No
2010,Surface,Mining,LUBBOCK,Yes,316075470,Yes
2006,Groundwater,Irrigation,WARD,Yes,315749618,No
2013,Reuse,Mining,MARTIN,Yes,314446215,Yes
2003,Groundwater,Irrigation,SCHLEICHER,Yes,314120364,No
2007,Groundwater,Irrigation,KENT,Yes,312816961,No
2011,Groundwater,Mining,MARTIN,Yes,312165258,Yes
2013,Groundwater,Irrigation,KENT,Yes,310536003,No
2017,Reuse,Irrigation,DAWSON,Yes,310536003,No
2016,Groundwater,Mining,CROSBY,Yes,308906748,Yes
2003,Surface,Irrigation,JONES,Yes,307929195,No
2014,Groundwater,Domestic,GAINES,Yes,307603345,No
2017,Groundwater,Domestic,JONES,Yes,307603344,No
2017,Groundwater,Mining,CULBERSON,Yes,306951642,Yes
2008,Surface,Irrigation,SCURRY,Yes,306625791,No
2011,Groundwater,Irrigation,BREWSTER,Yes,306299939,No
2006,Groundwater,Irrigation,COKE,Yes,305322387,No
2004,Surface,Livestock,JONES,Yes,304344834,No
2000,Groundwater,Livestock,PECOS,Yes,303693131,No
2014,Groundwater,Irrigation,STERLING,Yes,303367280,No
2015,Surface,Irrigation,SCURRY,Yes,302063877,No
2010,Groundwater,Irrigation,JONES,Yes,301738026,No
2012,Groundwater,Irrigation,WARD,Yes,301412174,No
2015,Groundwater,Irrigation,STERLING,Yes,301086324,No
2005,Groundwater,Livestock,LUBBOCK,Yes,300434622,No
2012,Surface,Irrigation,IRION,Yes,299131218,No
2015,Groundwater,Domestic,JONES,Yes,298805366,No
2016,Groundwater,Irrigation,BREWSTER,Yes,298153666,No
2011,Groundwater,Irrigation,KENT,Yes,297827814,No
2018,Surface Water,Irrigation,IRION,Yes,296198559,No
2007,Groundwater,Livestock,TOM GREEN,Yes,293917603,No
2011,Groundwater,Irrigation,COKE,Yes,293917602,No
2010,Groundwater,Irrigation,WARD,Yes,292614198,No
2009,Groundwater,Irrigation,KINNEY,Yes,291636645,No
2014,Reuse,Irrigation,HOCKLEY,Yes,291310794,No
2010,Groundwater,Irrigation,KENT,Yes,289355688,No
2006,Groundwater,Livestock,PECOS,Yes,288703986,No
2011,Groundwater,Domestic,HOWARD,Yes,287726433,No
2001,Surface,Irrigation,IRION,Yes,287400582,No
2002,Surface,Irrigation,IRION,Yes,287400582,No
2015,Groundwater,Mining,LOVING,Yes,287074731,Yes
2016,Groundwater,Mining,WARD,Yes,286423029,Yes
2013,Reuse,Mining,MIDLAND,Yes,286423029,Yes
2018,Groundwater,Domestic,JONES,Yes,285771327,No
2009,Groundwater,Domestic,GAINES,Yes,284142071,No
2010,Groundwater,Irrigation,COKE,Yes,283816221,No
2014,Groundwater,Irrigation,KENT,Yes,283816221,No
2013,Groundwater,Domestic,HOWARD,Yes,283490370,No
2018,Groundwater,Irrigation,STERLING,Yes,283490370,No
2015,Groundwater,Domestic,GAINES,Yes,282838668,No
2002,Groundwater,Livestock,PECOS,Yes,282512817,No
2012,Reuse,Mining,GLASSCOCK,Yes,282186966,Yes
2006,Groundwater,Livestock,REEVES,Yes,280883562,No
2017,Reuse,Mining,UPTON,Yes,280557711,Yes
2006,Surface,Irrigation,DAWSON,Yes,278602605,No
2010,Groundwater,Irrigation,MENARD,Yes,277950904,No
2012,Groundwater,Domestic,HOWARD,Yes,277950902,No
2018,Groundwater,Irrigation,KENT,Yes,277299201,No
2018,Groundwater,Livestock,FLOYD,Yes,276973350,No
2012,Groundwater,Irrigation,STERLING,Yes,276647500,No
2012,Groundwater,Mining,MARTIN,Yes,276321648,Yes
2013,Groundwater,Mining,HOWARD,Yes,275018244,Yes
2018,Surface Water,Irrigation,JONES,Yes,273063138,No
2015,Reuse,Irrigation,HOCKLEY,Yes,272411436,No
2018,Groundwater,Livestock,TOM GREEN,Yes,271433883,No
2013,Groundwater,Irrigation,SUTTON,Yes,270456330,No
2002,Surface,Livestock,JONES,Yes,270456330,No
2015,Surface,Irrigation,TERRY,Yes,269804628,No
2003,Surface,Irrigation,TERRY,Yes,269478777,No
2007,Groundwater,Livestock,LUBBOCK,Yes,268827075,No
2016,Groundwater,Domestic,MIDLAND,Yes,268501224,No
2011,Groundwater,Livestock,LUBBOCK,Yes,267523671,No
2017,Groundwater,Livestock,FLOYD,Yes,266546118,No
2012,Groundwater,Mining,IRION,Yes,265894416,Yes
2006,Surface,Irrigation,CROSBY,Yes,265242714,No
2003,Surface,Livestock,JONES,Yes,264916863,No
2009,Groundwater,Irrigation,MENARD,Yes,264591012,No
2010,Groundwater,Mining,UPTON,Yes,264265161,Yes
2009,Surface,Irrigation,CROSBY,Yes,263939310,No
2001,Surface,Livestock,JONES,Yes,263613459,No
2017,Groundwater,Livestock,TOM GREEN,Yes,262961756,No
2009,Groundwater,Mining,KING,Yes,261984204,Yes
2000,Groundwater,Irrigation,COKE,Yes,261658353,No
2005,Surface,Irrigation,CROSBY,Yes,261658353,No
2002,Groundwater,Livestock,LUBBOCK,Yes,261006651,No
2001,Groundwater,Irrigation,COKE,Yes,260354949,No
2014,Reuse,Mining,CULBERSON,Yes,260029098,Yes
2000,Groundwater,Livestock,REEVES,Yes,259377396,No
2015,Groundwater,Domestic,MIDLAND,Yes,259051545,No
2012,Surface,Irrigation,CROSBY,Yes,259051545,No
2018,Surface Water,Irrigation,CROSBY,Yes,259051545,No
2012,Groundwater,Livestock,LUBBOCK,Yes,258725694,No
2005,Groundwater,Livestock,PECOS,Yes,258073991,No
2004,Surface,Irrigation,TERRY,Yes,257748141,No
2008,Surface,Irrigation,CROSBY,Yes,257422290,No
2016,Reuse,Irrigation,HOCKLEY,Yes,257422290,No
2005,Groundwater,Livestock,UVALDE,Yes,257422289,No
2006,Groundwater,Domestic,GAINES,Yes,256118886,No
2013,Surface,Irrigation,CROSBY,Yes,256118886,No
2018,Groundwater,Mining,ECTOR,Yes,255467184,Yes
2009,Surface Water,Irrigation,MENARD,Yes,255467184,No
2007,Groundwater,Livestock,UVALDE,Yes,255467183,No
2018,Groundwater,Livestock,LUBBOCK,Yes,255141333,No
2001,Groundwater,Irrigation,IRION,Yes,254815482,No
2002,Groundwater,Irrigation,IRION,Yes,254815482,No
2006,Groundwater,Domestic,VAL VERDE,Yes,254489631,No
2010,Groundwater,Domestic,HOWARD,Yes,254163781,No
2009,Groundwater,Mining,HOCKLEY,Yes,254163780,Yes
2001,Groundwater,Livestock,LUBBOCK,Yes,253186227,No
2014,Surface,Irrigation,CROSBY,Yes,252208674,No
2008,Groundwater,Livestock,PECOS,Yes,252208673,No
2012,Groundwater,Mining,ECTOR,Yes,251556972,Yes
2009,Groundwater,Irrigation,KIMBLE,Yes,251231121,No
2006,Groundwater,Livestock,UVALDE,Yes,250905270,No
2011,Reuse,Mining,REEVES,Yes,250905270,Yes
2008,Groundwater,Mining,YOAKUM,Yes,248950164,Yes
2016,Surface,Irrigation,IRION,Yes,248950164,No
2005,Groundwater,Irrigation,BREWSTER,Yes,248624314,No
2005,Surface,Irrigation,TERRY,Yes,248624313,No
2005,Groundwater,Irrigation,SCHLEICHER,Yes,248298462,No
2005,Groundwater,Irrigation,COKE,Yes,246995058,No
2009,Groundwater,Domestic,JONES,Yes,246995058,No
2015,Reuse,Mining,IRION,Yes,246995058,Yes
2017,Groundwater,Livestock,LUBBOCK,Yes,246669207,No
2017,Groundwater,Irrigation,KENT,Yes,246343356,No
2015,Reuse,Mining,PECOS,Yes,246343356,Yes
2004,Groundwater,Irrigation,COKE,Yes,246017505,No
2004,Surface,Irrigation,TERRELL,Yes,245691654,No
2012,Groundwater,Mining,MIDLAND,Yes,244714101,Yes
2004,Groundwater,Livestock,PECOS,Yes,243084846,No
2016,Groundwater,Irrigation,KENT,Yes,242758996,No
2010,Surface,Irrigation,TERRELL,Yes,242758995,No
2003,Groundwater,Livestock,PECOS,Yes,242107293,No
2008,Surface,Mining,GAINES,Yes,241781442,Yes
2013,Surface,Irrigation,TERRY,Yes,241455591,No
2017,Reuse,Mining,IRION,Yes,241455591,Yes
2008,Groundwater,Irrigation,STERLING,Yes,240478038,No
2008,Groundwater,Mining,MIDLAND,Yes,240478038,Yes
2017,Groundwater,Mining,BORDEN,Yes,240478038,Yes
2005,Groundwater,Domestic,VAL VERDE,Yes,240152187,No
2004,Groundwater,Irrigation,SCHLEICHER,Yes,239174634,No
2008,Groundwater,Domestic,GAINES,Yes,239174634,No
2006,Surface,Irrigation,TERRY,Yes,238848783,No
2005,Groundwater,Domestic,GAINES,Yes,238522932,No
2014,Groundwater,Irrigation,JEFF DAVIS,Yes,238522932,No
2016,Surface,Irrigation,TERRY,Yes,237871230,No
2006,Groundwater,Domestic,HOCKLEY,Yes,236567826,No
2008,Groundwater,Mining,ANDREWS,Yes,236567826,Yes
2008,Groundwater,Domestic,VAL VERDE,Yes,236241975,No
2001,Groundwater,Livestock,REEVES,Yes,235590274,No
2015,Groundwater,Irrigation,MIDLAND,Yes,234612720,No
2016,Groundwater,Irrigation,STERLING,Yes,234612720,No
2018,Groundwater,Mining,CROCKETT,Yes,234612720,Yes
2010,Surface Water,Irrigation,CONCHO,Yes,233961018,No
2002,Groundwater,Irrigation,STERLING,Yes,233635168,No
2009,Groundwater,Mining,LUBBOCK,Yes,233635167,Yes
2010,Groundwater,Livestock,LUBBOCK,Yes,233309316,No
2003,Surface,Irrigation,TERRELL,Yes,233309316,No
2009,Groundwater,Livestock,PECOS,Yes,232657615,No
2002,Groundwater,Livestock,REEVES,Yes,232331762,No
2003,Surface,Irrigation,CROSBY,Yes,231028359,No
2014,Reuse,Mining,HOWARD,Yes,231028359,Yes
2000,Surface,Livestock,JONES,Yes,230702508,No
2008,Groundwater,Livestock,LUBBOCK,Yes,230702508,No
2009,Surface,Mining,LUBBOCK,Yes,230702508,Yes
2002,Groundwater,Irrigation,WARD,Yes,230376656,No
2003,Groundwater,Domestic,VAL VERDE,Yes,229399104,No
2006,Surface,Livestock,JONES,Yes,229399104,No
2010,Groundwater,Livestock,PECOS,Yes,229073253,No
2011,Groundwater,Domestic,UVALDE,Yes,228095701,No
2006,Groundwater,Irrigation,IRION,Yes,228095700,No
2003,Groundwater,Domestic,GAINES,Yes,227769849,No
2017,Groundwater,Irrigation,STERLING,Yes,227443998,No
2009,Surface,Irrigation,UVALDE,Yes,227443998,No
2002,Groundwater,Domestic,VAL VERDE,Yes,227118147,No
2017,Groundwater,Irrigation,BREWSTER,Yes,226466445,No
2011,Groundwater,Livestock,PECOS,Yes,226140595,No
2011,Surface,Irrigation,CROSBY,Yes,226140594,No
2005,Groundwater,Livestock,REEVES,Yes,225814744,No
2005,Groundwater,Domestic,HOCKLEY,Yes,225488892,No
2012,Surface,Irrigation,SCURRY,Yes,225488892,No
2000,Groundwater,Domestic,GAINES,Yes,224837190,No
2002,Groundwater,Domestic,GAINES,Yes,224837190,No
2001,Groundwater,Domestic,VAL VERDE,Yes,224511339,No
2009,Groundwater,Mining,ANDREWS,Yes,224511339,Yes
2009,Groundwater,Mining,MIDLAND,Yes,224511339,Yes
2004,Groundwater,Domestic,VAL VERDE,Yes,224185488,No
2010,Groundwater,Irrigation,STERLING,Yes,224185488,No
2007,Groundwater,Livestock,PECOS,Yes,224185487,No
2014,Surface,Irrigation,IRION,Yes,223533786,No
2014,Reuse,Mining,ANDREWS,Yes,223533786,Yes
2008,Groundwater,Irrigation,COKE,Yes,223207935,No
2018,Surface Water,Irrigation,TERRY,Yes,223207935,No
2008,Groundwater,Livestock,UVALDE,Yes,223207934,No
2001,Groundwater,Domestic,GAINES,Yes,222882084,No
2018,Surface Water,Irrigation,BREWSTER,Yes,222882084,No
2009,Groundwater,Livestock,LUBBOCK,Yes,222556233,No
2010,Groundwater,Domestic,HOCKLEY,Yes,222556233,No
2001,Groundwater,Irrigation,STERLING,Yes,221904530,No
2003,Groundwater,Livestock,LUBBOCK,Yes,221578680,No
2000,Groundwater,Domestic,VAL VERDE,Yes,221252829,No
2000,Groundwater,Domestic,HOCKLEY,Yes,220601127,No
2009,Groundwater,Irrigation,SUTTON,Yes,220601127,No
2009,Groundwater,Domestic,HOWARD,Yes,219623575,No
2003,Groundwater,Domestic,HOCKLEY,Yes,219623574,No
2014,Groundwater,Domestic,HOWARD,Yes,219297723,No
2000,Groundwater,Livestock,BREWSTER,Yes,218971872,No
2002,Groundwater,Domestic,HOCKLEY,Yes,218971872,No
2009,Groundwater,Domestic,HOCKLEY,Yes,218971872,No
2004,Groundwater,Domestic,GAINES,Yes,218320170,No
2004,Surface,Irrigation,JONES,Yes,218320170,No
2001,Groundwater,Domestic,HOCKLEY,Yes,217668468,No
2015,Groundwater,Irrigation,JEFF DAVIS,Yes,217342617,No
2008,Groundwater,Domestic,HOCKLEY,Yes,217016766,No
2018,Reuse,Mining,BORDEN,Yes,217016766,Yes
2008,Groundwater,Irrigation,IRION,Yes,215713362,No
2013,Groundwater,Irrigation,JEFF DAVIS,Yes,215713362,No
2016,Surface,Irrigation,BREWSTER,Yes,214735809,No
2004,Surface,Irrigation,CROSBY,Yes,214084107,No
2004,Surface,Livestock,LAMB,Yes,214084107,No
2010,Groundwater,Mining,ANDREWS,Yes,212780703,Yes
2007,Groundwater,Domestic,GAINES,Yes,212454852,No
2017,Groundwater,Irrigation,MENARD,Yes,212454852,No
2004,Groundwater,Domestic,HOCKLEY,Yes,212129001,No
2007,Groundwater,Domestic,VAL VERDE,Yes,212129001,No
2012,Reuse,Irrigation,DAWSON,Yes,211803150,No
2003,Surface,Livestock,LAMB,Yes,211477299,No
2011,Groundwater,Domestic,HOCKLEY,Yes,211151448,No
2011,Reuse,Mining,REAGAN,Yes,211151448,Yes
2006,Groundwater,Livestock,CROCKETT,Yes,210825597,No
2011,Groundwater,Domestic,PECOS,Yes,210173895,No
2014,Groundwater,Livestock,PECOS,Yes,209522194,No
2000,Groundwater,Livestock,UVALDE,Yes,209196343,No
2000,Surface,Livestock,UVALDE,Yes,209196342,No
2017,Surface,Irrigation,TERRY,Yes,208870491,No
2010,Groundwater,Mining,MIDLAND,Yes,208544640,Yes
2001,Groundwater,Livestock,GAINES,Yes,208218789,No
2007,Surface,Irrigation,JONES,Yes,208218789,No
2000,Groundwater,Irrigation,STERLING,Yes,207567087,No
2007,Groundwater,Livestock,CROCKETT,Yes,207567087,No
2014,Groundwater,Livestock,UVALDE,Yes,207567087,No
2015,Groundwater,Domestic,HOWARD,Yes,207567087,No
2011,Groundwater,Mining,IRION,Yes,206915385,Yes
2009,Groundwater,Livestock,REEVES,Yes,206263682,No
2017,Reuse,Mining,WINKLER,Yes,205937832,Yes
2011,Groundwater,Livestock,UVALDE,Yes,205611980,No
2000,Groundwater,Livestock,GAINES,Yes,204960279,No
2016,Surface,Irrigation,CROSBY,Yes,204960279,No
2013,Reuse,Mining,UPTON,Yes,204308577,Yes
2006,Groundwater,Domestic,HOWARD,Yes,203656875,No
2007,Surface,Livestock,JONES,Yes,203656875,No
2015,Surface,Irrigation,ECTOR,Yes,203656875,No
2004,Groundwater,Livestock,FLOYD,Yes,203331024,No
2010,Groundwater,Domestic,UVALDE,Yes,202679323,No
2006,Groundwater,Livestock,COCHRAN,Yes,202679322,No
2016,Groundwater,Irrigation,JEFF DAVIS,Yes,202027620,No
2016,Groundwater,Domestic,HOWARD,Yes,202027620,No
2012,Groundwater,Livestock,PECOS,Yes,201701768,No
2001,Groundwater,Livestock,VAL VERDE,Yes,201375918,No
2008,Groundwater,Livestock,CROCKETT,Yes,201375918,No
2015,Groundwater,Irrigation,KENT,Yes,201375918,No
2002,Groundwater,Livestock,FLOYD,Yes,201050067,No
2002,Groundwater,Livestock,GAINES,Yes,201050067,No
2000,Groundwater,Livestock,VAL VERDE,Yes,200072514,No
2000,Groundwater,Livestock,CROCKETT,Yes,200072513,No
2003,Groundwater,Irrigation,STERLING,Yes,199746664,No
2005,Groundwater,Livestock,CROCKETT,Yes,199746663,No
2014,Reuse,Irrigation,NOLAN,Yes,199420812,No
2009,Groundwater,Livestock,CROCKETT,Yes,199094961,No
2003,Surface,Livestock,HALE,Yes,199094961,No
2010,Groundwater,Livestock,UVALDE,Yes,198769110,No
2005,Surface Water,Irrigation,CONCHO,Yes,198769110,No
2000,Groundwater,Livestock,LUBBOCK,Yes,198443259,No
2007,Groundwater,Irrigation,COKE,Yes,198443259,No
2001,Groundwater,Livestock,BREWSTER,Yes,198117408,No
2018,Groundwater,Irrigation,JEFF DAVIS,Yes,198117408,No
2013,Surface,Irrigation,IRION,Yes,197791557,No
2015,Reuse,Mining,CROCKETT,Yes,197791557,Yes
2004,Groundwater,Livestock,LUBBOCK,Yes,197139855,No
2012,Groundwater,Domestic,ANDREWS,Yes,196488153,No
2016,Groundwater,Livestock,LUBBOCK,Yes,196488153,No
2012,Reuse,Mining,LOVING,Yes,196162302,Yes
2013,Groundwater,Livestock,PECOS,Yes,195836451,No
2004,Groundwater,Livestock,REEVES,Yes,195836450,No
2006,Groundwater,Irrigation,STERLING,Yes,195510600,No
2011,Surface,Irrigation,BREWSTER,Yes,195510600,No
2018,Surface Water,Irrigation,DAWSON,Yes,195510600,No
2006,Groundwater,Domestic,UVALDE,Yes,195184749,No
2012,Groundwater,Domestic,PECOS,Yes,195184749,No
2016,Groundwater,Livestock,PECOS,Yes,195184749,No
2007,Groundwater,Domestic,HOCKLEY,Yes,194858898,No
2014,Reuse,Mining,UPTON,Yes,194207196,Yes
2015,Groundwater,Livestock,PECOS,Yes,193881345,No
2005,Groundwater,Domestic,HOWARD,Yes,193555494,No
2016,Groundwater,Domestic,ANDREWS,Yes,193555494,No
2013,Groundwater,Domestic,ANDREWS,Yes,193229643,No
2005,Surface,Livestock,JONES,Yes,193229643,No
2001,Groundwater,Livestock,UVALDE,Yes,192903793,No
2011,Groundwater,Domestic,ANDREWS,Yes,192903792,No
2001,Surface,Livestock,UVALDE,Yes,192903792,No
2001,Groundwater,Domestic,HOWARD,Yes,192577941,No
2002,Groundwater,Domestic,HOWARD,Yes,192577941,No
2016,Reuse,Mining,ANDREWS,Yes,192577941,Yes
2015,Groundwater,Livestock,LUBBOCK,Yes,192252090,No
2000,Surface,Irrigation,KIMBLE,Yes,191926239,No
2013,Groundwater,Domestic,HOCKLEY,Yes,191600388,No
2014,Groundwater,Domestic,ANDREWS,Yes,191600388,No
2005,Groundwater,Domestic,UVALDE,Yes,191274537,No
2001,Surface,Irrigation,KIMBLE,Yes,191274537,No
2002,Surface,Irrigation,KIMBLE,Yes,191274537,No
2000,Groundwater,Domestic,HOWARD,Yes,190948686,No
2003,Groundwater,Domestic,HOWARD,Yes,190948686,No
2016,Groundwater,Livestock,UVALDE,Yes,190948686,No
2009,Groundwater,Domestic,UVALDE,Yes,190296984,No
2011,Groundwater,Domestic,HALE,Yes,190296984,No
2015,Groundwater,Irrigation,BREWSTER,Yes,189971134,No
2000,Groundwater,Livestock,HUDSPETH,Yes,189971133,No
2014,Groundwater,Irrigation,COKE,Yes,188993580,No
2015,Groundwater,Domestic,ANDREWS,Yes,188993580,No
2002,Groundwater,Livestock,UVALDE,Yes,188667729,No
2009,Groundwater,Livestock,UVALDE,Yes,188667729,No
2002,Surface,Livestock,UVALDE,Yes,188667729,No
2001,Groundwater,Livestock,CROCKETT,Yes,188016026,No
2012,Groundwater,Domestic,HOCKLEY,Yes,187690176,No
2015,Groundwater,Livestock,UVALDE,Yes,187364326,No
2008,Groundwater,Domestic,HOWARD,Yes,187038474,No
2003,Groundwater,Livestock,FLOYD,Yes,186712623,No
2010,Groundwater,Mining,REAGAN,Yes,186712623,Yes
2010,Groundwater,Domestic,PECOS,Yes,186386772,No
2013,Groundwater,Livestock,UVALDE,Yes,186386772,No
2017,Groundwater,Irrigation,COKE,Yes,186386772,No
2014,Surface,Irrigation,UVALDE,Yes,186386772,No
2017,Surface,Irrigation,CROSBY,Yes,186386772,No
2012,Groundwater,Domestic,UVALDE,Yes,185409219,No
2013,Groundwater,Domestic,PECOS,Yes,185409219,No
2014,Groundwater,Livestock,LUBBOCK,Yes,185409219,No
2013,Groundwater,Irrigation,COKE,Yes,184757517,No
2010,Groundwater,Livestock,CROCKETT,Yes,183128263,No
2006,Groundwater,Domestic,HALE,Yes,183128262,No
2011,Groundwater,Mining,GLASSCOCK,Yes,183128262,Yes
2013,Groundwater,Livestock,LUBBOCK,Yes,182802411,No
2015,Surface,Irrigation,DAWSON,Yes,182802411,No
2001,Groundwater,Domestic,UVALDE,Yes,182476561,No
2003,Groundwater,Domestic,UVALDE,Yes,181824858,No
2013,Surface,Irrigation,ECTOR,Yes,181824858,No
2016,Surface,Irrigation,ECTOR,Yes,181824858,No
2017,Surface,Irrigation,ECTOR,Yes,181824858,No
2003,Groundwater,Livestock,UVALDE,Yes,181499007,No
2003,Surface,Livestock,UVALDE,Yes,181499007,No
2000,Groundwater,Domestic,UVALDE,Yes,180847305,No
2001,Groundwater,Livestock,HUDSPETH,Yes,180847305,No
2004,Groundwater,Domestic,HOWARD,Yes,180847305,No
2013,Groundwater,Mining,WARD,Yes,180847305,Yes
2017,Groundwater,Domestic,MIDLAND,Yes,180847305,No
2015,Surface,Irrigation,IRION,Yes,180521454,No
2010,Groundwater,Domestic,SCURRY,Yes,180195603,No
2018,Groundwater,Irrigation,COKE,Yes,180195603,No
2011,Groundwater,Livestock,CROCKETT,Yes,180195602,No
2008,Groundwater,Domestic,UVALDE,Yes,179543902,No
2012,Groundwater,Livestock,UVALDE,Yes,179543901,No
2002,Groundwater,Domestic,UVALDE,Yes,179543900,No
2002,Groundwater,Livestock,VAL VERDE,Yes,179218050,No
2000,Surface,Irrigation,HOCKLEY,Yes,179218050,No
2013,Surface,Irrigation,TERRELL,Yes,179218050,No
2015,Surface,Irrigation,TERRELL,Yes,179218050,No
2016,Groundwater,Mining,WINKLER,Yes,178892199,Yes
2012,Surface,Irrigation,ECTOR,Yes,178892199,No
2017,Groundwater,Irrigation,JEFF DAVIS,Yes,178892198,No
2006,Groundwater,Domestic,SCURRY,Yes,178566348,No
2011,Groundwater,Mining,UPTON,Yes,178240497,Yes
2004,Groundwater,Domestic,UVALDE,Yes,177914646,No
2011,Groundwater,Domestic,DAWSON,Yes,177914646,No
2018,Groundwater,Livestock,PECOS,Yes,177914646,No
2007,Groundwater,Livestock,REEVES,Yes,177588795,No
2006,Surface,Irrigation,TERRELL,Yes,177588795,No
2009,Surface,Irrigation,TERRELL,Yes,177588795,No
2012,Surface,Irrigation,TERRELL,Yes,177588795,No
2018,Groundwater,Livestock,UVALDE,Yes,177588795,No
2000,Groundwater,Livestock,MARTIN,Yes,177262944,No
2011,Groundwater,Domestic,SCURRY,Yes,176611242,No
2011,Surface,Livestock,FISHER,Yes,176611242,No
2014,Surface,Irrigation,TERRELL,Yes,176611242,No
2018,Groundwater,Domestic,ANDREWS,Yes,176285391,No
2003,Groundwater,Livestock,GAINES,Yes,175633689,No
2002,Surface,Irrigation,DICKENS,Yes,175307838,No
2010,Groundwater,Irrigation,KIMBLE,Yes,174981987,No
2016,Surface,Irrigation,TERRELL,Yes,174981987,No
2012,Groundwater,Domestic,SCURRY,Yes,174330285,No
2001,Groundwater,Livestock,FLOYD,Yes,174330284,No
2005,Groundwater,Domestic,HALE,Yes,174004434,No
2009,Groundwater,Domestic,SCURRY,Yes,173026881,No
2011,Surface,Irrigation,ECTOR,Yes,173026881,No
2017,Groundwater,Livestock,PECOS,Yes,173026880,No
2011,Groundwater,Irrigation,TERRELL,Yes,172701031,No
2001,Surface,Livestock,FISHER,Yes,172701030,No
2011,Groundwater,Mining,MIDLAND,Yes,172375179,Yes
2008,Groundwater,Mining,ECTOR,Yes,172049328,Yes
2012,Groundwater,Domestic,HALE,Yes,171723477,No
2000,Groundwater,Domestic,HALE,Yes,171397626,No
2000,Surface,Livestock,FISHER,Yes,171397626,No
2017,Groundwater,Livestock,UVALDE,Yes,171397625,No
2002,Surface,Livestock,HALE,Yes,170745924,No
2001,Groundwater,Domestic,HALE,Yes,170420073,No
2004,Groundwater,Livestock,UVALDE,Yes,170094223,No
2012,Groundwater,Irrigation,COKE,Yes,170094222,No
2004,Surface,Livestock,UVALDE,Yes,170094222,No
2009,Groundwater,Mining,ECTOR,Yes,169768371,Yes
2006,Groundwater,Domestic,DAWSON,Yes,169768370,No
2002,Groundwater,Livestock,CROCKETT,Yes,169442521,No
2003,Groundwater,Domestic,HALE,Yes,169442520,No
