APINumber,County,Year,Volume_gal,Latitude,Longitude,TotalVerticalDepth_ft
30-025-27005,Lea,2017,9977462.237615386,32.9722862,-103.28099820000001,13692
30-025-27005,Lea,2017,9977462.237615386,32.9722862,-103.28099820000001,13692
30-015-39582,Eddy,2013,1068262.8278245165,32.7233772,-103.96818540000001,8336
30-015-39592,Eddy,2012,1150836.0063557946,32.7780495,-104.14849090000001,3520
30-015-39592,Eddy,2012,1150836.0063557946,32.7780495,-104.14849090000001,3520
30-015-39592,Eddy,2012,1150836.0063557946,32.7780495,-104.14849090000001,3520
30-015-39592,Eddy,2012,1150836.0063557946,32.7780495,-104.14849090000001,3520
30-015-39597,Eddy,2012,1150836.0063557946,32.846443199999996,-104.0529861,4567
30-015-39597,Eddy,2012,1150836.0063557946,32.846443199999996,-104.0529861,4567
30-015-39597,Eddy,2012,1150836.0063557946,32.846443199999996,-104.0529861,4567
30-015-39597,Eddy,2012,1150836.0063557946,32.846443199999996,-104.0529861,4567
30-015-39597,Eddy,2012,1150836.0063557946,32.846443199999996,-104.0529861,4567
30-015-39597,Eddy,2012,1150836.0063557946,32.846443199999996,-104.0529861,4567
30-015-39597,Eddy,2012,1150836.0063557946,32.846443199999996,-104.0529861,4567
30-015-39597,Eddy,2012,1150836.0063557946,32.846443199999996,-104.0529861,4567
30-015-39598,Eddy,2012,1150836.0063557946,32.8483963,-104.0528259,4590
30-015-39598,Eddy,2012,1150836.0063557946,32.8483963,-104.0528259,4590
30-015-39598,Eddy,2012,1150836.0063557946,32.8483963,-104.0528259,4590
30-015-39598,Eddy,2012,1150836.0063557946,32.8483963,-104.0528259,4590
30-015-39598,Eddy,2012,1150836.0063557946,32.8483963,-104.0528259,4590
30-015-39598,Eddy,2012,1150836.0063557946,32.8483963,-104.0528259,4590
30-015-39598,Eddy,2012,1150836.0063557946,32.8483963,-104.0528259,4590
30-015-39598,Eddy,2012,1150836.0063557946,32.8483963,-104.0528259,4590
30-015-39600,Eddy,2012,1150836.0063557946,32.8464317,-104.04653929999999,4577
30-015-39600,Eddy,2012,1150836.0063557946,32.8464317,-104.04653929999999,4577
30-015-39600,Eddy,2012,1150836.0063557946,32.8464317,-104.04653929999999,4577
30-015-39600,Eddy,2012,1150836.0063557946,32.8464317,-104.04653929999999,4577
30-015-39600,Eddy,2012,1150836.0063557946,32.8464317,-104.04653929999999,4577
30-015-39600,Eddy,2012,1150836.0063557946,32.8464317,-104.04653929999999,4577
30-015-39600,Eddy,2012,1150836.0063557946,32.8464317,-104.04653929999999,4577
30-015-39600,Eddy,2012,1150836.0063557946,32.8464317,-104.04653929999999,4577
30-015-39603,Eddy,2012,1150836.0063557946,32.8429794,-104.0379791,4570
30-015-39603,Eddy,2012,1150836.0063557946,32.8429794,-104.0379791,4570
30-015-39603,Eddy,2012,1150836.0063557946,32.8429794,-104.0379791,4570
30-015-39603,Eddy,2012,1150836.0063557946,32.8429794,-104.0379791,4570
30-015-39606,Eddy,2012,1150836.0063557946,32.841278100000004,-104.0396194,4582
30-015-39606,Eddy,2012,1150836.0063557946,32.841278100000004,-104.0396194,4582
30-015-39606,Eddy,2012,1150836.0063557946,32.841278100000004,-104.0396194,4582
30-015-39606,Eddy,2012,1150836.0063557946,32.841278100000004,-104.0396194,4582
30-015-39606,Eddy,2012,1150836.0063557946,32.841278100000004,-104.0396194,4582
30-015-39606,Eddy,2012,1150836.0063557946,32.841278100000004,-104.0396194,4582
30-015-39606,Eddy,2012,1150836.0063557946,32.841278100000004,-104.0396194,4582
30-015-39606,Eddy,2012,1150836.0063557946,32.841278100000004,-104.0396194,4582
30-015-39667,Eddy,2012,1150836.0063557946,32.8385925,-104.0459824,9
30-015-39667,Eddy,2012,1150836.0063557946,32.8385925,-104.0459824,9
30-015-39667,Eddy,2012,1150836.0063557946,32.8385925,-104.0459824,9
30-015-39667,Eddy,2012,1150836.0063557946,32.8385925,-104.0459824,9
30-015-39673,Eddy,2012,1150836.0063557946,32.5534859,-104.2268219,6353
30-015-39673,Eddy,2012,1150836.0063557946,32.5534859,-104.2268219,6353
30-015-39673,Eddy,2012,1150836.0063557946,32.5534859,-104.2268219,6353
30-015-39673,Eddy,2012,1150836.0063557946,32.5534859,-104.2268219,6353
30-015-39722,Eddy,2012,1150836.0063557946,32.810051,-103.9158173,4452
30-015-39722,Eddy,2012,1150836.0063557946,32.810051,-103.9158173,4452
30-015-39722,Eddy,2012,1150836.0063557946,32.810051,-103.9158173,4452
30-015-39722,Eddy,2012,1150836.0063557946,32.810051,-103.9158173,4452
