State,County,Year,Population
Texas,Madison,1981,11106
Texas,Marion,1981,10463
Texas,Martin,1981,4970
Texas,Mason,1981,3622
Texas,Matagorda,1981,38524
Texas,Maverick,1981,33010
Texas,Medina,1981,23214
Texas,Menard,1981,2362
Texas,Midland,1981,88994
Texas,Milam,1981,23181
Texas,Mills,1981,4549
Texas,Mitchell,1981,9124
Texas,Montague,1981,17746
Texas,Montgomery,1981,136500
Texas,Moore,1981,17205
Texas,Morris,1981,14926
Texas,Motley,1981,1880
Texas,Nacogdoches,1981,47786
Texas,Navarro,1981,36774
Texas,Newton,1981,13326
Texas,Nolan,1981,17694
Texas,Nueces,1981,273807
Texas,Ochiltree,1981,10197
Texas,Oldham,1981,2296
Texas,Orange,1981,86337
Texas,Palo Pinto,1981,24620
Texas,Panola,1981,21221
Texas,Parker,1981,46179
Texas,Parmer,1981,11052
Texas,Pecos,1981,15592
Texas,Polk,1981,25648
Texas,Potter,1981,100563
Texas,Presidio,1981,5272
Texas,Rains,1981,4987
Texas,Randall,1981,76782
Texas,Reagan,1981,4620
Texas,Real,1981,2567
Texas,Red River,1981,16074
Texas,Reeves,1981,16384
Texas,Refugio,1981,9403
Texas,Roberts,1981,1170
Texas,Robertson,1981,15178
Texas,Rockwall,1981,15576
Texas,Runnels,1981,11931
Texas,Rusk,1981,41994
Texas,Sabine,1981,8817
Texas,San Augustine,1981,8961
Texas,San Jacinto,1981,11724
Texas,San Patricio,1981,59389
Texas,San Saba,1981,5765
Texas,Schleicher,1981,2939
Texas,Scurry,1981,18899
Texas,Shackelford,1981,4026
Texas,Shelby,1981,23318
Texas,Sherman,1981,3218
Texas,Smith,1981,132734
Texas,Somervell,1981,3988
Texas,Starr,1981,29188
Texas,Stephens,1981,10231
Texas,Sterling,1981,1278
Texas,Stonewall,1981,2401
Texas,Sutton,1981,5545
Texas,Swisher,1981,9539
Texas,Tarrant,1981,895556
Texas,Taylor,1981,115025
Texas,Terrell,1981,1614
Texas,Terry,1981,14674
Texas,Throckmorton,1981,2141
Texas,Titus,1981,21925
Texas,Tom Green,1981,87227
Texas,Travis,1981,430442
Texas,Trinity,1981,9681
Texas,Tyler,1981,16377
Texas,Upshur,1981,29622
Texas,Upton,1981,4748
Texas,Uvalde,1981,22652
Texas,Val Verde,1981,37237
Texas,Van Zandt,1981,31786
Texas,Victoria,1981,71454
Texas,Walker,1981,43053
Texas,Waller,1981,21024
Texas,Ward,1981,14744
Texas,Washington,1981,23015
Texas,Webb,1981,105077
Texas,Wharton,1981,40557
Texas,Wheeler,1981,7308
Texas,Wichita,1981,123144
Texas,Wilbarger,1981,16193
Texas,Willacy,1981,17889
Texas,Williamson,1981,81837
Texas,Wilson,1981,17021
Texas,Winkler,1981,10516
Texas,Wise,1981,27219
Texas,Wood,1981,24984
Texas,Yoakum,1981,8385
Texas,Young,1981,19592
Texas,Zapata,1981,7098
Texas,Zavala,1981,11851
New Mexico,Bernalillo,1982,433469
New Mexico,Catron,1982,2666
New Mexico,Chaves,1982,53647
New Mexico,Cibola,1982,28211
New Mexico,Colfax,1982,14153
New Mexico,Curry,1982,41970
New Mexico,De Baca,1982,2426
New Mexico,Dona Ana,1982,103448
New Mexico,Eddy,1982,52233
New Mexico,Grant,1982,27969
New Mexico,Guadalupe,1982,4290
New Mexico,Harding,1982,1016
New Mexico,Hidalgo,1982,6332
New Mexico,Lea,1982,64227
New Mexico,Lincoln,1982,11667
New Mexico,Los Alamos,1982,17795
New Mexico,Luna,1982,16193
New Mexico,McKinley,1982,56880
New Mexico,Mora,1982,4252
New Mexico,Otero,1982,46036
New Mexico,Quay,1982,10643
New Mexico,Rio Arriba,1982,30078
New Mexico,Roosevelt,1982,16061
New Mexico,Sandoval,1982,37418
New Mexico,San Juan,1982,88833
New Mexico,San Miguel,1982,23186
New Mexico,Santa Fe,1982,80118
New Mexico,Sierra,1982,8942
New Mexico,Socorro,1982,13508
New Mexico,Taos,1982,20654
New Mexico,Torrance,1982,7883
New Mexico,Union,1982,5219
New Mexico,Valencia,1982,32399
Texas,Anderson,1982,41873
Texas,Andrews,1982,15142
Texas,Angelina,1982,67879
Texas,Aransas,1982,16105
Texas,Archer,1982,7651
Texas,Armstrong,1982,1967
Texas,Atascosa,1982,26475
Texas,Austin,1982,19408
Texas,Bailey,1982,8138
Texas,Bandera,1982,7559
Texas,Bastrop,1982,28439
Texas,Baylor,1982,5229
Texas,Bee,1982,27262
Texas,Bell,1982,167053
Texas,Bexar,1982,1046457
Texas,Blanco,1982,4791
Texas,Borden,1982,975
Texas,Bosque,1982,13779
Texas,Bowie,1982,76898
Texas,Brazoria,1982,179584
Texas,Brazos,1982,112349
Texas,Brewster,1982,7878
Texas,Briscoe,1982,2471
Texas,Brooks,1982,8630
Texas,Brown,1982,34849
Texas,Burleson,1982,14670
Texas,Burnet,1982,19116
Texas,Caldwell,1982,24538
Texas,Calhoun,1982,21181
Texas,Callahan,1982,11796
Texas,Cameron,1982,230718
Texas,Camp,1982,9797
Texas,Carson,1982,7325
Texas,Cass,1982,30710
Texas,Castro,1982,10474
Texas,Chambers,1982,19676
Texas,Cherokee,1982,38856
Texas,Childress,1982,6937
Texas,Clay,1982,10016
Texas,Cochran,1982,4890
