State,County,Year,Volume,Count
Texas,Mitchell,2009,303368,13
Texas,Pecos,2008,3365434.8,13
Texas,Reagan,2018,98167482,13
Texas,Upton,2015,179746603,13
Texas,Andrews,2005,1248637,12
Texas,Andrews,2007,1214336,12
Texas,Andrews,2008,1413115,12
Texas,Andrews,2009,1199852,12
Texas,Andrews,2010,1690325,12
Texas,Andrews,2010,556991,12
Texas,Andrews,2010,1371930,12
Texas,Andrews,2011,950838,12
Texas,Andrews,2011,1141644,12
Texas,Andrews,2014,1319272,12
Texas,Crockett,2017,178642044,12
Texas,Crosby,2014,283061,12
Texas,Culberson,2018,142915122,12
Texas,Ector,2003,1293155,12
Texas,Ector,2011,2395764,12
Texas,Ector,2012,2492868,12
Texas,Ector,2013,1245128,12
Texas,Ector,2013,4598573,12
Texas,Ector,2013,22705914,12
Texas,Ector,2014,22283016,12
New Mexico,Eddy,2008,3137892,12
New Mexico,Eddy,2010,11356668,12
New Mexico,Eddy,2011,5121277,12
New Mexico,Eddy,2011,5346509,12
New Mexico,Eddy,2013,6114258,12
New Mexico,Eddy,2018,175562562,12
Texas,Gaines,2012,683154,12
Texas,Glasscock,2012,10983775,12
Texas,Glasscock,2015,81655350,12
Texas,Howard,2000,181200,12
Texas,Howard,2013,705374,12
Texas,Irion,2015,197483454,12
New Mexico,Lea,2010,4836937,12
Texas,Loving,2017,108948756,12
Texas,Martin,2018,115654518,12
Texas,Martin,2018,185215968,12
Texas,Midland,2016,144879714,12
Texas,Midland,2016,174385638,12
Texas,Midland,2019,287495838,12
Texas,Mitchell,2004,200450,12
Texas,Mitchell,2005,216800,12
Texas,Mitchell,2006,2005904,12
Texas,Mitchell,2009,334062,12
Texas,Mitchell,2011,568896,12
Texas,Mitchell,2012,477670,12
Texas,Reagan,2014,107649738,12
Texas,Reagan,2018,124238856,12
Texas,Reeves,2018,103891284,12
Texas,Reeves,2018,230136942,12
Texas,Sutton,2007,1322535,12
Texas,Upton,2013,73265430,12
Texas,Ward,2012,104655,12
Texas,Winkler,2005,994043,12
Texas,Winkler,2013,103104,12
Texas,Andrews,2006,1146478,11
Texas,Andrews,2006,1133304,11
Texas,Andrews,2009,1104600,11
Texas,Andrews,2010,974756,11
Texas,Andrews,2010,909816,11
Texas,Andrews,2011,938238,11
Texas,Andrews,2012,1765115,11
Texas,Andrews,2012,1068900,11
Texas,Andrews,2012,873138,11
Texas,Andrews,2012,1083768,11
Texas,Andrews,2012,1203042,11
Texas,Andrews,2013,1357566,11
Texas,Andrews,2013,1213328,11
Texas,Andrews,2014,2789735,11
Texas,Andrews,2014,2391882,11
Texas,Andrews,2019,235844826,11
Texas,Crane,2001,364183,11
Texas,Ector,2009,1569708,11
Texas,Ector,2010,1488942,11
Texas,Ector,2012,16053994,11
Texas,Ector,2014,989292,11
New Mexico,Eddy,2000,978660,11
New Mexico,Eddy,2008,2999393,11
New Mexico,Eddy,2009,5164882,11
New Mexico,Eddy,2010,5228554,11
New Mexico,Eddy,2010,6093560,11
New Mexico,Eddy,2010,8001827.4,11
New Mexico,Eddy,2011,4740204,11
New Mexico,Eddy,2012,2509028,11
New Mexico,Eddy,2012,4570248,11
New Mexico,Eddy,2014,11468832,11
Texas,Gaines,2012,801495,11
Texas,Glasscock,2017,153531294,11
Texas,Glasscock,2018,201154380,11
Texas,Howard,2000,298120,11
Texas,Howard,2013,3351819,11
Texas,Howard,2017,144435942,11
Texas,Howard,2018,286808256,11
Texas,Irion,2013,86463510,11
New Mexico,Lea,2002,488868,11
New Mexico,Lea,2010,8312373,11
New Mexico,Lea,2011,4895273,11
New Mexico,Lea,2018,201314106,11
Texas,Martin,2018,201334644,11
Texas,Martin,2018,253723722,11
Texas,Martin,2018,156558738,11
Texas,Martin,2019,179529546,11
Texas,Midland,2011,16893941.4,11
Texas,Midland,2012,8263965,11
Texas,Midland,2014,91739214,11
Texas,Midland,2014,10088785,11
Texas,Midland,2015,124528740,11
Texas,Midland,2016,139394220,11
Texas,Midland,2017,163332288,11
Texas,Midland,2017,175188258,11
Texas,Midland,2018,268530360,11
Texas,Midland,2018,227086566,11
Texas,Mitchell,2008,242240.4,11
Texas,Mitchell,2009,333834.6,11
Texas,Mitchell,2009,331053,11
Texas,Mitchell,2009,355040,11
Texas,Pecos,2007,1360381,11
Texas,Pecos,2008,855372,11
Texas,Pecos,2008,2614995.6,11
Texas,Pecos,2008,2335158,11
Texas,Reagan,2019,234450174,11
Texas,Upton,2014,9354345,11
Texas,Ward,2009,405552,11
Texas,Ward,2014,82892,11
Texas,Ward,2014,4335007,11
Texas,Winkler,2018,2206577,11
Texas,Andrews,2000,259190,10
Texas,Andrews,2004,2268349,10
Texas,Andrews,2005,1030786,10
Texas,Andrews,2006,1100585,10
Texas,Andrews,2009,963354,10
Texas,Andrews,2010,2179877,10
Texas,Andrews,2010,1059492,10
Texas,Andrews,2011,900942,10
Texas,Andrews,2011,821255,10
Texas,Andrews,2012,555912,10
Texas,Andrews,2012,980322,10
Texas,Andrews,2014,934475,10
Texas,Andrews,2014,979079,10
Texas,Andrews,2014,590925,10
Texas,Andrews,2014,578602,10
Texas,Andrews,2014,1109768,10
Texas,Crane,2015,1181376,10
Texas,Crane,2018,1148836,10
Texas,Crockett,2013,83966418,10
Texas,Crosby,2017,396404,10
Texas,Ector,2001,300700,10
Texas,Ector,2011,2198280,10
Texas,Ector,2013,1663219,10
New Mexico,Eddy,2006,2391691,10
New Mexico,Eddy,2010,3628056,10
New Mexico,Eddy,2010,10735907,10
New Mexico,Eddy,2011,12148254,10
New Mexico,Eddy,2011,20947850,10
New Mexico,Eddy,2012,2577023,10
New Mexico,Eddy,2012,1147365,10
New Mexico,Eddy,2014,2384088,10
New Mexico,Eddy,2015,4199619,10
New Mexico,Eddy,2015,4615091,10
Texas,Gaines,2010,350000,10
Texas,Gaines,2012,1057023,10
Texas,Gaines,2012,1048551,10
Texas,Glasscock,2012,8960590,10
Texas,Glasscock,2012,9302989,10
Texas,Glasscock,2015,46841844,10
Texas,Glasscock,2015,59423574,10
Texas,Irion,2019,196415940,10
New Mexico,Lea,2007,1059000,10
New Mexico,Lea,2010,1197335,10
New Mexico,Lea,2011,4528638,10
New Mexico,Lea,2018,60391758,10
Texas,Loving,2018,88378038,10
Texas,Martin,2015,84802161,10
Texas,Martin,2017,117700044,10
Texas,Martin,2017,100126278,10
Texas,Martin,2018,220723944,10
Texas,Martin,2019,209989458,10
Texas,Martin,2019,176336664,10
Texas,Midland,2011,15033421.2,10
Texas,Midland,2012,17582754,10
Texas,Midland,2013,18511678,10
Texas,Midland,2014,74844099,10
Texas,Midland,2015,7432505,10
Texas,Midland,2017,137502288,10
Texas,Midland,2018,169166466,10
Texas,Midland,2018,136063956,10
Texas,Midland,2018,246618876,10
Texas,Midland,2019,209095950,10
Texas,Midland,2019,182089194,10
Texas,Mitchell,2002,250000,10
Texas,Mitchell,2004,136300,10
Texas,Mitchell,2005,201700,10
Texas,Mitchell,2007,380400,10
Texas,Mitchell,2008,275302,10
Texas,Mitchell,2010,263934,10
Texas,Mitchell,2011,448700,10
Texas,Mitchell,2013,471000,10
Texas,Pecos,2010,296750,10
Texas,Reeves,2019,141795570,10
Texas,Sutton,2004,1792200,10
Texas,Sutton,2004,1227247,10
Texas,Sutton,2007,334100,10
Texas,Upton,2012,10694769,10
Texas,Upton,2013,16778699,10
Texas,Upton,2018,213896466,10
Texas,Upton,2018,248536428,10
Texas,Ward,2007,597650,10
Texas,Ward,2013,1546079,10
Texas,Andrews,2003,945159,9
Texas,Andrews,2004,848609,9
Texas,Andrews,2006,903488,9
Texas,Andrews,2006,981080,9
Texas,Andrews,2007,945714,9
Texas,Andrews,2007,780512,9
Texas,Andrews,2007,662340,9
Texas,Andrews,2008,1022238,9
Texas,Andrews,2008,1010708,9
Texas,Andrews,2009,1009050,9
Texas,Andrews,2009,712006,9
Texas,Andrews,2010,732660,9
Texas,Andrews,2011,823746,9
Texas,Andrews,2011,402712,9
Texas,Andrews,2011,735294,9
Texas,Andrews,2011,1246728,9
Texas,Andrews,2011,832692,9
Texas,Andrews,2012,923139,9
Texas,Andrews,2012,954492,9
Texas,Andrews,2012,231045,9
Texas,Andrews,2012,809718,9
Texas,Andrews,2013,959881,9
Texas,Andrews,2013,915823,9
Texas,Andrews,2013,943147,9
Texas,Andrews,2013,711646,9
Texas,Andrews,2014,930017,9
Texas,Andrews,2014,520379,9
Texas,Andrews,2018,104374410,9
Texas,Andrews,2018,227643738,9
Texas,Crane,2000,152314,9
Texas,Crane,2001,163415,9
Texas,Crane,2007,1570800,9
Texas,Crane,2012,19779924,9
Texas,Crane,2012,20878242,9
