"Use","YearMonth","Mean.estimate","Mean.conf.low","Mean.conf.high","P50.estimate","P5.estimate","P95.estimate","Units"
"Fracturing","201801",13.789034,12.045881,15.532187,13.586576,0.191727,25.53086,
"Fracturing","201802",14.503579,13.320145,15.687013,14.91675,1.699486,19.306943,
"Fracturing","201803",11.888163,10.412374,13.363953,14.680188,0.305242,26.248428,
"Fracturing","201804",13.34735,11.739629,14.95507,14.239014,0.230505,20.283972,
"Fracturing","201805",16.569161,14.946095,18.192227,15.220327,0.216341,22.845325,
"Fracturing","201806",12.922885,11.289518,14.556251,15.191274,0.365003,26.917833,
"Fracturing","201807",17.594234,16.230699,18.957769,18.182107,3.726604,23.925366,
"Fracturing","201808",14.617777,13.349538,15.886015,16.167883,0.320379,22.855934,
"Fracturing","201809",16.590033,15.242733,17.937333,16.949139,0.674841,25.905001,
"Fracturing","201810",14.976135,13.110597,16.841674,16.058051,0.439106,22.82549,
"Fracturing","201811",15.206365,13.48203,16.930701,15.566767,0.116651,24.094727,
"Fracturing","201812",16.727328,15.163351,18.291304,20.253408,0.480573,24.560167,
"Fracturing","201901",17.509036,15.917807,19.100266,19.436402,0.616351,24.442684,
"Fracturing","201902",17.585337,15.788172,19.382502,20.088279,1.012668,21.652471,
"Fracturing","201903",18.533273,16.831053,20.235493,21.290561,0.512902,25.977756,
"Fracturing","201904",15.819583,14.009183,17.629984,15.314182,7.079755,24.149944,
"Fracturing","201905",14.251758,12.84337,15.660146,14.869933,0.416829,25.105441,
"Fracturing","201906",18.132208,16.6855,19.578916,17.373552,11.496849,25.291737,
"Fracturing","201907",15.477031,14.408775,16.545287,15.544094,12.404569,19.995495,
"Fracturing","201908",17.241539,15.963866,18.519213,18.264172,0.628779,21.589442,
"Fracturing","201909",18.2909,17.121788,19.460011,18.119195,13.184605,24.524157,
"Fracturing","201910",16.553997,15.268623,17.839371,17.946029,0.444067,19.496008,
"Fracturing","201911",17.862697,16.296873,19.428521,17.378977,14.025626,24.82402,
"Fracturing","201912",15.611022,14.002171,17.219872,16.587654,0.550433,19.967484,
"Fracturing","202001",14.837624,13.291536,16.383711,14.610175,6.560725,22.380953,
"Fracturing","202002",15.305997,13.873343,16.738651,17.649821,12.16611,23.542456,
"Fracturing","202003",16.642893,15.254981,18.030805,16.116526,12.590301,23.466436,
"Fracturing","202004",14.853963,12.556309,17.151618,19.764705,8.961756,26.197022,
