,"Heating Degree Days U.S. Average , Monthly /// units: total degree days /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,785.95354688
1,202211,501.4356345
2,202210,253.7251979
3,202209,58.564069207
4,202208,11.153436866
5,202207,7.2535136003
6,202206,31.740129194
7,202205,144.30274413
8,202204,315.7349563
9,202203,555.59783123
10,202202,679.22260118
11,202201,842.29968044
12,202112,775.6262773
13,202111,479.41138122
14,202110,180.70821549
15,202109,40.246646071
16,202108,5.9594268075
17,202107,4.7113734901
18,202106,12.348325595
19,202105,151.40774067
20,202104,309.13555072
21,202103,507.94807849
22,202102,794.61138108
23,202101,805.06905527
24,202012,751.86990975
25,202011,423.36753527
26,202010,248.56243564
27,202009,58.91691153
28,202008,7.2662140052
29,202007,4.7973748034
30,202006,25.636547597
31,202005,157.33687843
32,202004,360.46423471
33,202003,485.43459846
34,202002,653.85725999
35,202001,741.18705266
36,201912,717.69573177
37,201911,591.28723226
38,201910,254.92159839
39,201909,41.395192816
40,201908,10.280453424
41,201907,5.2700498714
42,201906,34.301378491
43,201905,159.04834342
44,201904,289.04415945
45,201903,634.07224597
46,201902,721.53463144
47,201901,861.54190299
48,201812,733.53041493
49,201811,595.41541947
50,201810,254.67553019
51,201809,37.777571794
52,201808,6.9667562562
53,201807,3.546855229
54,201806,26.471681568
55,201805,85.657945313
56,201804,412.08706251
57,201803,610.96560587
58,201802,626.88032685
59,201801,898.66374611
60,201712,800.20978567
61,201711,491.83257315
62,201710,193.39199261
63,201709,44.640946959
64,201708,15.227203829
65,201707,5.2257020029
66,201706,24.789034548
67,201705,154.38107622
68,201704,248.7061839
69,201703,544.87626556
70,201702,548.80817924
71,201701,767.99554477
72,201612,784.68172771
73,201611,419.31258569
74,201610,198.35910587
75,201609,38.943164541
76,201608,6.4021652391
77,201607,5.6617499437
78,201606,20.858077128
79,201605,150.91458897
80,201604,310.58521191
81,201603,451.01277823
82,201602,629.54125182
83,201601,872.35065498
84,201512,582.06179229
85,201511,445.97529442
86,201510,227.99839987
87,201509,31.963296719
88,201508,11.012950672
89,201507,6.4480467487
90,201506,24.366336831
91,201505,118.88656352
92,201504,300.72751236
93,201503,585.59682782
94,201502,869.18000722
95,201501,891.99526131
96,201412,706.70584042
97,201411,615.24184186
98,201410,221.18594972
99,201409,57.678181499
100,201408,13.032753355
101,201407,9.8290158865
102,201406,27.974250149
