,"Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore, Monthly /// units: Number of Rigs /// most recent data point: 202110 /// last updated: 2021-11-22T15:19:36-0500",
,date,value
422,198608,665
423,198607,621
424,198606,632
425,198605,687
426,198604,794
427,198603,1007
428,198602,1280
429,198601,1635
430,198512,1760
431,198511,1725
432,198510,1684
433,198509,1733
434,198508,1734
435,198507,1715
436,198506,1653
437,198505,1665
438,198504,1667
439,198503,1732
440,198502,1955
441,198501,2210
442,198412,2471
443,198411,2397
444,198410,2269
445,198409,2206
446,198408,2201
447,198407,2180
448,198406,2158
449,198405,2075
450,198404,1917
451,198403,2047
452,198402,2221
453,198401,2450
454,198312,2570
455,198311,2413
456,198310,2205
457,198309,2077
458,198308,1975
459,198307,1861
460,198306,1777
461,198305,1717
462,198304,1633
463,198303,1793
464,198302,1976
465,198301,2404
466,198212,2482
467,198211,2286
468,198210,2173
469,198209,2255
470,198208,2385
471,198207,2504
472,198206,2660
473,198205,2927
474,198204,3209
475,198203,3554
476,198202,3891
477,198201,4156
478,198112,4238
479,198111,4166
480,198110,4088
481,198109,3976
482,198108,3867
483,198107,3736
484,198106,3680
485,198105,3568
486,198104,3472
487,198103,3343
488,198102,3268
489,198101,3141
490,198012,3036
491,198011,2973
492,198010,2917
493,198009,2868
494,198008,2810
495,198007,2718
496,198006,2615
497,198005,2568
498,198004,2461
499,198003,2439
500,198002,2397
501,198001,2352
502,197912,2336
503,197911,2255
504,197910,2169
505,197909,2069
506,197908,2014
507,197907,1889
508,197906,1794
509,197905,1762
510,197904,1736
511,197903,1768
512,197902,1858
513,197901,1992
514,197812,2098
515,197811,2169
516,197810,2156
517,197809,2138
518,197808,2127
519,197807,2122
520,197806,2103
521,197805,2066
522,197804,2016
523,197803,1979
524,197802,1954
525,197801,1956
526,197712,1973
527,197711,1945
528,197710,1932
529,197709,1906
530,197708,1888
531,197707,1851
532,197706,1839
533,197705,1813
534,197704,1745
535,197703,1724
536,197702,1690
537,197701,1704
538,197612,1716
539,197611,1703
540,197610,1666
541,197609,1618
542,197608,1563
543,197607,1465
544,197606,1426
545,197605,1375
546,197604,1356
547,197603,1408
548,197602,1468
549,197601,1588
550,197512,1677
551,197511,1644
552,197510,1604
553,197509,1586
554,197508,1533
555,197507,1508
556,197506,1507
557,197505,1490
558,197504,1503
559,197503,1549
560,197502,1518
561,197501,1521
562,197412,1540
563,197411,1497
564,197410,1493
565,197409,1437
566,197408,1426
567,197407,1387
568,197406,1342
569,197405,1319
570,197404,1280
571,197403,1272
572,197402,1264
573,197401,1283
574,197312,1318
575,197311,1304
576,197310,1250
577,197309,1183
578,197308,1140
579,197307,1075
580,197306,1042
581,197305,974
582,197304,914
583,197303,959
584,197302,1037
585,197301,1120
