,"U.S. Crude Oil Production, Monthly /// units: million barrels per day /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,12.20119
1,202211,12.15624
2,202210,11.9246
3,202209,11.98697
4,202208,11.91552
5,202207,11.81554
6,202206,11.70305
7,202205,11.69665
8,202204,11.76147
9,202203,11.71687
10,202202,11.64241
11,202201,11.65577
12,202112,11.69571
13,202111,11.668237796
14,202110,11.520367475
15,202109,10.80891
16,202108,11.189436
17,202107,11.329926
18,202106,11.288152
19,202105,11.333753
20,202104,11.230181
21,202103,11.15956
22,202102,9.773059
23,202101,11.056365
24,202012,11.083595
25,202011,11.120707
26,202010,10.413412
27,202009,10.868058
28,202008,10.557567
29,202007,10.956484
30,202006,10.419768
31,202005,9.711117
32,202004,11.911472
33,202003,12.816057
34,202002,12.825811
35,202001,12.784809
36,201912,12.910303
37,201911,12.966121
38,201910,12.770961
39,201909,12.5723
40,201908,12.475
41,201907,11.895646
42,201906,12.178872
43,201905,12.140713
44,201904,12.12458
45,201903,11.898941
46,201902,11.65258
47,201901,11.847951
48,201812,11.923994
49,201811,11.867607
50,201810,11.48831
51,201809,11.422011
52,201808,11.373371
53,201807,10.888398
54,201806,10.627899
55,201805,10.424487
56,201804,10.493442
57,201803,10.461175
58,201802,10.275947
59,201801,9.996161
60,201712,9.979312
61,201711,10.076984
62,201710,9.659003
63,201709,9.516239
64,201708,9.245017
65,201707,9.246279
66,201706,9.110295
67,201705,9.184442
68,201704,9.102992
69,201703,9.168016
70,201702,9.109238
71,201701,8.872854
72,201612,8.81433
73,201611,8.901152
74,201610,8.801924
75,201609,8.541628
76,201608,8.688096
77,201607,8.660329
78,201606,8.672107
79,201605,8.831635
80,201604,8.870732
81,201603,9.087598
82,201602,9.063492
83,201601,9.201453
84,201512,9.275091
85,201511,9.332495
86,201510,9.400334
87,201509,9.479944
88,201508,9.409395
89,201507,9.445594
90,201506,9.358242
91,201505,9.473642
92,201504,9.657844
93,201503,9.581929
94,201502,9.504109
95,201501,9.382452
96,201412,9.563859
97,201411,9.326439
98,201410,9.264278
99,201409,9.08569
100,201408,8.92945
101,201407,8.84292
102,201406,8.742937
103,201405,8.645047
104,201404,8.526516
105,201403,8.297434
106,201402,8.15718
107,201401,8.078237
108,201312,7.933777
109,201311,7.920072
110,201310,7.761097
111,201309,7.839439
112,201308,7.535786
113,201307,7.523793
114,201306,7.279373
115,201305,7.327491
116,201304,7.375375
117,201303,7.21528
118,201302,7.156294
119,201301,7.083554
120,201212,7.105129
121,201211,7.080798
122,201210,6.969065
123,201209,6.597432
124,201208,6.350132
125,201207,6.430992
126,201206,6.275161
127,201205,6.369079
128,201204,6.319657
129,201203,6.326307
130,201202,6.26754
131,201201,6.175463
132,201112,6.112491
133,201111,6.038558
134,201110,5.902495
135,201109,5.613714
136,201108,5.665089
137,201107,5.439853
138,201106,5.589094
139,201105,5.624622
140,201104,5.561917
141,201103,5.61801
142,201102,5.405516
143,201101,5.496552
144,201012,5.607447
145,201011,5.575722
146,201010,5.630558
147,201009,5.615764
148,201008,5.447333
149,201007,5.297872
150,201006,5.379502
151,201005,5.400864
152,201004,5.392303
153,201003,5.515364
154,201002,5.553415
155,201001,5.404146
156,200912,5.451727
157,200911,5.394599
158,200910,5.52444
159,200909,5.558828
160,200908,5.417568
161,200907,5.397947
162,200906,5.269312
163,200905,5.376916
164,200904,5.278119
165,200903,5.218583
166,200902,5.239229
167,200901,5.144106
168,200812,5.102691
169,200811,5.078097
170,200810,4.737689
171,200809,3.973586
172,200808,5.002976
173,200807,5.176795
174,200806,5.13775
175,200805,5.143142
176,200804,5.180109
177,200803,5.189292
178,200802,5.148172
179,200801,5.115037
180,200712,5.110551
181,200711,5.034018
182,200710,5.021935
183,200709,4.902036
184,200708,4.969682
185,200707,5.037919
186,200706,5.075147
187,200705,5.211217
188,200704,5.180232
189,200703,5.119257
190,200702,5.117898
191,200701,5.107808
192,200612,5.186066
193,200611,5.064209
194,200610,5.108156
195,200609,5.03085
196,200608,5.039729
197,200607,5.094173
198,200606,5.162796
199,200605,5.150561
200,200604,5.081652
201,200603,5.027168
202,200602,5.03193
203,200601,5.047728
204,200512,4.98808
205,200511,4.856946
206,200510,4.554823
207,200509,4.213898
208,200508,5.198472
209,200507,5.253345
210,200506,5.442097
211,200505,5.596478
212,200504,5.562827
213,200503,5.600835
214,200502,5.501359
215,200501,5.446159
216,200412,5.510157
217,200411,5.423308
218,200410,5.169999
219,200409,5.081476
220,200408,5.324889
221,200407,5.484233
222,200406,5.406938
223,200405,5.555955
224,200404,5.560331
225,200403,5.61662
226,200402,5.571816
227,200401,5.584915
228,200312,5.571451
229,200311,5.546554
230,200310,5.613544
231,200309,5.609009
232,200308,5.57377
233,200307,5.498445
234,200306,5.659077
235,200305,5.663475
236,200304,5.725816
237,200303,5.803461
238,200302,5.782863
239,200301,5.755227
240,200212,5.721686
241,200211,5.623528
242,200210,5.358216
243,200209,5.411212
244,200208,5.795801
245,200207,5.750818
246,200206,5.884388
247,200205,5.905054
248,200204,5.844439
249,200203,5.885822
250,200202,5.880913
251,200201,5.87343
252,200112,5.887461
253,200111,5.881376
254,200110,5.746111
255,200109,5.708991
256,200108,5.725418
257,200107,5.748633
258,200106,5.765791
259,200105,5.829427
260,200104,5.862633
261,200103,5.880314
262,200102,5.780096
263,200101,5.798925
264,200012,5.855104
265,200011,5.832669
266,200010,5.80903
267,200009,5.757695
268,200008,5.788734
269,200007,5.739362
270,200006,5.822882
271,200005,5.84651
272,200004,5.854166
273,200003,5.918207
274,200002,5.851839
275,200001,5.784376
276,199912,5.958573
277,199911,5.960356
278,199910,5.947115
279,199909,5.803771
280,199908,5.780231
281,199907,5.797999
282,199906,5.760265
