,"U.S. Crude Oil Production, Monthly /// units: million barrels per day /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
283,199905,5.87491
284,199904,5.887203
285,199903,5.882633
286,199902,5.965517
287,199901,5.963356
288,199812,6.043449
289,199811,6.139929
290,199810,6.142566
291,199809,5.789212
292,199808,6.202641
293,199807,6.194381
294,199806,6.267266
295,199805,6.346905
296,199804,6.48275
297,199803,6.407711
298,199802,6.475755
299,199801,6.540526
300,199712,6.531108
301,199711,6.459282
302,199710,6.467152
303,199709,6.485824
304,199708,6.347386
305,199707,6.409392
306,199706,6.44172
307,199705,6.474261
308,199704,6.441294
309,199703,6.452047
310,199702,6.51429
311,199701,6.40212
312,199612,6.505965
313,199611,6.475602
314,199610,6.480875
315,199609,6.481855
316,199608,6.360071
317,199607,6.337772
318,199606,6.458207
319,199605,6.393798
320,199604,6.443908
321,199603,6.571459
322,199602,6.576798
323,199601,6.495297
324,199512,6.529936
325,199511,6.585309
326,199510,6.421125
327,199509,6.416133
328,199508,6.446652
329,199507,6.448772
330,199506,6.578628
331,199505,6.629316
332,199504,6.603716
333,199503,6.600412
334,199502,6.794452
335,199501,6.68218
336,199412,6.759693
337,199411,6.628332
338,199410,6.657985
339,199409,6.608804
340,199408,6.544152
341,199407,6.500879
342,199406,6.61059
343,199405,6.688193
344,199404,6.612102
345,199403,6.745622
346,199402,6.770326
347,199401,6.816779
348,199312,6.857583
349,199311,6.911632
350,199310,6.838807
351,199309,6.711565
352,199308,6.757807
353,199307,6.688367
354,199306,6.794726
355,199305,6.84692
356,199304,6.881308
357,199303,6.974128
358,199302,6.942592
359,199301,6.961007
360,199212,7.103215
361,199211,7.024128
362,199210,7.125751
363,199209,7.030119
364,199208,6.921788
365,199207,7.1311
366,199206,7.167311
367,199205,7.168599
368,199204,7.292507
369,199203,7.348335
370,199202,7.388598
371,199201,7.360576
372,199112,7.298946
373,199111,7.327776
374,199110,7.437338
375,199109,7.367632
376,199108,7.316165
377,199107,7.346955
378,199106,7.320326
379,199105,7.408706
380,199104,7.50852
381,199103,7.546006
382,199102,7.636997
383,199101,7.49993
384,199012,7.337517
385,199011,7.386585
386,199010,7.541889
387,199009,7.22382
388,199008,7.286634
389,199007,7.173263
390,199006,7.105838
391,199005,7.328342
392,199004,7.407173
393,199003,7.433341
394,199002,7.497242
395,199001,7.546173
