,"Natural Gas Henry Hub Spot Price ($/mcf), Monthly /// units: dollars per thousand cubic feet /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
185,200807,11.388403
186,200806,13.027495
187,200805,11.573263
188,200804,10.455887
189,200803,9.667151
190,200802,8.774688
191,200801,8.200595
192,200712,7.296835
193,200711,7.293754
194,200710,6.925061
195,200709,6.243133
196,200708,6.385886
197,200707,6.386913
198,200706,7.544342
199,200705,7.843199
200,200704,7.806227
201,200703,7.299916
202,200702,8.218054
203,200701,6.728904
204,200612,6.922552
205,200611,7.61234
206,200610,6.010716
207,200609,5.033088
208,200608,7.33478
209,200607,6.340704
210,200606,6.38388
211,200605,6.41986
212,200604,7.364592
213,200603,7.080864
214,200602,7.747008
215,200601,8.929208
216,200512,13.414372
217,200511,10.592512
218,200510,13.797816
219,200509,12.07386
220,200508,9.799924
221,200507,7.842612
222,200506,7.384124
223,200505,6.653216
224,200504,7.359452
225,200503,7.15488
226,200502,6.309864
227,200501,6.3222
228,200412,6.748002
229,200411,6.32529
230,200410,6.518178
231,200409,5.27877
232,200408,5.546556
233,200407,6.085206
234,200406,6.43302
235,200405,6.498684
236,200404,5.857434
237,200403,5.534244
238,200402,5.508594
239,200401,6.298614
240,200312,6.305712
241,200311,4.59963
242,200310,4.761183
243,200309,4.75398
244,200308,5.129565
245,200307,5.171754
246,200306,5.987751
247,200305,5.982606
248,200304,5.415627
249,200303,6.105057
250,200302,7.931532
251,200301,5.589528
252,200212,4.859525
253,200211,4.144075
254,200210,4.230175
255,200209,3.637725
256,200208,3.1652
257,200207,3.061675
258,200206,3.34355
259,200205,3.58545
260,200204,3.512675
261,200203,3.104725
262,200202,2.3821
263,200201,2.37595
264,200112,2.368758
265,200111,2.410947
266,200110,2.532369
267,200109,2.255568
268,200108,3.054072
269,200107,3.199161
270,200106,3.82788
271,200105,4.312539
272,200104,5.342568
273,200103,5.38167
274,200102,5.768574
275,200101,8.408988
276,200012,9.129348
277,200011,5.667624
278,200010,5.152572
279,200009,5.187456
280,200008,4.544154
281,200007,4.092714
282,200006,4.400514
283,200005,3.679236
284,200004,3.11904
285,200003,2.865618
286,200002,2.72916
287,200001,2.484972
288,199912,2.42094
289,199911,2.433276
290,199910,2.804384
291,199909,2.617288
292,199908,2.87326
293,199907,2.371596
294,199906,2.368512
295,199905,2.32328
296,199904,2.2102
297,199903,1.842176
298,199902,1.820588
299,199901,1.900772
300,199812,1.778826
301,199811,2.193059
302,199810,1.975096
303,199809,2.084594
304,199808,1.912083
305,199807,2.238511
306,199806,2.238511
307,199805,2.211653
308,199804,2.508124
309,199803,2.315986
310,199802,2.302557
311,199801,2.160003
312,199712,2.411396
313,199711,3.089216
314,199710,3.156998
315,199709,2.960841
316,199708,2.558257
317,199707,2.24913
318,199706,2.262481
319,199705,2.306642
320,199704,2.087891
321,199703,1.942057
322,199702,2.209077
323,199701,3.544177
