,"Crude Oil Inventory (excluding SPR), Monthly /// units: million barrels, end-of-period /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
305,199807,338.068
306,199806,332.276
307,199805,350.875
308,199804,351.149
309,199803,334.484
310,199802,317.805
311,199801,316.754
312,199712,304.69
313,199711,323.522
314,199710,315.957
315,199709,303.775
316,199708,300.911
317,199707,309.694
318,199706,320.324
319,199705,326.279
320,199704,319.134
321,199703,313.219
322,199702,297.107
323,199701,300.506
324,199612,283.853
325,199611,299.296
326,199610,307.925
327,199609,302.116
328,199608,313.158
329,199607,308.413
330,199606,314.435
331,199605,303.927
332,199604,303.178
333,199603,299.657
334,199602,301.269
335,199601,303.081
336,199512,303.328
337,199511,318.981
338,199510,311.072
339,199509,305.846
340,199508,307.75
341,199507,315.599
342,199506,327.911
343,199505,332.352
344,199504,336.445
345,199503,339.486
346,199502,329.083
347,199501,330.463
348,199412,337.245
349,199411,346.287
350,199410,343.237
351,199409,335.327
352,199408,328.519
353,199407,332.527
354,199406,327.933
355,199405,331.544
356,199404,339.391
357,199403,342.345
358,199402,335.351
359,199401,338.067
360,199312,335.385
361,199311,337.307
362,199310,330.32
363,199309,320.731
364,199308,335.471
365,199307,351.873
366,199306,352.276
367,199305,352.862
368,199304,348.711
369,199303,337.113
370,199302,332.336
371,199301,326.699
372,199212,318.14
373,199211,325.385
374,199210,332.662
375,199209,322.058
376,199208,328.17
377,199207,332.635
378,199206,325.073
379,199205,343.513
380,199204,347.995
381,199203,338.536
382,199202,346.3
383,199201,341.334
384,199112,324.594
385,199111,343.527
386,199110,342.234
387,199109,340.641
388,199108,345.307
389,199107,342.1
390,199106,346.842
391,199105,355.809
392,199104,338.259
393,199103,336.771
394,199102,331.098
395,199101,320.496
396,199012,322.695
397,199011,338.727
398,199010,346.311
399,199009,342.605
400,199008,369.5
401,199007,379.461
402,199006,384.223
403,199005,382.54
404,199004,370.472
405,199003,370.845
406,199002,339.429
407,199001,349.007
