,"Resident population including Armed Forces, United States /// units: Thousand /// most recent data point: 2020 /// last updated: 2022-06-30T12:00:35-0400",
,date,value
0,2020,331501
1,2019,328330
2,2018,326838
3,2017,325122
4,2016,323072
5,2015,320739
6,2014,318386
7,2013,316060
8,2012,313878
9,2011,311583
10,2010,309327
11,2009,306772
12,2008,304094
13,2007,301231
14,2006,298380
15,2005,295517
16,2004,292805
17,2003,290108
18,2002,287625
19,2001,284969
20,2000,282162
21,1999,279040
22,1998,275854
23,1997,272647
24,1996,269394
25,1995,266278
26,1994,263126
27,1993,259919
28,1992,256514
29,1991,252981
30,1990,249623
31,1989,246819
32,1988,244499
33,1987,242289
34,1986,240133
35,1985,237924
36,1984,235825
37,1983,233792
38,1982,231664
39,1981,229466
40,1980,227225
41,1979,225055
42,1978,222585
43,1977,220239
44,1976,218035
45,1975,215973
46,1974,213854
47,1973,211909
48,1972,209896
49,1971,207661
50,1970,205052
51,1969,202677
52,1968,200706
53,1967,198712
54,1966,196560
55,1965,194303
56,1964,191889
57,1963,189242
58,1962,186538
59,1961,183691
60,1960,180671
