,"Total Industrial Production Index, Monthly /// units: Index, 2012=100 (seasonally adjusted) /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
0,202312,106.9174
1,202311,106.8529
2,202310,106.7728
3,202309,106.6778
4,202308,106.5659
5,202307,106.4378
6,202306,106.2608
7,202305,106.1249
8,202304,105.9974
9,202303,105.8121
10,202302,105.7508
11,202301,105.7474
12,202212,106.0236
13,202211,105.9697
14,202210,105.8075
15,202209,105.3664
16,202208,105.1155
17,202207,104.88411481
18,202206,104.3648
19,202205,104.5729
20,202204,104.5224
21,202203,103.7286
22,202202,102.9981
23,202201,102.146
24,202112,101.7587
25,202111,101.961
26,202110,101.3602
27,202109,99.8498
28,202108,100.837
29,202107,100.8724
30,202106,100.1923
31,202105,99.7785
32,202104,99.0246
33,202103,98.8621
34,202102,96.2231
35,202101,99.2645
36,202012,98.138
37,202011,97.1183
38,202010,96.825
39,202009,96.0711
40,202008,96.1173
41,202007,95.2439
42,202006,91.7523
43,202005,86.3345
44,202004,84.959
45,202003,97.8746
46,202002,101.7038
47,202001,101.303
48,201912,101.7632
49,201911,102.0979
50,201910,101.7775
51,201909,102.579
52,201908,102.9086
53,201907,102.2012
54,201906,102.5928
55,201905,102.5756
56,201904,102.3826
57,201903,102.9
58,201902,102.8157
59,201901,103.2684
60,201812,103.869
61,201811,103.9603
62,201810,104.0476
63,201809,104.1665
64,201808,104.1802
65,201807,103.4588
66,201806,103.2508
67,201805,102.4735
68,201804,103.434
69,201803,102.2785
70,201802,101.7068
71,201801,101.345
72,201712,101.3878
73,201711,101.226
74,201710,101.0401
75,201709,99.7829
76,201708,99.6878
77,201707,100.1418
78,201706,100.3148
79,201705,100.139
80,201704,100.0545
81,201703,99.0726
82,201702,98.4178
83,201701,98.7349
84,201612,98.9063
85,201611,98.3004
86,201610,98.7126
87,201609,98.6287
88,201608,98.7302
89,201607,98.8371
90,201606,98.6766
91,201605,98.2096
92,201604,98.4364
93,201603,98.1385
94,201602,98.8946
95,201601,99.4086
96,201512,98.8572
97,201511,99.3817
98,201510,100.151
99,201509,100.608
100,201508,100.8802
101,201507,101.11
102,201506,100.4529
103,201505,100.7536
104,201504,101.2285
105,201503,101.8077
106,201502,102.1554
107,201501,102.798
108,201412,103.592
109,201411,103.6017
110,201410,102.9704
111,201409,102.9647
112,201408,102.6499
113,201407,102.8425
114,201406,102.5637
