,"Total Industrial Production Index, Monthly /// units: Index, 2012=100 (seasonally adjusted) /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
115,201405,102.2116
116,201404,101.8023
117,201403,101.7391
118,201402,100.7485
119,201401,99.9828
120,201312,100.3576
121,201311,100.1479
122,201310,99.9038
123,201309,100.0172
124,201308,99.4891
125,201307,98.9132
126,201306,99.2141
127,201305,99.0782
128,201304,98.9898
129,201303,99.0994
130,201302,98.6835
131,201301,98.199
132,201212,98.2061
133,201211,97.9589
134,201210,97.561
135,201209,97.2405
136,201208,97.313
137,201207,97.7234
138,201206,97.4903
139,201205,97.5046
140,201204,97.3006
141,201203,96.5973
142,201202,97.1033
143,201201,96.8051
144,201112,96.2147
145,201111,95.7455
146,201110,95.7291
147,201109,95.0732
148,201108,95.1263
149,201107,94.5146
150,201106,94.0378
151,201105,93.7878
152,201104,93.6525
153,201103,93.978
154,201102,93.0051
155,201101,93.3793
156,201012,93.5741
157,201011,92.6772
158,201010,92.6138
159,201009,92.8668
160,201008,92.615
161,201007,92.2737
162,201006,91.9287
163,201005,91.7131
164,201004,90.474
165,201003,90.1449
166,201002,89.5089
167,201001,89.1936
168,200912,88.2318
169,200911,87.9144
170,200910,87.5488
171,200909,87.3615
172,200908,86.6333
173,200907,85.7091
174,200906,84.7277
175,200905,84.9991
176,200904,85.8598
177,200903,86.5503
178,200902,87.936
179,200901,88.4683
180,200812,90.7183
181,200811,93.3455
182,200810,94.5845
183,200809,93.6585
184,200808,97.9367
185,200807,99.4943
186,200806,99.9141
187,200805,100.1399
188,200804,100.7238
189,200803,101.3986
190,200802,101.7673
191,200801,102.1686
192,200712,102.3074
193,200711,102.3185
194,200710,101.7289
195,200709,102.0279
196,200708,101.7751
197,200707,101.5627
198,200706,101.6741
199,200705,101.6481
200,200704,101.5777
201,200703,100.8857
202,200702,100.6919
203,200701,99.7226
204,200612,100.1117
205,200611,99.0974
206,200610,99.1514
207,200609,99.2544
208,200608,99.4583
209,200607,99.0357
210,200606,99.1069
211,200605,98.7884
212,200604,98.7765
213,200603,98.4742
214,200602,98.2404
215,200601,98.2044
216,200512,98.0222
217,200511,97.5646
218,200510,96.4981
219,200509,95.3463
220,200508,97.2223
221,200507,96.8981
222,200506,97.19
223,200505,96.7925
224,200504,96.6809
225,200503,96.4907
226,200502,96.6287
227,200501,95.9285
228,200412,95.5841
229,200411,94.8491
230,200410,94.6226
231,200409,93.7958
232,200408,93.6958
233,200407,93.6109
234,200406,92.9303
235,200405,93.6446
236,200404,92.9761
237,200403,92.6
238,200402,92.9687
239,200401,92.4067
240,200312,92.2532
241,200311,92.1763
242,200310,91.5595
243,200309,91.4453
244,200308,90.8452
245,200307,91.0614
246,200306,90.5899
247,200305,90.4697
248,200304,90.4913
249,200303,91.069
250,200302,91.3384
251,200301,91.2395
252,200212,90.4919
253,200211,90.9823
254,200210,90.4879
255,200209,90.7241
256,200208,90.6268
257,200207,90.7437
258,200206,90.7645
259,200205,90.0271
260,200204,89.6389
261,200203,89.2097
262,200202,88.5362
263,200201,88.5452
264,200112,87.9329
265,200111,87.9631
266,200110,88.4755
267,200109,88.7478
268,200108,89.2201
269,200107,89.3288
270,200106,89.8626
271,200105,90.375
272,200104,90.8767
273,200103,91.1751
274,200102,91.4079
275,200101,92.0304
276,200012,92.5334
277,200011,92.8395
278,200010,92.8361
279,200009,93.1547
280,200008,92.79
281,200007,93.04
282,200006,93.2168
283,200005,93.162
284,200004,92.8872
285,200003,92.3118
286,200002,91.9626
287,200001,91.6261
288,199912,91.6804
289,199911,90.965
290,199910,90.4924
291,199909,89.3331
292,199908,89.7109
293,199907,89.3119
294,199906,88.7978
295,199905,88.8487
296,199904,88.3106
297,199903,88.1101
298,199902,87.926
299,199901,87.4252
300,199812,87.0633
301,199811,86.6929
302,199810,86.7671
303,199809,86.1707
304,199808,86.2464
305,199807,84.5061
306,199806,84.8466
307,199805,85.3596
308,199804,84.8275
309,199803,84.5212
310,199802,84.4865
311,199801,84.3467
312,199712,83.9696
313,199711,83.5919
314,199710,82.9309
315,199709,82.212
316,199708,81.4548
317,199707,80.6492
318,199706,79.9802
319,199705,79.6084
320,199704,79.1683
321,199703,79.1021
322,199702,78.612
323,199701,77.6945
324,199612,77.5543
325,199611,77.0672
326,199610,76.3931
327,199609,76.4032
328,199608,75.9129
329,199607,75.5323
330,199606,75.5317
331,199605,74.9718
332,199604,74.4153
333,199603,73.6749
334,199602,73.7871
335,199601,72.7471
336,199512,73.1429
337,199511,72.8884
338,199510,72.713
339,199509,72.8247
340,199508,72.5339
341,199507,71.5924
342,199506,71.8967
343,199505,71.66
344,199504,71.3289
345,199503,71.4451
346,199502,71.3343
347,199501,71.4303
348,199412,71.2814
349,199411,70.5942
350,199410,70.119
351,199409,69.5574
352,199408,69.3412
353,199407,68.8863
354,199406,68.8002
355,199405,68.3531
356,199404,68.0334
357,199403,67.6335
358,199402,66.9642
359,199401,66.9164
360,199312,66.7038
361,199311,66.3292
362,199310,66.0152
363,199309,65.5282
364,199308,65.1946
365,199307,65.2554
366,199306,65.0984
367,199305,64.9433
368,199304,65.2041
369,199303,65.0176
370,199302,65.0805
371,199301,64.7738
372,199212,64.5161
373,199211,64.4144
374,199210,64.1556
375,199209,63.7217
376,199208,63.5221
377,199207,63.8769
378,199206,63.3102
379,199205,63.2761
380,199204,63.0726
381,199203,62.5955
382,199202,62.0794
383,199201,61.6471
384,199112,61.9705
385,199111,62.2427
386,199110,62.3229
387,199109,62.3855
388,199108,61.8681
389,199107,61.8569
390,199106,61.6923
391,199105,61.2041
392,199104,60.5982
393,199103,60.4377
394,199102,60.779
395,199101,61.2241
396,199012,61.4345
397,199011,61.8681
398,199010,62.6466
399,199009,63.0328
400,199008,63.0241
401,199007,62.7933
402,199006,62.8923
403,199005,62.6898
404,199004,62.5104
405,199003,62.6446
406,199002,62.3426
407,199001,61.7781
