,"Brent crude oil spot price, Monthly /// units: dollars per barrel /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
245,200307,28.348
246,200306,27.652
247,200305,25.857
248,200304,24.998
249,200303,30.612
250,200302,32.771
251,200301,31.183
252,200212,28.334
253,200211,24.335
254,200210,27.543
255,200209,28.399
256,200208,26.651
257,200207,25.736
258,200206,24.081
259,200205,25.345
260,200204,25.728
261,200203,23.696
262,200202,20.275
263,200201,19.416
264,200112,18.705
265,200111,18.797
266,200110,20.537
267,200109,25.619
268,200108,25.68
269,200107,24.613
270,200106,27.849
271,200105,28.313
272,200104,25.657
273,200103,24.497
274,200102,27.503
275,200101,25.624
276,200012,25.66
277,200011,32.552
278,200010,30.96
279,200009,33.144
280,200008,30.196
281,200007,28.682
282,200006,29.795
283,200005,27.737
284,200004,22.764
285,200003,27.486
286,200002,27.775
287,200001,25.511
288,199912,25.473
289,199911,24.584
290,199910,22.002
291,199909,22.543
292,199908,20.219
293,199907,19.08
294,199906,15.863
295,199905,15.225
296,199904,15.294
297,199903,12.511
298,199902,10.271
299,199901,11.114
300,199812,9.824
301,199811,11.039
302,199810,12.702
303,199809,13.343
304,199808,11.914
305,199807,12.079
306,199806,12.206
307,199805,14.363
308,199804,13.526
309,199803,13.103
310,199802,14.069
311,199801,15.186
312,199712,17.181
313,199711,19.174
314,199710,19.865
315,199709,18.46
316,199708,18.595
317,199707,18.464
318,199706,17.58
319,199705,19.022
320,199704,17.555
321,199703,19.133
322,199702,20.85
323,199701,23.537
324,199612,23.783
325,199611,22.759
326,199610,24.162
327,199609,22.63
328,199608,20.512
329,199607,19.57
330,199606,18.456
331,199605,19.154
332,199604,20.9
333,199603,19.851
334,199602,17.999
335,199601,17.853
336,199512,17.925
337,199511,16.86
338,199510,16.11
339,199509,16.699
340,199508,16.096
341,199507,15.854
342,199506,17.312
343,199505,18.35
344,199504,18.648
345,199503,17.006
346,199502,17.114
347,199501,16.551
348,199412,15.932
349,199411,17.191
350,199410,16.49
351,199409,15.895
352,199408,16.892
353,199407,17.599
354,199406,16.763
355,199405,16.188
