"Use","Mean.Rsq","Mean.RMSE","Mean.RSR","P5.Rsq","P5.RMSE","P5.RSR","P50.Rsq","P50.RMSE","P50.RSR","P95.Rsq","P95.RMSE","P95.RSR","Units"
"Hydraulic fracturing",0.91,2.443,0.19,0.85,0.633,0.05,0.65,2.592,0.2,0.73,9.853,0.75,"in million gallons of water use per well (except Rsq as ratio scaled from 0 to 1, RSR as ratio scaled from 0 to infinity)"
"Cementing",0.9,0.007,0.29,0.97,0.005,0.24,0.97,0.004,0.17,0.96,0.006,0.25,
"Drilling",0.9,0.065,0.29,0.97,0.055,0.24,0.97,0.038,0.17,0.96,0.056,0.25,
"Direct",0.91,2.498,0.19,0.87,0.714,0.05,0.66,2.728,0.2,0.74,9.994,0.75,
